agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.326 ± 0.258,0.327 ± 0.232,0.429 ± 0.303,0.443 ± 0.308
GCIQL,0.140 ± 0.107,0.144 ± 0.133,0.159 ± 0.139,0.134 ± 0.142
GCIVL,0.468 ± 0.143,0.459 ± 0.148,0.559 ± 0.171,0.524 ± 0.167
QRL,0.543 ± 0.102,0.601 ± 0.105,0.470 ± 0.137,0.469 ± 0.146
