agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.208 ± 0.199,0.221 ± 0.170,0.255 ± 0.235,0.250 ± 0.233
GCIQL,0.089 ± 0.052,0.085 ± 0.061,0.091 ± 0.069,0.065 ± 0.049
GCIVL,0.370 ± 0.179,0.351 ± 0.175,0.444 ± 0.225,0.392 ± 0.211
QRL,0.442 ± 0.188,0.509 ± 0.205,0.375 ± 0.181,0.364 ± 0.185
