agent,antmaze-medium,antmaze-large,cube,scene
CRL,1.748 ± 3.904,1.924 ± 0.604,2.244 ± 1.517,4.089 ± 8.904
GCIQL,1.206 ± 0.224,1.004 ± 0.106,1.318 ± 0.221,1.000 ± 0.156
GCIVL,0.993 ± 0.141,0.860 ± 0.172,1.226 ± 0.188,1.001 ± 0.230
QRL,0.970 ± 0.187,0.973 ± 0.150,1.129 ± 0.230,1.025 ± 0.833
