agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.236 ± 0.151,0.215 ± 0.134,0.189 ± 0.162,0.180 ± 0.154
GCIQL,0.466 ± 0.182,0.488 ± 0.200,0.454 ± 0.205,0.533 ± 0.197
GCIVL,0.142 ± 0.106,0.144 ± 0.103,0.125 ± 0.106,0.133 ± 0.102
QRL,0.105 ± 0.050,0.093 ± 0.046,0.140 ± 0.102,0.142 ± 0.103
