agent,prec_at_10,prec_at_25,rank_median,rank_worst_half,dominance_mean,dominance_pos_frac
CRL,0.0284,0.0751,109.2131,0.3828,-8.6626,0.0036
GCIQL,0.0775,0.1668,113.9403,0.4575,-1.6095,0.0103
GCIVL,0.1341,0.2707,65.7236,0.2979,-1.4968,0.0205
QRL,0.148,0.2212,116.3564,0.4704,-0.5947,0.0506
