agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.530 ± 0.040,0.527 ± 0.027,0.562 ± 0.081,0.555 ± 0.069
GCIQL,0.471 ± 0.027,0.472 ± 0.033,0.531 ± 0.075,0.411 ± 0.051
GCIVL,0.564 ± 0.019,0.575 ± 0.026,0.644 ± 0.032,0.672 ± 0.020
QRL,0.546 ± 0.023,0.582 ± 0.026,0.523 ± 0.026,0.580 ± 0.022
