agent,antmaze-medium,antmaze-large,cube,scene
CRL,2.343 ± 2.063,3.121 ± 1.061,4.313 ± 3.222,5.619 ± 9.449
GCIQL,1.457 ± 0.201,1.233 ± 0.100,1.426 ± 0.193,1.100 ± 0.149
GCIVL,1.228 ± 0.155,1.029 ± 0.158,1.309 ± 0.141,1.093 ± 0.209
QRL,2.720 ± 3.619,5.417 ± 7.171,1.587 ± 0.436,2.666 ± 1.627
