agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.749 ± 0.305,0.798 ± 0.282,0.727 ± 0.379,0.718 ± 0.396
GCIQL,0.754 ± 0.226,0.730 ± 0.224,0.701 ± 0.229,0.662 ± 0.240
GCIVL,0.793 ± 0.257,0.778 ± 0.268,0.783 ± 0.270,0.752 ± 0.270
QRL,0.824 ± 0.289,0.842 ± 0.291,0.796 ± 0.246,0.778 ± 0.264
