agent,env,R2_lr,R2_alpha,R2_main,R2_full,dR2_lr,dR2_alpha,dR2_inter,R2_shared,n
CRL,antmaze-large-navigate-v0,0.6719,0.0013,0.6723,0.6743,0.671,0.0004,0.0021,0.001,64
GCIQL,antmaze-large-navigate-v0,0.619,0.0102,0.637,0.637,0.6268,0.018,0.0,-0.0078,64
GCIVL,antmaze-large-navigate-v0,0.2375,0.0438,0.2802,0.2952,0.2363,0.0427,0.015,0.0012,64
QRL,antmaze-large-navigate-v0,0.6691,0.0004,0.6709,0.6709,0.6705,0.0019,0.0,-0.0014,64
CRL,antmaze-medium-explore-v0,0.7292,0.0173,0.7499,0.783,0.7325,0.0207,0.0331,-0.0034,64
GCIQL,antmaze-medium-explore-v0,0.0097,0.0832,0.0944,0.1058,0.0112,0.0847,0.0114,-0.0015,64
GCIVL,antmaze-medium-explore-v0,0.3867,0.0096,0.4014,0.4014,0.3918,0.0147,0.0,-0.005,64
QRL,antmaze-medium-explore-v0,0.4763,0.0001,0.4764,0.5184,0.4763,0.0001,0.042,0.0,64
CRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.5237,0.0256,0.5443,0.5446,0.5187,0.0207,0.0003,0.0049,64
GCIQL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.1177,0.0015,0.1202,0.1348,0.1187,0.0024,0.0146,-0.0009,64
GCIVL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.2044,0.0552,0.2697,0.2862,0.2145,0.0653,0.0165,-0.0101,64
QRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.5177,0.0124,0.5234,0.5235,0.511,0.0057,0.0002,0.0067,64
CRL,antmaze-medium-explore40navigate-v0,0.6462,0.0109,0.655,0.6565,0.6441,0.0088,0.0015,0.0021,64
GCIQL,antmaze-medium-explore40navigate-v0,0.5259,0.0518,0.5878,0.5906,0.536,0.0619,0.0029,-0.0101,64
GCIVL,antmaze-medium-explore40navigate-v0,0.3792,0.0442,0.4206,0.4218,0.3763,0.0413,0.0012,0.0029,64
QRL,antmaze-medium-explore40navigate-v0,0.6267,0.0,0.6272,0.6277,0.6272,0.0005,0.0005,-0.0004,64
CRL,antmaze-medium-explore80navigate-v0,0.7706,0.001,0.7713,0.7715,0.7703,0.0007,0.0001,0.0003,64
GCIQL,antmaze-medium-explore80navigate-v0,0.2963,0.005,0.305,0.3098,0.3,0.0087,0.0047,-0.0037,64
GCIVL,antmaze-medium-explore80navigate-v0,0.432,0.0024,0.4356,0.4372,0.4332,0.0036,0.0015,-0.0012,64
QRL,antmaze-medium-explore80navigate-v0,0.7182,0.0003,0.7188,0.719,0.7186,0.0006,0.0002,-0.0004,64
CRL,antmaze-medium-navigate-v0,0.5349,0.0028,0.5371,0.5429,0.5343,0.0022,0.0057,0.0006,64
GCIQL,antmaze-medium-navigate-v0,0.634,0.0171,0.6574,0.6576,0.6403,0.0234,0.0002,-0.0063,64
GCIVL,antmaze-medium-navigate-v0,0.5656,0.0883,0.6293,0.6354,0.541,0.0637,0.0062,0.0246,64
QRL,antmaze-medium-navigate-v0,0.551,0.024,0.5675,0.5874,0.5435,0.0165,0.0199,0.0075,64
CRL,cube-single-play-v0,0.8899,0.0055,0.8957,0.8958,0.8902,0.0057,0.0001,-0.0002,64
GCIQL,cube-single-play-v0,0.656,0.0239,0.6776,0.6925,0.6537,0.0216,0.0148,0.0023,64
GCIVL,cube-single-play-v0,0.5458,0.0259,0.5863,0.5865,0.5604,0.0404,0.0002,-0.0146,64
QRL,cube-single-play-v0,0.7588,0.0116,0.7773,0.7942,0.7657,0.0185,0.0169,-0.0069,64
CRL,scene-play-v0,0.6326,0.0002,0.6327,0.6408,0.6325,0.0001,0.0081,0.0001,64
GCIQL,scene-play-v0,0.5294,0.0033,0.5328,0.533,0.5295,0.0033,0.0002,-0.0,64
GCIVL,scene-play-v0,0.6663,0.0133,0.6735,0.676,0.6603,0.0073,0.0025,0.006,64
QRL,scene-play-v0,0.6182,0.001,0.62,0.6207,0.6189,0.0017,0.0007,-0.0007,64
