agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.329 ± 0.262,0.327 ± 0.233,0.429 ± 0.304,0.446 ± 0.310
GCIQL,0.140 ± 0.114,0.144 ± 0.139,0.159 ± 0.145,0.134 ± 0.151
GCIVL,0.468 ± 0.147,0.459 ± 0.152,0.559 ± 0.177,0.524 ± 0.174
QRL,0.543 ± 0.111,0.601 ± 0.118,0.470 ± 0.149,0.469 ± 0.155
