agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.022 ± 0.024,0.019 ± 0.013,0.022 ± 0.030,0.022 ± 0.033
GCIQL,0.045 ± 0.011,0.042 ± 0.011,0.040 ± 0.015,0.041 ± 0.012
GCIVL,0.078 ± 0.013,0.084 ± 0.018,0.064 ± 0.011,0.134 ± 0.015
QRL,0.067 ± 0.013,0.073 ± 0.016,0.089 ± 0.024,0.114 ± 0.017
