env,algo,config,norm,ess,top5_mass,saturation_mass
antmaze-medium,CRL,21,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,21,clip_std,0.3075,0.2925,0.0
antmaze-medium,CRL,22,raw,0.1174,0.5636,0.6094
antmaze-medium,CRL,22,zscore,0.1607,0.3013,0.0383
antmaze-medium,CRL,22,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,22,clip_std,0.3263,0.2821,0.0
antmaze-medium,CRL,23,raw,0.2808,0.185,0.9281
antmaze-medium,CRL,23,zscore,0.1376,0.3119,0.0622
antmaze-medium,CRL,23,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,23,clip_std,0.3103,0.2894,0.0
antmaze-medium,CRL,24,raw,0.2764,0.1868,0.9396
antmaze-medium,CRL,24,zscore,0.1399,0.3139,0.0604
antmaze-medium,CRL,24,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,24,clip_std,0.3373,0.2755,0.0
antmaze-medium,CRL,25,raw,0.1712,0.3388,0.7576
antmaze-medium,CRL,25,zscore,0.143,0.3097,0.0577
antmaze-medium,CRL,25,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,25,clip_std,0.3074,0.2923,0.0
antmaze-medium,CRL,26,raw,0.2202,0.2465,0.8534
antmaze-medium,CRL,26,zscore,0.1588,0.3004,0.0484
antmaze-medium,CRL,26,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,26,clip_std,0.3178,0.2871,0.0
antmaze-medium,CRL,27,raw,0.273,0.1902,0.9278
antmaze-medium,CRL,27,zscore,0.1346,0.3134,0.0714
antmaze-medium,CRL,27,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,27,clip_std,0.3103,0.287,0.0
antmaze-medium,CRL,28,raw,0.256,0.2045,0.9146
antmaze-medium,CRL,28,zscore,0.1551,0.3005,0.0476
antmaze-medium,CRL,28,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,28,clip_std,0.339,0.2723,0.0
antmaze-medium,CRL,29,raw,0.2397,0.2231,0.8744
antmaze-medium,CRL,29,zscore,0.136,0.3125,0.0668
antmaze-medium,CRL,29,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,29,clip_std,0.3103,0.2881,0.0
antmaze-medium,CRL,30,raw,0.3041,0.1748,0.8938
antmaze-medium,CRL,30,zscore,0.2867,0.3215,0.0
antmaze-medium,CRL,30,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,30,clip_std,0.3017,0.3177,0.0
antmaze-medium,CRL,31,raw,0.2914,0.1761,0.9494
antmaze-medium,CRL,31,zscore,0.16,0.3012,0.0485
antmaze-medium,CRL,31,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,31,clip_std,0.3145,0.29,0.0
antmaze-medium,CRL,32,raw,0.277,0.1854,0.9494
antmaze-medium,CRL,32,zscore,0.1566,0.3014,0.0382
antmaze-medium,CRL,32,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,32,clip_std,0.3349,0.2767,0.0
antmaze-medium,CRL,33,raw,0.0939,0.6894,0.4917
antmaze-medium,CRL,33,zscore,0.1367,0.3122,0.0669
antmaze-medium,CRL,33,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,33,clip_std,0.3105,0.2887,0.0
antmaze-medium,CRL,34,raw,0.4,0.125,1.0
antmaze-medium,CRL,34,zscore,0.4884,0.15,0.0
antmaze-medium,CRL,34,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,34,clip_std,0.4884,0.15,0.0
antmaze-medium,CRL,35,raw,0.2678,0.1949,0.9148
antmaze-medium,CRL,35,zscore,0.1586,0.3016,0.0486
antmaze-medium,CRL,35,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,35,clip_std,0.3107,0.2915,0.0
antmaze-medium,CRL,36,raw,0.264,0.1974,0.922
antmaze-medium,CRL,36,zscore,0.1676,0.2928,0.0381
antmaze-medium,CRL,36,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,36,clip_std,0.357,0.2657,0.0
antmaze-medium,CRL,37,raw,0.2094,0.2638,0.8293
antmaze-medium,CRL,37,zscore,0.1407,0.3108,0.0576
antmaze-medium,CRL,37,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,37,clip_std,0.3089,0.2912,0.0
antmaze-medium,CRL,38,raw,0.1888,0.3009,0.7865
antmaze-medium,CRL,38,zscore,0.1597,0.3012,0.0485
antmaze-medium,CRL,38,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,38,clip_std,0.3157,0.2893,0.0
antmaze-medium,CRL,39,raw,0.2812,0.184,0.9313
antmaze-medium,CRL,39,zscore,0.1354,0.3129,0.0715
antmaze-medium,CRL,39,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,39,clip_std,0.3103,0.2875,0.0
antmaze-medium,CRL,40,raw,0.6,0.0833,1.0
antmaze-medium,CRL,40,zscore,0.6078,0.1255,0.0
antmaze-medium,CRL,40,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,40,clip_std,0.6078,0.1255,0.0
antmaze-medium,CRL,41,raw,0.1228,0.5292,0.6226
antmaze-medium,CRL,41,zscore,0.1529,0.3043,0.0485
antmaze-medium,CRL,41,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,41,clip_std,0.3055,0.2931,0.0
antmaze-medium,CRL,42,raw,0.2086,0.2655,0.8193
antmaze-medium,CRL,42,zscore,0.1648,0.2985,0.0433
antmaze-medium,CRL,42,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,42,clip_std,0.3201,0.2833,0.0
antmaze-medium,CRL,43,raw,0.267,0.196,0.9152
antmaze-medium,CRL,43,zscore,0.1389,0.3114,0.0623
antmaze-medium,CRL,43,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,43,clip_std,0.3099,0.2902,0.0
antmaze-medium,CRL,44,raw,0.2581,0.2044,0.8979
antmaze-medium,CRL,44,zscore,0.1615,0.2987,0.0532
antmaze-medium,CRL,44,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,44,clip_std,0.3198,0.2844,0.0
antmaze-medium,CRL,45,raw,0.2303,0.2329,0.878
antmaze-medium,CRL,45,zscore,0.1341,0.3137,0.0713
antmaze-medium,CRL,45,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,45,clip_std,0.3106,0.2866,0.0
antmaze-medium,CRL,46,raw,0.1513,0.2412,0.0076
antmaze-medium,CRL,46,zscore,0.132,0.3207,0.0647
antmaze-medium,CRL,46,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,46,clip_std,0.3274,0.2771,0.0
antmaze-medium,CRL,47,raw,0.2909,0.1769,0.9462
antmaze-medium,CRL,47,zscore,0.1452,0.3086,0.0578
antmaze-medium,CRL,47,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,47,clip_std,0.3058,0.293,0.0
antmaze-medium,CRL,48,raw,0.2798,0.1841,0.9448
antmaze-medium,CRL,48,zscore,0.1335,0.3166,0.0745
antmaze-medium,CRL,48,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,48,clip_std,0.3288,0.2777,0.0
antmaze-medium,CRL,49,raw,0.0633,0.6429,0.2706
antmaze-medium,CRL,49,zscore,0.1466,0.3078,0.0579
antmaze-medium,CRL,49,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,49,clip_std,0.3053,0.2933,0.0
antmaze-medium,CRL,50,raw,0.2325,0.2312,0.8668
antmaze-medium,CRL,50,zscore,0.1632,0.2982,0.0434
antmaze-medium,CRL,50,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,50,clip_std,0.3183,0.2835,0.0
antmaze-medium,CRL,51,raw,0.2531,0.2082,0.902
antmaze-medium,CRL,51,zscore,0.1331,0.3142,0.0712
antmaze-medium,CRL,51,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,51,clip_std,0.311,0.2861,0.0
antmaze-medium,CRL,52,raw,0.2589,0.2011,0.9228
antmaze-medium,CRL,52,zscore,0.1606,0.3013,0.0335
antmaze-medium,CRL,52,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,52,clip_std,0.3295,0.2801,0.0
antmaze-medium,CRL,53,raw,0.191,0.2942,0.8026
antmaze-medium,CRL,53,zscore,0.137,0.3121,0.0622
antmaze-medium,CRL,53,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,53,clip_std,0.3104,0.289,0.0
antmaze-medium,CRL,54,raw,0.4,0.125,1.0
antmaze-medium,CRL,54,zscore,0.6676,0.1019,0.0
antmaze-medium,CRL,54,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,54,clip_std,0.6676,0.1019,0.0
antmaze-medium,CRL,55,raw,0.2833,0.1821,0.9394
antmaze-medium,CRL,55,zscore,0.1546,0.3036,0.0485
antmaze-medium,CRL,55,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,55,clip_std,0.3061,0.293,0.0
antmaze-medium,CRL,56,raw,0.2873,0.1792,0.9412
antmaze-medium,CRL,56,zscore,0.1612,0.2991,0.0532
antmaze-medium,CRL,56,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,56,clip_std,0.3193,0.2857,0.0
antmaze-medium,CRL,57,raw,0.1682,0.346,0.7542
antmaze-medium,CRL,57,zscore,0.1344,0.3135,0.0713
antmaze-medium,CRL,57,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,57,clip_std,0.3106,0.2867,0.0
antmaze-medium,CRL,58,raw,0.2047,0.2689,0.8295
antmaze-medium,CRL,58,zscore,0.1524,0.3126,0.0418
antmaze-medium,CRL,58,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,58,clip_std,0.3373,0.277,0.0
antmaze-medium,CRL,59,raw,0.2759,0.1887,0.9214
antmaze-medium,CRL,59,zscore,0.1419,0.3102,0.0577
antmaze-medium,CRL,59,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,59,clip_std,0.3082,0.2917,0.0
antmaze-medium,CRL,60,raw,0.2373,0.2119,0.9896
antmaze-medium,CRL,60,zscore,0.7563,0.0945,0.0
antmaze-medium,CRL,60,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,60,clip_std,0.7563,0.0945,0.0
antmaze-medium,CRL,61,raw,0.253,0.2088,0.8963
antmaze-medium,CRL,61,zscore,0.1596,0.3013,0.0486
antmaze-medium,CRL,61,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,61,clip_std,0.3127,0.2908,0.0
antmaze-medium,CRL,62,raw,0.0689,0.6484,0.2693
antmaze-medium,CRL,62,zscore,0.1505,0.302,0.0522
antmaze-medium,CRL,62,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,62,clip_std,0.3404,0.2703,0.0
antmaze-medium,CRL,63,raw,0.2918,0.1763,0.9443
antmaze-medium,CRL,63,zscore,0.1357,0.3127,0.0715
antmaze-medium,CRL,63,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,63,clip_std,0.3102,0.2879,0.0
antmaze-medium,GCIQL,0,raw,0.1447,0.3624,0.9099
antmaze-medium,GCIQL,0,zscore,0.2438,0.2549,0.0158
antmaze-medium,GCIQL,0,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,0,clip_std,0.2917,0.2778,0.0
antmaze-medium,GCIQL,1,raw,0.0793,0.761,0.6451
antmaze-medium,GCIQL,1,zscore,0.3806,0.2086,0.0
antmaze-medium,GCIQL,1,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,1,clip_std,0.3865,0.2293,0.0
antmaze-medium,GCIQL,2,raw,0.0886,0.6694,0.7437
antmaze-medium,GCIQL,2,zscore,0.1555,0.2977,0.0101
antmaze-medium,GCIQL,2,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,2,clip_std,0.2291,0.3098,0.0
antmaze-medium,GCIQL,3,raw,0.1426,0.377,0.8695
antmaze-medium,GCIQL,3,zscore,0.2157,0.2616,0.0155
antmaze-medium,GCIQL,3,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,3,clip_std,0.3044,0.2732,0.0
antmaze-medium,GCIQL,4,raw,0.1451,0.3699,0.8727
antmaze-medium,GCIQL,4,zscore,0.155,0.3028,0.0
antmaze-medium,GCIQL,4,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,4,clip_std,0.2341,0.308,0.0
antmaze-medium,GCIQL,5,raw,0.1277,0.4266,0.8451
antmaze-medium,GCIQL,5,zscore,0.2461,0.2395,0.0105
antmaze-medium,GCIQL,5,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,5,clip_std,0.3613,0.2485,0.0
antmaze-medium,GCIQL,6,raw,0.8523,0.1063,0.0
antmaze-medium,GCIQL,6,zscore,0.1921,0.2784,0.0
antmaze-medium,GCIQL,6,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,6,clip_std,0.2401,0.3006,0.0
antmaze-medium,GCIQL,7,raw,0.1686,0.3106,0.9168
antmaze-medium,GCIQL,7,zscore,0.1914,0.2525,0.0362
antmaze-medium,GCIQL,7,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,7,clip_std,0.3531,0.2511,0.0
antmaze-medium,GCIQL,8,raw,0.1526,0.3475,0.8884
antmaze-medium,GCIQL,8,zscore,0.1517,0.3043,0.0
antmaze-medium,GCIQL,8,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,8,clip_std,0.2325,0.3096,0.0
antmaze-medium,GCIQL,9,raw,0.0435,0.7558,0.3947
antmaze-medium,GCIQL,9,zscore,0.246,0.2468,0.0105
antmaze-medium,GCIQL,9,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,9,clip_std,0.3253,0.2617,0.0
antmaze-medium,GCIQL,10,raw,0.1204,0.4624,0.8172
antmaze-medium,GCIQL,10,zscore,0.2081,0.2693,0.0104
antmaze-medium,GCIQL,10,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,10,clip_std,0.2677,0.2845,0.0
antmaze-medium,GCIQL,11,raw,0.1931,0.2712,0.9113
antmaze-medium,GCIQL,11,zscore,0.3474,0.2144,0.0
antmaze-medium,GCIQL,11,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,11,clip_std,0.3911,0.2305,0.0
antmaze-medium,GCIQL,12,raw,0.132,0.4137,0.8532
antmaze-medium,GCIQL,12,zscore,0.1705,0.2874,0.0
antmaze-medium,GCIQL,12,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,12,clip_std,0.2324,0.3064,0.0
antmaze-medium,GCIQL,13,raw,0.1115,0.5075,0.7913
antmaze-medium,GCIQL,13,zscore,0.2036,0.2606,0.0303
antmaze-medium,GCIQL,13,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,13,clip_std,0.3555,0.2536,0.0
antmaze-medium,GCIQL,14,raw,0.069,0.8121,0.633
antmaze-medium,GCIQL,14,zscore,0.1587,0.3013,0.0
antmaze-medium,GCIQL,14,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,14,clip_std,0.2347,0.3073,0.0
antmaze-medium,GCIQL,15,raw,0.1581,0.3274,0.9319
antmaze-medium,GCIQL,15,zscore,0.2608,0.2438,0.0104
antmaze-medium,GCIQL,15,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,15,clip_std,0.3628,0.2536,0.0
antmaze-medium,GCIQL,16,raw,0.1624,0.3227,0.9096
antmaze-medium,GCIQL,16,zscore,0.1631,0.2991,0.0
antmaze-medium,GCIQL,16,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,16,clip_std,0.2352,0.3066,0.0
antmaze-medium,GCIQL,17,raw,0.0614,0.8196,0.5609
antmaze-medium,GCIQL,17,zscore,0.2512,0.246,0.0104
antmaze-medium,GCIQL,17,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,17,clip_std,0.345,0.2566,0.0
antmaze-medium,GCIQL,18,raw,0.1102,0.516,0.7933
antmaze-medium,GCIQL,18,zscore,0.1719,0.2869,0.0
antmaze-medium,GCIQL,18,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,18,clip_std,0.2324,0.3064,0.0
antmaze-medium,GCIQL,19,raw,0.1234,0.4342,0.8792
antmaze-medium,GCIQL,19,zscore,0.0875,0.249,0.1287
antmaze-medium,GCIQL,19,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,19,clip_std,0.0872,0.3673,0.1459
antmaze-medium,GCIQL,20,raw,0.1461,0.365,0.8801
antmaze-medium,GCIQL,20,zscore,0.214,0.2671,0.0052
antmaze-medium,GCIQL,20,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,20,clip_std,0.273,0.2819,0.0
antmaze-medium,GCIQL,21,raw,0.1128,0.4945,0.8066
antmaze-medium,GCIQL,21,zscore,0.2446,0.2439,0.0157
antmaze-medium,GCIQL,21,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,21,clip_std,0.3398,0.2541,0.0
antmaze-medium,GCIQL,22,raw,0.0453,0.8183,0.5912
antmaze-medium,GCIQL,22,zscore,0.1505,0.3033,0.01
antmaze-medium,GCIQL,22,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,22,clip_std,0.2305,0.3104,0.0
antmaze-medium,GCIQL,23,raw,0.158,0.3333,0.904
antmaze-medium,GCIQL,23,zscore,0.2427,0.2447,0.0052
antmaze-medium,GCIQL,23,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,23,clip_std,0.3498,0.2533,0.0
antmaze-medium,GCIQL,24,raw,0.1593,0.3297,0.9097
antmaze-medium,GCIQL,24,zscore,0.2044,0.2745,0.0052
antmaze-medium,GCIQL,24,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,24,clip_std,0.2482,0.2954,0.0
antmaze-medium,GCIQL,25,raw,0.039,0.6014,0.2885
antmaze-medium,GCIQL,25,zscore,0.0987,0.3202,0.1069
