env,algo,config,norm,ess,top5_mass,saturation_mass
antmaze-medium,GCIQL,42,raw,0.1137,0.4943,0.8078
antmaze-medium,GCIQL,42,zscore,0.1505,0.3042,0.005
antmaze-medium,GCIQL,42,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,42,clip_std,0.2314,0.3101,0.0
antmaze-medium,GCIQL,43,raw,0.1558,0.3402,0.8888
antmaze-medium,GCIQL,43,zscore,0.2686,0.2432,0.0053
antmaze-medium,GCIQL,43,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,43,clip_std,0.3308,0.2589,0.0
antmaze-medium,GCIQL,44,raw,0.1349,0.4029,0.8605
antmaze-medium,GCIQL,44,zscore,0.1615,0.2998,0.0
antmaze-medium,GCIQL,44,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,44,clip_std,0.235,0.3069,0.0
antmaze-medium,GCIQL,45,raw,0.1114,0.4994,0.8131
antmaze-medium,GCIQL,45,zscore,0.2353,0.2583,0.0103
antmaze-medium,GCIQL,45,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,45,clip_std,0.3144,0.2705,0.0
antmaze-medium,GCIQL,46,raw,0.0612,0.8283,0.6256
antmaze-medium,GCIQL,46,zscore,0.1788,0.2838,0.0
antmaze-medium,GCIQL,46,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,46,clip_std,0.2353,0.3041,0.0
antmaze-medium,GCIQL,47,raw,0.1628,0.3191,0.9248
antmaze-medium,GCIQL,47,zscore,0.2439,0.2407,0.0206
antmaze-medium,GCIQL,47,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,47,clip_std,0.3887,0.2381,0.0
antmaze-medium,GCIQL,48,raw,0.1635,0.3197,0.9152
antmaze-medium,GCIQL,48,zscore,0.1644,0.2909,0.0051
antmaze-medium,GCIQL,48,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,48,clip_std,0.2306,0.3079,0.0
antmaze-medium,GCIQL,49,raw,0.1021,0.6509,0.5673
antmaze-medium,GCIQL,49,zscore,0.2031,0.2564,0.0303
antmaze-medium,GCIQL,49,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,49,clip_std,0.3629,0.2484,0.0
antmaze-medium,GCIQL,50,raw,0.1007,0.5723,0.7824
antmaze-medium,GCIQL,50,zscore,0.1615,0.2996,0.0
antmaze-medium,GCIQL,50,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,50,clip_std,0.2352,0.3067,0.0
antmaze-medium,GCIQL,51,raw,0.1151,0.4722,0.8485
antmaze-medium,GCIQL,51,zscore,0.2038,0.2573,0.0308
antmaze-medium,GCIQL,51,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,51,clip_std,0.3449,0.2572,0.0
antmaze-medium,GCIQL,52,raw,0.1497,0.3558,0.8872
antmaze-medium,GCIQL,52,zscore,0.1497,0.3041,0.0
antmaze-medium,GCIQL,52,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,52,clip_std,0.2312,0.31,0.0
antmaze-medium,GCIQL,53,raw,0.1353,0.4104,0.8213
antmaze-medium,GCIQL,53,zscore,0.2838,0.2384,0.0053
antmaze-medium,GCIQL,53,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,53,clip_std,0.3402,0.2578,0.0
antmaze-medium,GCIQL,54,raw,0.0381,0.7482,0.4229
antmaze-medium,GCIQL,54,zscore,0.2252,0.2636,0.0104
antmaze-medium,GCIQL,54,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,54,clip_std,0.2768,0.2801,0.0
antmaze-medium,GCIQL,55,raw,0.1442,0.3641,0.9079
antmaze-medium,GCIQL,55,zscore,0.2263,0.2465,0.0104
antmaze-medium,GCIQL,55,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,55,clip_std,0.3383,0.2552,0.0
antmaze-medium,GCIQL,56,raw,0.1564,0.3374,0.9009
antmaze-medium,GCIQL,56,zscore,0.1547,0.3031,0.0
antmaze-medium,GCIQL,56,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,56,clip_std,0.2332,0.3089,0.0
antmaze-medium,GCIQL,57,raw,0.1717,0.2589,0.0
antmaze-medium,GCIQL,57,zscore,0.2568,0.2354,0.0158
antmaze-medium,GCIQL,57,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,57,clip_std,0.3585,0.2474,0.0
antmaze-medium,GCIQL,58,raw,0.1327,0.4122,0.8405
antmaze-medium,GCIQL,58,zscore,0.1994,0.2762,0.0052
antmaze-medium,GCIQL,58,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,58,clip_std,0.2437,0.2982,0.0
antmaze-medium,GCIQL,59,raw,0.1627,0.3238,0.898
antmaze-medium,GCIQL,59,zscore,0.1707,0.2566,0.0513
antmaze-medium,GCIQL,59,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,59,clip_std,0.3626,0.2482,0.0
antmaze-medium,GCIQL,60,raw,0.1279,0.4242,0.8543
antmaze-medium,GCIQL,60,zscore,0.2385,0.2562,0.0157
antmaze-medium,GCIQL,60,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,60,clip_std,0.2825,0.2788,0.0
antmaze-medium,GCIQL,61,raw,0.0876,0.6711,0.7477
antmaze-medium,GCIQL,61,zscore,0.2875,0.2371,0.0053
antmaze-medium,GCIQL,61,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,61,clip_std,0.3405,0.2532,0.0
antmaze-medium,GCIQL,62,raw,0.0853,0.6977,0.7445
antmaze-medium,GCIQL,62,zscore,0.1512,0.302,0.01
antmaze-medium,GCIQL,62,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,62,clip_std,0.2295,0.3106,0.0
antmaze-medium,GCIQL,63,raw,0.1566,0.333,0.9231
antmaze-medium,GCIQL,63,zscore,0.2317,0.2627,0.0156
antmaze-medium,GCIQL,63,rank,0.9242,0.0772,0.0
antmaze-medium,GCIQL,63,clip_std,0.2864,0.2828,0.0
antmaze-medium,GCIVL,0,raw,0.5414,0.0951,0.9435
antmaze-medium,GCIVL,0,zscore,0.1984,0.2787,0.0
antmaze-medium,GCIVL,0,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,0,clip_std,0.2565,0.3012,0.0
antmaze-medium,GCIVL,1,raw,0.4448,0.1221,0.8399
antmaze-medium,GCIVL,1,zscore,0.2244,0.2538,0.0211
antmaze-medium,GCIVL,1,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,1,clip_std,0.2853,0.2849,0.0
antmaze-medium,GCIVL,2,raw,0.2971,0.2139,0.6075
antmaze-medium,GCIVL,2,zscore,0.2338,0.2731,0.0
antmaze-medium,GCIVL,2,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,2,clip_std,0.2458,0.3104,0.0
antmaze-medium,GCIVL,3,raw,0.5693,0.0898,0.9544
antmaze-medium,GCIVL,3,zscore,0.2023,0.263,0.021
antmaze-medium,GCIVL,3,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,3,clip_std,0.2534,0.2977,0.0
antmaze-medium,GCIVL,4,raw,0.5668,0.0901,0.9565
antmaze-medium,GCIVL,4,zscore,0.2177,0.2774,0.0
antmaze-medium,GCIVL,4,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,4,clip_std,0.2402,0.3115,0.0
antmaze-medium,GCIVL,5,raw,0.1693,0.4861,0.3226
antmaze-medium,GCIVL,5,zscore,0.1832,0.274,0.0103
antmaze-medium,GCIVL,5,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,5,clip_std,0.2559,0.2925,0.0
antmaze-medium,GCIVL,6,raw,0.477,0.1114,0.8802
antmaze-medium,GCIVL,6,zscore,0.1998,0.2756,0.0
antmaze-medium,GCIVL,6,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,6,clip_std,0.2619,0.2966,0.0
antmaze-medium,GCIVL,7,raw,0.5394,0.0958,0.9329
antmaze-medium,GCIVL,7,zscore,0.2703,0.2459,0.0053
antmaze-medium,GCIVL,7,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,7,clip_std,0.3079,0.2774,0.0
antmaze-medium,GCIVL,8,raw,0.5216,0.0995,0.9275
antmaze-medium,GCIVL,8,zscore,0.2309,0.2738,0.0
antmaze-medium,GCIVL,8,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,8,clip_std,0.2448,0.3108,0.0
antmaze-medium,GCIVL,9,raw,0.4988,0.1055,0.8957
antmaze-medium,GCIVL,9,zscore,0.1911,0.2671,0.0208
antmaze-medium,GCIVL,9,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,9,clip_std,0.26,0.2904,0.0
antmaze-medium,GCIVL,10,raw,0.1134,0.4336,0.1607
antmaze-medium,GCIVL,10,zscore,0.2138,0.2786,0.0
antmaze-medium,GCIVL,10,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,10,clip_std,0.2412,0.3102,0.0
antmaze-medium,GCIVL,11,raw,0.5546,0.0921,0.9583
antmaze-medium,GCIVL,11,zscore,0.2384,0.2729,0.0051
antmaze-medium,GCIVL,11,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,11,clip_std,0.2762,0.2951,0.0
antmaze-medium,GCIVL,12,raw,0.5556,0.0923,0.9498
antmaze-medium,GCIVL,12,zscore,0.1832,0.2768,0.0103
antmaze-medium,GCIVL,12,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,12,clip_std,0.26,0.2939,0.0
antmaze-medium,GCIVL,13,raw,0.3639,0.1599,0.7301
antmaze-medium,GCIVL,13,zscore,0.2665,0.2465,0.0053
antmaze-medium,GCIVL,13,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,13,clip_std,0.2983,0.278,0.0
antmaze-medium,GCIVL,14,raw,0.4094,0.1363,0.7983
antmaze-medium,GCIVL,14,zscore,0.2277,0.2746,0.0
antmaze-medium,GCIVL,14,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,14,clip_std,0.2417,0.3115,0.0
antmaze-medium,GCIVL,15,raw,0.5563,0.0922,0.9493
antmaze-medium,GCIVL,15,zscore,0.182,0.2672,0.0261
antmaze-medium,GCIVL,15,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,15,clip_std,0.2489,0.2912,0.0
antmaze-medium,GCIVL,16,raw,0.5474,0.094,0.9438
antmaze-medium,GCIVL,16,zscore,0.2213,0.2761,0.0
antmaze-medium,GCIVL,16,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,16,clip_std,0.2402,0.3117,0.0
antmaze-medium,GCIVL,17,raw,0.4155,0.1334,0.8079
antmaze-medium,GCIVL,17,zscore,0.1728,0.2749,0.0206
antmaze-medium,GCIVL,17,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,17,clip_std,0.2527,0.2913,0.0
antmaze-medium,GCIVL,18,raw,0.3407,0.175,0.6917
antmaze-medium,GCIVL,18,zscore,0.1811,0.2765,0.0103
antmaze-medium,GCIVL,18,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,18,clip_std,0.2592,0.2929,0.0
antmaze-medium,GCIVL,19,raw,0.5619,0.091,0.9561
antmaze-medium,GCIVL,19,zscore,0.2612,0.2476,0.0053
antmaze-medium,GCIVL,19,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,19,clip_std,0.2721,0.288,0.0
antmaze-medium,GCIVL,20,raw,0.5749,0.0886,0.9632
antmaze-medium,GCIVL,20,zscore,0.2133,0.2783,0.0
antmaze-medium,GCIVL,20,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,20,clip_std,0.2422,0.3092,0.0
antmaze-medium,GCIVL,21,raw,0.9984,0.0539,0.0
antmaze-medium,GCIVL,21,zscore,0.2683,0.2532,0.0
antmaze-medium,GCIVL,21,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,21,clip_std,0.2914,0.2825,0.0
antmaze-medium,GCIVL,22,raw,0.5111,0.102,0.9165
antmaze-medium,GCIVL,22,zscore,0.2271,0.2747,0.0
antmaze-medium,GCIVL,22,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,22,clip_std,0.2428,0.3113,0.0
antmaze-medium,GCIVL,23,raw,0.5199,0.1002,0.9187
antmaze-medium,GCIVL,23,zscore,0.1693,0.2768,0.0257
antmaze-medium,GCIVL,23,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,23,clip_std,0.246,0.2948,0.0
antmaze-medium,GCIVL,24,raw,0.527,0.0982,0.9294
antmaze-medium,GCIVL,24,zscore,0.1985,0.2785,0.0
antmaze-medium,GCIVL,24,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,24,clip_std,0.2575,0.3008,0.0
antmaze-medium,GCIVL,25,raw,0.485,0.1091,0.8903
antmaze-medium,GCIVL,25,zscore,0.2165,0.2559,0.0157
antmaze-medium,GCIVL,25,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,25,clip_std,0.2971,0.2772,0.0
antmaze-medium,GCIVL,26,raw,0.14,0.5272,0.3086
antmaze-medium,GCIVL,26,zscore,0.2187,0.2769,0.0
antmaze-medium,GCIVL,26,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,26,clip_std,0.2403,0.3116,0.0
antmaze-medium,GCIVL,27,raw,0.566,0.0901,0.9614
antmaze-medium,GCIVL,27,zscore,0.1768,0.2737,0.0155
antmaze-medium,GCIVL,27,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,27,clip_std,0.2528,0.2922,0.0
antmaze-medium,GCIVL,28,raw,0.5651,0.0904,0.9546
antmaze-medium,GCIVL,28,zscore,0.2355,0.2728,0.0
antmaze-medium,GCIVL,28,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,28,clip_std,0.2462,0.3103,0.0
antmaze-medium,GCIVL,29,raw,0.2151,0.3507,0.4548
antmaze-medium,GCIVL,29,zscore,0.2369,0.2492,0.0107
antmaze-medium,GCIVL,29,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,29,clip_std,0.2677,0.2881,0.0
antmaze-medium,GCIVL,30,raw,0.466,0.1146,0.8752
antmaze-medium,GCIVL,30,zscore,0.2063,0.2787,0.0
antmaze-medium,GCIVL,30,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,30,clip_std,0.247,0.3056,0.0
antmaze-medium,GCIVL,31,raw,0.5369,0.0961,0.9374
antmaze-medium,GCIVL,31,zscore,0.2227,0.2562,0.0106
antmaze-medium,GCIVL,31,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,31,clip_std,0.2824,0.2903,0.0
antmaze-medium,GCIVL,32,raw,0.5399,0.0955,0.942
antmaze-medium,GCIVL,32,zscore,0.2335,0.2732,0.0
antmaze-medium,GCIVL,32,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,32,clip_std,0.2456,0.3105,0.0
antmaze-medium,GCIVL,33,raw,0.4596,0.1171,0.856
antmaze-medium,GCIVL,33,zscore,0.1955,0.2653,0.0209
antmaze-medium,GCIVL,33,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,33,clip_std,0.2577,0.2937,0.0
antmaze-medium,GCIVL,34,raw,0.2649,0.2585,0.5356
antmaze-medium,GCIVL,34,zscore,0.2043,0.2784,0.0
antmaze-medium,GCIVL,34,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,34,clip_std,0.2504,0.304,0.0
antmaze-medium,GCIVL,35,raw,0.5632,0.0908,0.9566
antmaze-medium,GCIVL,35,zscore,0.2272,0.2546,0.021
antmaze-medium,GCIVL,35,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,35,clip_std,0.3032,0.2804,0.0
antmaze-medium,GCIVL,36,raw,0.5702,0.0896,0.9576
antmaze-medium,GCIVL,36,zscore,0.1975,0.2763,0.0
antmaze-medium,GCIVL,36,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,36,clip_std,0.2618,0.2965,0.0
antmaze-medium,GCIVL,37,raw,0.1297,0.5133,0.2424
antmaze-medium,GCIVL,37,zscore,0.2125,0.2622,0.0105
antmaze-medium,GCIVL,37,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,37,clip_std,0.2718,0.2911,0.0
antmaze-medium,GCIVL,38,raw,0.4941,0.1064,0.9041
antmaze-medium,GCIVL,38,zscore,0.2162,0.2779,0.0
antmaze-medium,GCIVL,38,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,38,clip_std,0.2412,0.3107,0.0
antmaze-medium,GCIVL,39,raw,0.5262,0.0983,0.9312
antmaze-medium,GCIVL,39,zscore,0.186,0.2735,0.0052
antmaze-medium,GCIVL,39,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,39,clip_std,0.2561,0.2924,0.0
antmaze-medium,GCIVL,40,raw,0.5152,0.1011,0.9226
antmaze-medium,GCIVL,40,zscore,0.2143,0.2787,0.0
antmaze-medium,GCIVL,40,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,40,clip_std,0.2411,0.3107,0.0
antmaze-medium,GCIVL,41,raw,0.4884,0.1071,0.9113
antmaze-medium,GCIVL,41,zscore,0.197,0.2772,0.0305
antmaze-medium,GCIVL,41,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,41,clip_std,0.2721,0.2961,0.0
antmaze-medium,GCIVL,42,raw,0.3765,0.2208,0.0
antmaze-medium,GCIVL,42,zscore,0.2296,0.2741,0.0
antmaze-medium,GCIVL,42,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,42,clip_std,0.2443,0.3109,0.0
antmaze-medium,GCIVL,43,raw,0.5836,0.0871,0.9661
antmaze-medium,GCIVL,43,zscore,0.1839,0.2717,0.0155
antmaze-medium,GCIVL,43,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,43,clip_std,0.2624,0.2902,0.0
antmaze-medium,GCIVL,44,raw,0.5594,0.0915,0.9508
antmaze-medium,GCIVL,44,zscore,0.2257,0.2752,0.0
antmaze-medium,GCIVL,44,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,44,clip_std,0.2411,0.3118,0.0
antmaze-medium,GCIVL,45,raw,0.3296,0.1845,0.6679
antmaze-medium,GCIVL,45,zscore,0.1715,0.2793,0.0205
antmaze-medium,GCIVL,45,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,45,clip_std,0.247,0.2956,0.0
antmaze-medium,GCIVL,46,raw,0.4343,0.1259,0.8315
antmaze-medium,GCIVL,46,zscore,0.1938,0.2753,0.0051
antmaze-medium,GCIVL,46,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,46,clip_std,0.262,0.2946,0.0
antmaze-medium,GCIVL,47,raw,0.5478,0.0937,0.9458
antmaze-medium,GCIVL,47,zscore,0.2137,0.2573,0.0106
antmaze-medium,GCIVL,47,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,47,clip_std,0.274,0.288,0.0
antmaze-medium,GCIVL,48,raw,0.551,0.0932,0.9458
antmaze-medium,GCIVL,48,zscore,0.1831,0.275,0.0154
antmaze-medium,GCIVL,48,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,48,clip_std,0.2588,0.2928,0.0
antmaze-medium,GCIVL,49,raw,0.401,0.1403,0.7857
antmaze-medium,GCIVL,49,zscore,0.2116,0.2527,0.0212
antmaze-medium,GCIVL,49,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,49,clip_std,0.2766,0.2858,0.0
antmaze-medium,GCIVL,50,raw,0.3847,0.1477,0.7742
antmaze-medium,GCIVL,50,zscore,0.2246,0.2754,0.0
antmaze-medium,GCIVL,50,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,50,clip_std,0.2406,0.3118,0.0
antmaze-medium,GCIVL,51,raw,0.5573,0.0919,0.9537
antmaze-medium,GCIVL,51,zscore,0.1745,0.2758,0.0205
antmaze-medium,GCIVL,51,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,51,clip_std,0.2526,0.2914,0.0
antmaze-medium,GCIVL,52,raw,0.5718,0.0891,0.9611
antmaze-medium,GCIVL,52,zscore,0.2284,0.2743,0.0
antmaze-medium,GCIVL,52,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,52,clip_std,0.2437,0.311,0.0
antmaze-medium,GCIVL,53,raw,0.1162,0.3975,0.1295
antmaze-medium,GCIVL,53,zscore,0.1834,0.272,0.0207
antmaze-medium,GCIVL,53,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,53,clip_std,0.256,0.2936,0.0
antmaze-medium,GCIVL,54,raw,0.5027,0.1044,0.9072
antmaze-medium,GCIVL,54,zscore,0.2106,0.2781,0.0
antmaze-medium,GCIVL,54,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,54,clip_std,0.2445,0.3073,0.0
antmaze-medium,GCIVL,55,raw,0.5172,0.1005,0.9232
antmaze-medium,GCIVL,55,zscore,0.1846,0.2782,0.0203
antmaze-medium,GCIVL,55,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,55,clip_std,0.286,0.2896,0.0
antmaze-medium,GCIVL,56,raw,0.5335,0.0969,0.934
antmaze-medium,GCIVL,56,zscore,0.2192,0.2767,0.0
antmaze-medium,GCIVL,56,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,56,clip_std,0.2403,0.3116,0.0
antmaze-medium,GCIVL,57,raw,0.4747,0.1119,0.8856
antmaze-medium,GCIVL,57,zscore,0.1622,0.2806,0.0256
antmaze-medium,GCIVL,57,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,57,clip_std,0.2484,0.2945,0.0
antmaze-medium,GCIVL,58,raw,0.2027,0.3965,0.4182
antmaze-medium,GCIVL,58,zscore,0.1995,0.2771,0.0
antmaze-medium,GCIVL,58,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,58,clip_std,0.2601,0.2987,0.0
antmaze-medium,GCIVL,59,raw,0.5728,0.089,0.9614
antmaze-medium,GCIVL,59,zscore,0.2214,0.2552,0.0158
antmaze-medium,GCIVL,59,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,59,clip_std,0.2837,0.282,0.0
antmaze-medium,GCIVL,60,raw,0.562,0.091,0.9567
antmaze-medium,GCIVL,60,zscore,0.2072,0.2783,0.0
antmaze-medium,GCIVL,60,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,60,clip_std,0.2474,0.3054,0.0
antmaze-medium,GCIVL,61,raw,0.2863,0.2232,0.6125
antmaze-medium,GCIVL,61,zscore,0.2156,0.2625,0.0156
antmaze-medium,GCIVL,61,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,61,clip_std,0.3001,0.2833,0.0
antmaze-medium,GCIVL,62,raw,0.4588,0.1172,0.8571
antmaze-medium,GCIVL,62,zscore,0.2382,0.2722,0.0
antmaze-medium,GCIVL,62,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,62,clip_std,0.2468,0.31,0.0
antmaze-medium,GCIVL,63,raw,0.5445,0.0945,0.943
antmaze-medium,GCIVL,63,zscore,0.2086,0.2527,0.0107
antmaze-medium,GCIVL,63,rank,0.9242,0.0772,0.0
antmaze-medium,GCIVL,63,clip_std,0.2553,0.2941,0.0
antmaze-medium,QRL,0,raw,0.3406,0.176,0.6651
antmaze-medium,QRL,0,zscore,0.4512,0.192,0.0
antmaze-medium,QRL,0,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,0,clip_std,0.524,0.1882,0.0
antmaze-medium,QRL,1,raw,0.6204,0.0816,0.974
antmaze-medium,QRL,1,zscore,0.2186,0.1847,0.0268
antmaze-medium,QRL,1,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,1,clip_std,0.5325,0.1614,0.0
antmaze-medium,QRL,2,raw,0.5715,0.0895,0.9555
antmaze-medium,QRL,2,zscore,0.3278,0.169,0.0212
antmaze-medium,QRL,2,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,2,clip_std,0.5843,0.1588,0.0
antmaze-medium,QRL,3,raw,0.5447,0.0949,0.9335
antmaze-medium,QRL,3,zscore,0.153,0.2031,0.0746
antmaze-medium,QRL,3,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,3,clip_std,0.4984,0.1675,0.0
antmaze-medium,QRL,4,raw,0.5638,0.0911,0.9495
antmaze-medium,QRL,4,zscore,0.1947,0.1885,0.0481
antmaze-medium,QRL,4,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,4,clip_std,0.5381,0.163,0.0
antmaze-medium,QRL,5,raw,0.6053,0.0839,0.9701
antmaze-medium,QRL,5,zscore,0.1712,0.1952,0.0479
antmaze-medium,QRL,5,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,5,clip_std,0.5285,0.1618,0.0
antmaze-medium,QRL,6,raw,0.5654,0.0899,0.9687
antmaze-medium,QRL,6,zscore,0.4836,0.1695,0.0052
antmaze-medium,QRL,6,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,6,clip_std,0.5717,0.1673,0.0
antmaze-medium,QRL,7,raw,0.2782,0.3252,0.0623
antmaze-medium,QRL,7,zscore,0.2498,0.1753,0.0271
antmaze-medium,QRL,7,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,7,clip_std,0.555,0.1587,0.0
antmaze-medium,QRL,8,raw,0.7721,0.1111,0.0
antmaze-medium,QRL,8,zscore,0.4697,0.1666,0.0
antmaze-medium,QRL,8,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,8,clip_std,0.5787,0.1631,0.0
antmaze-medium,QRL,9,raw,0.6126,0.0828,0.9721
antmaze-medium,QRL,9,zscore,0.1636,0.197,0.0696
antmaze-medium,QRL,9,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,9,clip_std,0.5131,0.165,0.0
antmaze-medium,QRL,10,raw,0.5576,0.0915,0.9621
antmaze-medium,QRL,10,zscore,0.4766,0.1772,0.0052
antmaze-medium,QRL,10,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,10,clip_std,0.5565,0.1751,0.0
antmaze-medium,QRL,11,raw,0.5738,0.0891,0.9601
antmaze-medium,QRL,11,zscore,0.1942,0.1897,0.032
antmaze-medium,QRL,11,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,11,clip_std,0.5308,0.1614,0.0
antmaze-medium,QRL,12,raw,0.4527,0.1172,0.8836
antmaze-medium,QRL,12,zscore,0.4451,0.187,0.0051
antmaze-medium,QRL,12,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,12,clip_std,0.5308,0.1838,0.0
antmaze-medium,QRL,13,raw,0.5886,0.0867,0.9625
antmaze-medium,QRL,13,zscore,0.2583,0.1728,0.0271
antmaze-medium,QRL,13,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,13,clip_std,0.565,0.1568,0.0
antmaze-medium,QRL,14,raw,0.6189,0.0819,0.9729
antmaze-medium,QRL,14,zscore,0.1712,0.1964,0.0641
antmaze-medium,QRL,14,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,14,clip_std,0.5111,0.1665,0.0
antmaze-medium,QRL,15,raw,0.4911,0.1085,0.8721
antmaze-medium,QRL,15,zscore,0.155,0.2008,0.069
antmaze-medium,QRL,15,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,15,clip_std,0.5213,0.1633,0.0
antmaze-medium,QRL,16,raw,0.4669,0.1162,0.8383
antmaze-medium,QRL,16,zscore,0.1666,0.1991,0.0585
antmaze-medium,QRL,16,rank,0.9242,0.0772,0.0
antmaze-medium,QRL,16,clip_std,0.5122,0.1668,0.0
antmaze-medium,QRL,17,raw,0.6154,0.0823,0.9743
antmaze-medium,QRL,17,zscore,0.1628,0.1974,0.0637
antmaze-medium,QRL,17,rank,0.9242,0.0772,0.0
