agent,prec_at_10,prec_at_25,rank_median,rank_worst_half,dominance_mean,dominance_pos_frac
CRL,0.0208,0.0671,117.0623,0.4416,-8.6153,0.0019
GCIQL,0.0739,0.1374,139.1792,0.5317,-1.5813,0.0153
GCIVL,0.1536,0.245,94.7436,0.4067,-1.2211,0.0402
QRL,0.1324,0.2279,94.0822,0.3994,-0.4985,0.0342
