agent,alpha=0.010,alpha=0.011,alpha=0.013,alpha=0.015,alpha=0.017,alpha=0.019,alpha=0.022,alpha=0.025,alpha=0.028,alpha=0.032,alpha=0.036,alpha=0.041,alpha=0.047,alpha=0.053,alpha=0.061,alpha=0.069,alpha=0.079,alpha=0.089,alpha=0.102,alpha=0.116,alpha=0.132,alpha=0.150,alpha=0.170,alpha=0.194,alpha=0.220,alpha=0.250,alpha=0.285,alpha=0.324,alpha=0.369,alpha=0.419,alpha=0.477,alpha=0.543,alpha=0.617,alpha=0.702,alpha=0.799,alpha=0.908,alpha=1.033,alpha=1.175,alpha=1.337,alpha=1.521,alpha=1.730,alpha=1.968,alpha=2.238,alpha=2.546,alpha=2.896,alpha=3.294,alpha=3.747,alpha=4.262,alpha=4.848,alpha=5.515,alpha=6.273,alpha=7.136,alpha=8.117,alpha=9.233,alpha=10.502,alpha=11.946,alpha=13.589,alpha=15.457,alpha=17.582,alpha=20.000
CRL,0.9994621312499999,0.9993067718749999,0.9991051125,0.9988437937500001,0.9985059187499999,0.9980799625,0.9975193718750001,0.996795353125,0.9958605,0.994652415625,0.9930909343750001,0.991094434375,0.9884889031249999,0.9852918468749999,0.9809850875,0.97544623125,0.96844345,0.9595894625,0.948447525,0.935924078125,0.91887464375,0.8998439781249999,0.874386059375,0.843688428125,0.80581744375,0.7624412406250001,0.7153477625,0.66308535,0.6060969625,0.5514525781249999,0.49854722812499996,0.450955803125,0.41204064375,0.379593775,0.35558485625,0.342095184375,0.33657219375,0.33516586875,0.336593653125,0.342447384375,0.34676656875,0.351844859375,0.35718764687500004,0.362578459375,0.36810139375,0.37357225,0.378955809375,0.38418712187500004,0.389194171875,0.39413570625,0.39912570625,0.407326859375,0.41239352812499996,0.42048203749999996,0.42542761249999994,0.43022788749999996,0.437921559375,0.44234525937499997,0.4464976625,0.4503742
GCIQL,0.9998317468750001,0.99978399375,0.99972300625,0.9996451937499999,0.9995460406250001,0.999420034375,0.9992601531249999,0.9990577999999999,0.998802296875,0.998480440625,0.99807626875,0.9975699812500001,0.996937603125,0.9961498093750001,0.9951707687500001,0.99395635625,0.992451634375,0.99058701875,0.98827295,0.985392109375,0.9817895062499999,0.977255721875,0.971488103125,0.964021875,0.9541526812500001,0.9408852937500001,0.92296611875,0.8991896562499999,0.8688403499999999,0.83184555625,0.788189846875,0.73719904375,0.677452675,0.6080245,0.529405190625,0.44436902500000003,0.35800853125,0.27670841875,0.20593747499999998,0.14951509375,0.10828087500000001,0.080575465625,0.064045259375,0.05548951875,0.051840984374999996,0.051427515624999996,0.05357005625,0.05746198125,0.06268649375,0.069075846875,0.07648393437499999,0.08479868125,0.093901921875,0.1036108875,0.1137176375,0.123938709375,0.134133959375,0.14416275,0.153839884375,0.162978509375
GCIVL,0.99985363125,0.999811890625,0.9997583593750001,0.9996899718750001,0.99960266875,0.99949136875,0.999349765625,0.999169896875,0.9989420093750001,0.9986539062500001,0.9982905843750001,0.997833646875,0.9972605124999999,0.996543678125,0.99564965,0.994537571875,0.9931576156249999,0.9914486312499999,0.989335075,0.9867217593750001,0.9834872875,0.979472784375,0.9744650343749999,0.96816939375,0.960167284375,0.94984985,0.9363194,0.9182631718750001,0.8938507781249999,0.8608092875000001,0.816910925,0.760905784375,0.69331841875,0.616289046875,0.533432859375,0.449857053125,0.36732934375,0.2919945625,0.23379539375,0.191486578125,0.16778626562500001,0.158274740625,0.15880755625,0.169616853125,0.188387234375,0.21217907500000002,0.24290183124999998,0.279346,0.3197021,0.362521475,0.40626733125000003,0.44878518125,0.48804654999999997,0.5231332625,0.553913253125,0.5805422874999999,0.6034163593749999,0.62294855625,0.6397045593749999,0.6540702781250001
QRL,0.9998639153605016,0.999823197492163,0.9997699999999999,0.9997004952978056,0.9996094514106583,0.9994898244514105,0.9993320219435737,0.9991227742946709,0.9988435736677116,0.9984679028213166,0.9979567178683385,0.9972514796238244,0.9962615203761757,0.9948444764890282,0.9927776394984327,0.9897282006269592,0.9852427962382446,0.9787760156739812,0.9697504764890281,0.9576277711598745,0.9419685391849529,0.9224404890282131,0.8990036739811912,0.8715632789968651,0.8398551191222571,0.803163789968652,0.7603052946708464,0.7111051128526646,0.6561920031347963,0.5960507711598746,0.531553197492163,0.46268077742946706,0.3902021347962382,0.3191417398119122,0.25479210971786836,0.20237601253918494,0.1655220501567398,0.14162559247648904,0.12673584639498434,0.11899109717868338,0.11710920376175549,0.1218592131661442,0.1316401724137931,0.1464592946708464,0.1656448934169279,0.18793563322884013,0.21454394357366774,0.24530022884012537,0.2786092727272727,0.3126630752351097,0.3463168526645768,0.37835165203761756,0.4082657680250784,0.43569752664576805,0.4605113855799373,0.48286793730407523,0.5029506081504702,0.5209851285266458,0.5370169529780565,0.5510383510971787
