agent,antmaze-medium,antmaze-large,cube,scene
CRL,-186.920 ± 6895.971,-118.481 ± 946.002,-289.002 ± 1621.692,-1582.758 ± 9829.954
GCIQL,-0.705 ± 0.127,-0.576 ± 0.140,-0.542 ± 0.111,-0.502 ± 0.103
GCIVL,0.132 ± 0.055,0.137 ± 0.068,0.173 ± 0.066,0.184 ± 0.049
QRL,0.264 ± 0.047,0.396 ± 0.084,0.127 ± 0.062,0.210 ± 0.073
