agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.074 ± 0.105,0.051 ± 0.053,0.164 ± 0.229,0.155 ± 0.218
GCIQL,-0.069 ± 0.039,-0.080 ± 0.048,-0.028 ± 0.094,-0.175 ± 0.068
GCIVL,0.119 ± 0.012,0.141 ± 0.008,0.125 ± 0.016,0.178 ± 0.009
QRL,0.194 ± 0.008,0.251 ± 0.031,0.108 ± 0.007,0.160 ± 0.009
