agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.004 ± 0.015,0.002 ± 0.008,0.004 ± 0.017,0.004 ± 0.017
GCIQL,0.018 ± 0.010,0.015 ± 0.008,0.010 ± 0.007,0.015 ± 0.008
GCIVL,0.036 ± 0.012,0.040 ± 0.014,0.021 ± 0.008,0.062 ± 0.015
QRL,0.031 ± 0.011,0.034 ± 0.013,0.051 ± 0.019,0.070 ± 0.017
