agent,antmaze-medium,antmaze-large,cube,scene
CRL,4.329 ± 0.559,4.357 ± 0.462,4.545 ± 0.652,4.563 ± 0.675
GCIQL,3.614 ± 0.438,3.604 ± 0.497,3.730 ± 0.502,3.565 ± 0.529
GCIVL,4.848 ± 0.223,4.826 ± 0.229,5.017 ± 0.230,4.971 ± 0.236
QRL,4.977 ± 0.153,5.076 ± 0.127,4.856 ± 0.216,4.856 ± 0.225
