agent,prec_at_10,prec_at_25,rank_median,rank_worst_half,dominance_mean,dominance_pos_frac
CRL,0.0294,0.0749,111.2997,0.3954,-11.118,0.0037
GCIQL,0.0767,0.1338,172.2422,0.6194,-1.3075,0.0152
GCIVL,0.2763,0.4076,45.6769,0.2973,-1.0483,0.0619
QRL,0.189,0.2719,91.6333,0.4029,-0.5105,0.0696
