agent,env,R2_lr,R2_alpha,R2_main,R2_full,dR2_lr,dR2_alpha,dR2_inter,R2_shared,n
CRL,antmaze-large-navigate-v0,0.6633,0.0015,0.6638,0.6679,0.6623,0.0005,0.0041,0.0011,64
GCIQL,antmaze-large-navigate-v0,0.6113,0.0063,0.624,0.6244,0.6177,0.0127,0.0004,-0.0064,64
GCIVL,antmaze-large-navigate-v0,0.2617,0.0184,0.2793,0.2909,0.2609,0.0176,0.0116,0.0008,64
QRL,antmaze-large-navigate-v0,0.6808,0.0,0.6817,0.6817,0.6816,0.0009,0.0,-0.0008,64
CRL,antmaze-medium-explore-v0,0.7227,0.0001,0.7227,0.7255,0.7226,0.0,0.0028,0.0001,64
GCIQL,antmaze-medium-explore-v0,0.0144,0.0135,0.0286,0.0581,0.0151,0.0142,0.0295,-0.0007,64
GCIVL,antmaze-medium-explore-v0,0.0454,0.0019,0.048,0.0514,0.0461,0.0026,0.0034,-0.0007,64
QRL,antmaze-medium-explore-v0,0.8039,0.0109,0.8147,0.8153,0.8038,0.0108,0.0006,0.0001,64
CRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.4535,0.0039,0.4557,0.4575,0.4519,0.0022,0.0018,0.0017,64
GCIQL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.0093,0.0757,0.0867,0.1031,0.011,0.0774,0.0164,-0.0017,64
GCIVL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.422,0.0039,0.4304,0.4305,0.4265,0.0084,0.0,-0.0045,64
QRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.5749,0.0107,0.5792,0.5792,0.5685,0.0043,0.0,0.0064,64
CRL,antmaze-medium-explore40navigate-v0,0.6517,0.0103,0.6599,0.6611,0.6497,0.0082,0.0012,0.0021,64
GCIQL,antmaze-medium-explore40navigate-v0,0.525,0.0526,0.5877,0.5888,0.5352,0.0627,0.001,-0.0101,64
GCIVL,antmaze-medium-explore40navigate-v0,0.4498,0.0246,0.4721,0.4919,0.4475,0.0223,0.0198,0.0023,64
QRL,antmaze-medium-explore40navigate-v0,0.6462,0.0,0.6464,0.6485,0.6464,0.0003,0.0021,-0.0003,64
CRL,antmaze-medium-explore80navigate-v0,0.8213,0.0016,0.8225,0.8225,0.8209,0.0012,0.0,0.0004,64
GCIQL,antmaze-medium-explore80navigate-v0,0.2443,0.0333,0.2854,0.2936,0.2521,0.0411,0.0082,-0.0078,64
GCIVL,antmaze-medium-explore80navigate-v0,0.3322,0.0095,0.3438,0.3438,0.3342,0.0115,0.0,-0.002,64
QRL,antmaze-medium-explore80navigate-v0,0.7178,0.0035,0.7225,0.7229,0.7189,0.0046,0.0004,-0.0011,64
CRL,antmaze-medium-navigate-v0,0.4936,0.0001,0.4937,0.4938,0.4936,0.0,0.0001,0.0001,64
GCIQL,antmaze-medium-navigate-v0,0.6344,0.0229,0.6646,0.6657,0.6417,0.0302,0.0011,-0.0073,64
GCIVL,antmaze-medium-navigate-v0,0.5423,0.0972,0.6141,0.6179,0.5169,0.0718,0.0038,0.0254,64
QRL,antmaze-medium-navigate-v0,0.5187,0.028,0.5388,0.5517,0.5108,0.0201,0.0129,0.0079,64
CRL,cube-single-play-v0,0.8732,0.0051,0.8785,0.8785,0.8734,0.0053,0.0,-0.0002,64
GCIQL,cube-single-play-v0,0.6729,0.0164,0.6874,0.6992,0.671,0.0145,0.0118,0.0019,64
GCIVL,cube-single-play-v0,0.5504,0.0165,0.579,0.5796,0.5624,0.0285,0.0007,-0.012,64
QRL,cube-single-play-v0,0.7856,0.0006,0.7883,0.794,0.7878,0.0028,0.0057,-0.0022,64
CRL,scene-play-v0,0.6784,0.002,0.6788,0.6813,0.6768,0.0004,0.0025,0.0016,64
GCIQL,scene-play-v0,0.6653,0.0036,0.6689,0.669,0.6653,0.0036,0.0002,-0.0,64
GCIVL,scene-play-v0,0.6675,0.0088,0.6716,0.6717,0.6628,0.0041,0.0001,0.0047,64
QRL,scene-play-v0,0.6363,0.0005,0.6373,0.6374,0.6368,0.0011,0.0,-0.0005,64
