agent,antmaze-medium,antmaze-large,cube,scene
CRL,0.014 ± 0.037,0.010 ± 0.020,0.015 ± 0.046,0.016 ± 0.058
GCIQL,0.052 ± 0.016,0.048 ± 0.017,0.043 ± 0.022,0.050 ± 0.019
GCIVL,0.100 ± 0.018,0.107 ± 0.028,0.076 ± 0.017,0.194 ± 0.024
QRL,0.081 ± 0.018,0.089 ± 0.023,0.111 ± 0.034,0.144 ± 0.023
