agent,env,R2_lr,R2_alpha,R2_main,R2_full,dR2_lr,dR2_alpha,dR2_inter,R2_shared,n,phase
QRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.0895,0.0008,0.0896,0.0933,0.0888,0.0002,0.0036,0.0006,64,2
CRL,antmaze-medium-explore40navigate-v0,0.5157,0.0123,0.526,0.5261,0.5136,0.0103,0.0001,0.0021,64,2
GCIQL,antmaze-medium-explore40navigate-v0,0.382,0.0171,0.4041,0.4042,0.387,0.0221,0.0001,-0.005,64,2
GCIVL,antmaze-medium-explore40navigate-v0,0.3281,0.0277,0.3536,0.358,0.326,0.0255,0.0044,0.0021,64,2
QRL,antmaze-medium-explore40navigate-v0,0.5447,0.0003,0.5458,0.5469,0.5455,0.0011,0.0011,-0.0008,64,2
CRL,antmaze-medium-explore80navigate-v0,0.7425,0.0015,0.7436,0.7436,0.7421,0.0011,0.0,0.0004,64,2
GCIQL,antmaze-medium-explore80navigate-v0,0.3112,0.0,0.3119,0.3341,0.3119,0.0007,0.0222,-0.0007,64,2
GCIVL,antmaze-medium-explore80navigate-v0,0.5286,0.0022,0.5321,0.5329,0.5299,0.0035,0.0008,-0.0013,64,2
QRL,antmaze-medium-explore80navigate-v0,0.5336,0.0023,0.5366,0.5367,0.5344,0.0031,0.0001,-0.0008,64,2
CRL,antmaze-medium-navigate-v0,0.5023,0.0004,0.503,0.5035,0.5026,0.0006,0.0005,-0.0003,64,2
GCIQL,antmaze-medium-navigate-v0,0.1982,0.0962,0.3024,0.3059,0.2062,0.1042,0.0035,-0.008,64,2
GCIVL,antmaze-medium-navigate-v0,0.1089,0.1579,0.2519,0.2524,0.094,0.143,0.0004,0.0149,64,2
QRL,antmaze-medium-navigate-v0,0.3918,0.0223,0.408,0.4189,0.3856,0.0162,0.0109,0.0061,64,2
CRL,cube-single-play-v0,0.8804,0.0036,0.8842,0.8844,0.8806,0.0038,0.0003,-0.0002,64,2
GCIQL,cube-single-play-v0,0.6919,0.0226,0.7122,0.7309,0.6896,0.0203,0.0187,0.0023,64,2
GCIVL,cube-single-play-v0,0.1702,0.0848,0.2688,0.2688,0.1839,0.0986,0.0,-0.0138,64,2
QRL,cube-single-play-v0,0.7999,0.0,0.8011,0.8057,0.8011,0.0012,0.0046,-0.0012,64,2
CRL,scene-play-v0,0.6593,0.0001,0.6604,0.661,0.6603,0.0011,0.0006,-0.001,64,2
GCIQL,scene-play-v0,0.342,0.0097,0.3518,0.3522,0.342,0.0098,0.0005,-0.0,64,2
GCIVL,scene-play-v0,0.402,0.026,0.421,0.4222,0.395,0.019,0.0012,0.0069,64,2
QRL,scene-play-v0,0.658,0.0057,0.6653,0.6705,0.6596,0.0073,0.0052,-0.0016,64,2
CRL,antmaze-large-navigate-v0,0.6719,0.0013,0.6723,0.6743,0.671,0.0004,0.0021,0.001,64,3
GCIQL,antmaze-large-navigate-v0,0.619,0.0102,0.637,0.637,0.6268,0.018,0.0,-0.0078,64,3
GCIVL,antmaze-large-navigate-v0,0.2375,0.0438,0.2802,0.2952,0.2363,0.0427,0.015,0.0012,64,3
QRL,antmaze-large-navigate-v0,0.6691,0.0004,0.6709,0.6709,0.6705,0.0019,0.0,-0.0014,64,3
CRL,antmaze-medium-explore-v0,0.7292,0.0173,0.7499,0.783,0.7325,0.0207,0.0331,-0.0034,64,3
GCIQL,antmaze-medium-explore-v0,0.0097,0.0832,0.0944,0.1058,0.0112,0.0847,0.0114,-0.0015,64,3
GCIVL,antmaze-medium-explore-v0,0.3867,0.0096,0.4014,0.4014,0.3918,0.0147,0.0,-0.005,64,3
QRL,antmaze-medium-explore-v0,0.4763,0.0001,0.4764,0.5184,0.4763,0.0001,0.042,0.0,64,3
CRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.5237,0.0256,0.5443,0.5446,0.5187,0.0207,0.0003,0.0049,64,3
GCIQL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.1177,0.0015,0.1202,0.1348,0.1187,0.0024,0.0146,-0.0009,64,3
GCIVL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.2044,0.0552,0.2697,0.2862,0.2145,0.0653,0.0165,-0.0101,64,3
QRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.5177,0.0124,0.5234,0.5235,0.511,0.0057,0.0002,0.0067,64,3
CRL,antmaze-medium-explore40navigate-v0,0.6462,0.0109,0.655,0.6565,0.6441,0.0088,0.0015,0.0021,64,3
GCIQL,antmaze-medium-explore40navigate-v0,0.5259,0.0518,0.5878,0.5906,0.536,0.0619,0.0029,-0.0101,64,3
GCIVL,antmaze-medium-explore40navigate-v0,0.3792,0.0442,0.4206,0.4218,0.3763,0.0413,0.0012,0.0029,64,3
QRL,antmaze-medium-explore40navigate-v0,0.6267,0.0,0.6272,0.6277,0.6272,0.0005,0.0005,-0.0004,64,3
CRL,antmaze-medium-explore80navigate-v0,0.7706,0.001,0.7713,0.7715,0.7703,0.0007,0.0001,0.0003,64,3
GCIQL,antmaze-medium-explore80navigate-v0,0.2963,0.005,0.305,0.3098,0.3,0.0087,0.0047,-0.0037,64,3
GCIVL,antmaze-medium-explore80navigate-v0,0.432,0.0024,0.4356,0.4372,0.4332,0.0036,0.0015,-0.0012,64,3
QRL,antmaze-medium-explore80navigate-v0,0.7182,0.0003,0.7188,0.719,0.7186,0.0006,0.0002,-0.0004,64,3
CRL,antmaze-medium-navigate-v0,0.5349,0.0028,0.5371,0.5429,0.5343,0.0022,0.0057,0.0006,64,3
GCIQL,antmaze-medium-navigate-v0,0.634,0.0171,0.6574,0.6576,0.6403,0.0234,0.0002,-0.0063,64,3
GCIVL,antmaze-medium-navigate-v0,0.5656,0.0883,0.6293,0.6354,0.541,0.0637,0.0062,0.0246,64,3
QRL,antmaze-medium-navigate-v0,0.551,0.024,0.5675,0.5874,0.5435,0.0165,0.0199,0.0075,64,3
CRL,cube-single-play-v0,0.8899,0.0055,0.8957,0.8958,0.8902,0.0057,0.0001,-0.0002,64,3
GCIQL,cube-single-play-v0,0.656,0.0239,0.6776,0.6925,0.6537,0.0216,0.0148,0.0023,64,3
GCIVL,cube-single-play-v0,0.5458,0.0259,0.5863,0.5865,0.5604,0.0404,0.0002,-0.0146,64,3
QRL,cube-single-play-v0,0.7588,0.0116,0.7773,0.7942,0.7657,0.0185,0.0169,-0.0069,64,3
CRL,scene-play-v0,0.6326,0.0002,0.6327,0.6408,0.6325,0.0001,0.0081,0.0001,64,3
GCIQL,scene-play-v0,0.5294,0.0033,0.5328,0.533,0.5295,0.0033,0.0002,-0.0,64,3
GCIVL,scene-play-v0,0.6663,0.0133,0.6735,0.676,0.6603,0.0073,0.0025,0.006,64,3
QRL,scene-play-v0,0.6182,0.001,0.62,0.6207,0.6189,0.0017,0.0007,-0.0007,64,3
CRL,antmaze-large-navigate-v0,0.6633,0.0015,0.6638,0.6679,0.6623,0.0005,0.0041,0.0011,64,4
GCIQL,antmaze-large-navigate-v0,0.6113,0.0063,0.624,0.6244,0.6177,0.0127,0.0004,-0.0064,64,4
GCIVL,antmaze-large-navigate-v0,0.2617,0.0184,0.2793,0.2909,0.2609,0.0176,0.0116,0.0008,64,4
QRL,antmaze-large-navigate-v0,0.6808,0.0,0.6817,0.6817,0.6816,0.0009,0.0,-0.0008,64,4
CRL,antmaze-medium-explore-v0,0.7227,0.0001,0.7227,0.7255,0.7226,0.0,0.0028,0.0001,64,4
GCIQL,antmaze-medium-explore-v0,0.0144,0.0135,0.0286,0.0581,0.0151,0.0142,0.0295,-0.0007,64,4
GCIVL,antmaze-medium-explore-v0,0.0454,0.0019,0.048,0.0514,0.0461,0.0026,0.0034,-0.0007,64,4
QRL,antmaze-medium-explore-v0,0.8039,0.0109,0.8147,0.8153,0.8038,0.0108,0.0006,0.0001,64,4
CRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.4535,0.0039,0.4557,0.4575,0.4519,0.0022,0.0018,0.0017,64,4
GCIQL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.0093,0.0757,0.0867,0.1031,0.011,0.0774,0.0164,-0.0017,64,4
GCIVL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.422,0.0039,0.4304,0.4305,0.4265,0.0084,0.0,-0.0045,64,4
QRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.5749,0.0107,0.5792,0.5792,0.5685,0.0043,0.0,0.0064,64,4
CRL,antmaze-medium-explore40navigate-v0,0.6517,0.0103,0.6599,0.6611,0.6497,0.0082,0.0012,0.0021,64,4
GCIQL,antmaze-medium-explore40navigate-v0,0.525,0.0526,0.5877,0.5888,0.5352,0.0627,0.001,-0.0101,64,4
GCIVL,antmaze-medium-explore40navigate-v0,0.4498,0.0246,0.4721,0.4919,0.4475,0.0223,0.0198,0.0023,64,4
