algo,env,subsample_k,metric,full_value,boot_mean,boot_std,ci_lo,ci_hi
QRL,cube,32,mean,0.0691,0.0692,0.0057,0.0584,0.0804
QRL,cube,32,rho09,0.0312,0.0627,0.0308,0.0312,0.125
QRL,cube,32,rho08,0.0781,0.1218,0.0491,0.0312,0.2188
QRL,cube,48,mean,0.0691,0.0693,0.0033,0.0624,0.0753
QRL,cube,48,rho09,0.0312,0.0444,0.0188,0.0208,0.0833
QRL,cube,48,rho08,0.0781,0.0979,0.0345,0.0417,0.1875
CRL,scene,32,mean,0.1029,0.1028,0.008,0.0867,0.1186
CRL,scene,32,rho09,0.1406,0.1853,0.0857,0.0625,0.4062
CRL,scene,32,rho08,0.4688,0.4844,0.0681,0.3438,0.625
CRL,scene,48,mean,0.1029,0.1026,0.0046,0.094,0.1119
CRL,scene,48,rho09,0.1406,0.1526,0.0483,0.0833,0.3125
CRL,scene,48,rho08,0.4688,0.471,0.0401,0.3958,0.5625
GCIQL,scene,32,mean,0.6381,0.6388,0.0344,0.5744,0.7048
GCIQL,scene,32,rho09,0.4688,0.4837,0.0613,0.375,0.5938
GCIQL,scene,32,rho08,0.6562,0.6557,0.059,0.5312,0.7508
GCIQL,scene,48,mean,0.6381,0.6384,0.02,0.6021,0.6806
GCIQL,scene,48,rho09,0.4688,0.4752,0.0356,0.3958,0.5417
GCIQL,scene,48,rho08,0.6562,0.6586,0.0335,0.6036,0.7292
GCIVL,scene,32,mean,0.5454,0.5447,0.0253,0.4967,0.5954
GCIVL,scene,32,rho09,0.4375,0.4649,0.0656,0.3438,0.5938
GCIVL,scene,32,rho08,0.6406,0.6645,0.0638,0.5312,0.7812
GCIVL,scene,48,mean,0.5454,0.5457,0.0151,0.5189,0.5767
GCIVL,scene,48,rho09,0.4375,0.4513,0.0388,0.375,0.5208
GCIVL,scene,48,rho08,0.6406,0.6484,0.037,0.5833,0.7292
QRL,scene,32,mean,0.1348,0.1346,0.0067,0.121,0.1476
QRL,scene,32,rho09,0.125,0.1461,0.044,0.0625,0.2188
QRL,scene,32,rho08,0.3438,0.3818,0.0654,0.25,0.5
QRL,scene,48,mean,0.1348,0.1349,0.0038,0.1276,0.1423
QRL,scene,48,rho09,0.125,0.1344,0.0247,0.0833,0.1667
QRL,scene,48,rho08,0.3438,0.3603,0.0425,0.2917,0.4583
