agent,antmaze-medium,antmaze-large,cube,scene
CRL,2.174 ± 3.815,2.614 ± 0.832,3.913 ± 3.023,5.372 ± 8.789
GCIQL,0.943 ± 0.069,0.794 ± 0.081,0.846 ± 0.099,0.596 ± 0.082
GCIVL,0.899 ± 0.152,0.690 ± 0.086,0.867 ± 0.076,0.609 ± 0.039
QRL,2.610 ± 3.439,5.289 ± 7.187,1.302 ± 0.247,2.448 ± 1.594
