checkpoint_path,agent,dataset,phase,seed,configuration,actor,fr_auc_mean,fr_auc_std,gap_mean_mean,gap_mean_std,gap_std_mean,gap_std_std,extractability_index_mean,extractability_index_std,adv_plus_mean_mean,adv_plus_mean_std,adv_minus_mean_mean,adv_minus_mean_std
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_18/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,18,actor,0.669524,0.020371,0.185881,0.051739,1.102952,0.229071,0.176916,0.056989,0.184851,0.049937,-0.00103,0.021531
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_18/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,18,actor,0.670697,0.022762,0.186489,0.05656,1.107317,0.226605,0.177134,0.061657,0.185074,0.055182,-0.001415,0.021856
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_18/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,18,actor,0.674142,0.021144,0.191372,0.053603,1.100948,0.215165,0.181032,0.057965,0.191218,0.051624,-0.000154,0.021016
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,19,actor,0.674252,0.018362,0.186926,0.07518,1.115221,0.282293,0.184781,0.082944,0.185219,0.069454,-0.001707,0.016983
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,19,actor,0.680041,0.019157,0.196401,0.05017,1.081433,0.200593,0.18895,0.056035,0.19532,0.044965,-0.00108,0.019448
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,19,actor,0.675519,0.01668,0.185975,0.043236,1.072768,0.208836,0.182163,0.058442,0.183053,0.040745,-0.002922,0.017274
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,19,actor,0.677197,0.015953,0.197974,0.049716,1.074129,0.235019,0.19604,0.064755,0.195236,0.045445,-0.002738,0.018861
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_19/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,19,actor,0.680067,0.020829,0.187434,0.061567,1.10104,0.235012,0.182396,0.073169,0.184813,0.057845,-0.00262,0.018213
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,2,actor,0.668802,0.01899,0.174392,0.049221,1.092929,0.211369,0.167181,0.05567,0.175802,0.046871,0.00141,0.021437
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,2,actor,0.668914,0.019326,0.174302,0.049191,1.09375,0.211446,0.166969,0.055634,0.17578,0.047147,0.001477,0.021598
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,2,actor,0.668966,0.019086,0.174879,0.048513,1.091553,0.210493,0.16769,0.055044,0.176379,0.046248,0.0015,0.021568
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,2,actor,0.668436,0.019184,0.17426,0.048917,1.095151,0.210122,0.166555,0.05507,0.175859,0.046523,0.001599,0.021816
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_2/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,2,actor,0.670357,0.018034,0.176758,0.048559,1.094504,0.214853,0.169231,0.055459,0.178386,0.04638,0.001629,0.021234
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,20,actor,0.674939,0.022955,0.188809,0.055785,1.10206,0.223079,0.180537,0.06433,0.187147,0.0572,-0.001663,0.020759
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,20,actor,0.670335,0.02125,0.187508,0.055702,1.116852,0.223232,0.176818,0.064133,0.187446,0.056757,-6.3e-05,0.021757
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,20,actor,0.67009,0.020526,0.186711,0.050935,1.11066,0.237411,0.177062,0.058929,0.186248,0.048339,-0.000464,0.022037
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,20,actor,0.669887,0.021695,0.185799,0.053351,1.1161,0.233495,0.175401,0.060748,0.18482,0.051569,-0.000979,0.021126
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_20/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,20,actor,0.674191,0.020801,0.191259,0.050831,1.094648,0.205544,0.18197,0.05862,0.191426,0.049295,0.000167,0.020911
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,21,actor,0.674341,0.010623,0.164748,0.055232,1.111123,0.237776,0.160607,0.068791,0.161181,0.053417,-0.003567,0.017757
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,21,actor,0.67953,0.012892,0.183577,0.047508,1.049987,0.159391,0.180941,0.05656,0.178903,0.038158,-0.004674,0.018656
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,21,actor,0.683195,0.019706,0.192381,0.057756,1.054122,0.188344,0.192898,0.07421,0.191052,0.054479,-0.00133,0.019367
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,21,actor,0.674442,0.015062,0.195038,0.045809,1.070519,0.220764,0.192904,0.067623,0.192041,0.041529,-0.002997,0.017621
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_21/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,21,actor,0.679105,0.020448,0.18121,0.045787,1.057032,0.173728,0.179805,0.062415,0.181593,0.041377,0.000382,0.018648
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_22/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,22,actor,0.66314,0.02029,0.17423,0.053361,1.106238,0.21799,0.165367,0.057347,0.175605,0.048853,0.001375,0.02343
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_22/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,22,actor,0.6606,0.021394,0.174474,0.055494,1.109662,0.217091,0.165288,0.059479,0.175434,0.049323,0.00096,0.025257
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_22/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,22,actor,0.661886,0.020657,0.174903,0.052916,1.105034,0.216392,0.165958,0.056946,0.176334,0.047325,0.00143,0.024051
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_22/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,22,actor,0.660288,0.021939,0.174261,0.055404,1.109577,0.215355,0.164949,0.059131,0.175406,0.048839,0.001145,0.02511
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_22/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,22,actor,0.663494,0.019069,0.177576,0.054144,1.108765,0.221458,0.168273,0.058595,0.17897,0.04792,0.001395,0.024131
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_23/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,23,actor,0.675213,0.022585,0.18841,0.051555,1.10958,0.229808,0.178545,0.060341,0.18635,0.052923,-0.00206,0.020738
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_23/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,23,actor,0.67157,0.020036,0.193004,0.057678,1.112823,0.21901,0.182752,0.068394,0.192591,0.059627,-0.000413,0.021631
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_23/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,23,actor,0.671906,0.020938,0.190389,0.050859,1.102918,0.226856,0.181212,0.059094,0.190315,0.048229,-7.4e-05,0.022108
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_23/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,23,actor,0.671752,0.020575,0.190311,0.050901,1.097121,0.23059,0.18195,0.059896,0.189189,0.04987,-0.001122,0.020923
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_23/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,23,actor,0.672788,0.020501,0.19003,0.051844,1.096026,0.212434,0.181109,0.059006,0.190498,0.050841,0.000469,0.020662
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_24/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,24,actor,0.670564,0.019601,0.186903,0.055747,1.092826,0.219793,0.17902,0.059638,0.185589,0.054343,-0.001314,0.020884
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_24/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,24,actor,0.670905,0.02113,0.188278,0.055481,1.091281,0.216395,0.180213,0.059839,0.18756,0.054208,-0.000718,0.021474
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_24/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,24,actor,0.670463,0.019177,0.186699,0.052627,1.096427,0.229324,0.178635,0.058003,0.185645,0.05136,-0.001054,0.021037
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_24/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,24,actor,0.67118,0.021843,0.186296,0.055859,1.09781,0.223394,0.178168,0.060503,0.185122,0.054818,-0.001175,0.021343
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_24/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,24,actor,0.673843,0.020364,0.190824,0.053528,1.095404,0.227598,0.182181,0.058352,0.190161,0.0518,-0.000663,0.020503
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_25/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,25,actor,0.671108,0.021701,0.18207,0.062685,1.108387,0.245656,0.176176,0.070325,0.177291,0.057972,-0.00478,0.018773
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_25/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,25,actor,0.672619,0.019117,0.177971,0.050991,1.034617,0.114576,0.177857,0.062093,0.174875,0.048844,-0.003096,0.017123
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_25/phase_569000/seed_2/params_569000.pkl,GCIVL,scene-play-v0,569000,2,25,actor,0.680129,0.017335,0.184024,0.033434,1.096245,0.185173,0.175159,0.052938,0.17921,0.029426,-0.004814,0.01653
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_25/phase_569000/seed_3/params_569000.pkl,GCIVL,scene-play-v0,569000,3,25,actor,0.688269,0.016182,0.219186,0.039684,1.04517,0.188902,0.218054,0.057119,0.215914,0.034445,-0.003272,0.016828
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_25/phase_569000/seed_4/params_569000.pkl,GCIVL,scene-play-v0,569000,4,25,actor,0.680832,0.021509,0.183914,0.058962,1.087057,0.237753,0.181986,0.074313,0.184144,0.057055,0.00023,0.019361
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_26/phase_569000/seed_0/params_569000.pkl,GCIVL,scene-play-v0,569000,0,26,actor,0.662863,0.020263,0.178242,0.054195,1.103009,0.221598,0.169693,0.058385,0.178447,0.050995,0.000205,0.022792
/bigwork/nhwptoem/gcrl/code/logs-advantage-scene-single-fixed-batch/GCIVL_scene-play-v0_64c_lr-alpha/run_logs/configuration_26/phase_569000/seed_1/params_569000.pkl,GCIVL,scene-play-v0,569000,1,26,actor,0.661736,0.021795,0.179659,0.055239,1.099039,0.217884,0.171641,0.060349,0.179964,0.051737,0.000305,0.023622
