agent,configuration,seed,phase,actor,alpha,has_real_alpha,ess_mean,ess_std,saturation_mass_mean,saturation_mass_std,fraction_clipped_mean,fraction_clipped_std,top5_mass_mean,top5_mass_std,entropy_mean,entropy_std
CRL,7,1,159090,actor,25.895028663799167,True,0.289271,0.022519,0.922619,0.019399,0.257031,0.02122,0.169314,0.014742,4.335401,0.078266
CRL,7,2,159090,actor,25.895028663799167,True,0.287225,0.025251,0.937359,0.018446,0.260938,0.022985,0.169653,0.016491,4.325093,0.089426
CRL,7,3,159090,actor,25.895028663799167,True,0.284186,0.023747,0.939318,0.015561,0.258594,0.023711,0.171565,0.016075,4.316735,0.083181
CRL,7,4,159090,actor,25.895028663799167,True,0.287293,0.021329,0.927175,0.021166,0.256641,0.015739,0.17001,0.012597,4.32993,0.077845
CRL,8,0,159090,actor,22.601251183077693,True,0.281167,0.025348,0.930436,0.026729,0.252734,0.024982,0.174013,0.017153,4.306817,0.090117
CRL,8,1,159090,actor,22.601251183077693,True,0.29072,0.02263,0.931871,0.021615,0.262109,0.02446,0.167751,0.013358,4.341626,0.076949
CRL,8,2,159090,actor,22.601251183077693,True,0.271875,0.023393,0.934692,0.023385,0.246484,0.022132,0.178907,0.014939,4.272986,0.09036
CRL,8,3,159090,actor,22.601251183077693,True,0.279958,0.026008,0.938697,0.022674,0.254688,0.026029,0.174419,0.018407,4.302127,0.091531
CRL,8,4,159090,actor,22.601251183077693,True,0.26915,0.030408,0.918918,0.020651,0.2375,0.02887,0.183733,0.021916,4.264952,0.110656
CRL,9,0,159090,actor,5.254781199619174,True,0.145457,0.015708,0.701189,0.064185,0.084375,0.017585,0.399508,0.057195,3.834698,0.080115
CRL,9,1,159090,actor,5.254781199619174,True,0.14549,0.015668,0.692817,0.066739,0.083203,0.017953,0.400958,0.059835,3.834074,0.077663
CRL,9,2,159090,actor,5.254781199619174,True,0.147646,0.015521,0.702557,0.07477,0.085938,0.017469,0.391584,0.05225,3.842382,0.08582
CRL,9,3,159090,actor,5.254781199619174,True,0.149269,0.015332,0.680484,0.063667,0.083594,0.015428,0.38921,0.051064,3.851689,0.080296
CRL,9,4,159090,actor,5.254781199619174,True,0.144997,0.015456,0.67875,0.064992,0.080859,0.015412,0.401883,0.056115,3.829632,0.076396
CRL,10,0,159090,actor,7.9594990611076355,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,1,159090,actor,7.9594990611076355,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,2,159090,actor,7.9594990611076355,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,3,159090,actor,7.9594990611076355,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,4,159090,actor,7.9594990611076355,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,11,0,159090,actor,20.611202493309975,True,0.276858,0.024466,0.927514,0.016508,0.246875,0.020979,0.177405,0.017239,4.296717,0.091337
CRL,11,1,159090,actor,20.611202493309975,True,0.272291,0.020384,0.919001,0.024289,0.239844,0.017777,0.180502,0.014497,4.283235,0.080584
CRL,11,2,159090,actor,20.611202493309975,True,0.273964,0.024373,0.934142,0.025911,0.247266,0.026815,0.178723,0.017415,4.283205,0.088684
CRL,11,3,159090,actor,20.611202493309975,True,0.273948,0.023517,0.944555,0.015759,0.251172,0.020919,0.177468,0.016322,4.280465,0.087761
CRL,11,4,159090,actor,20.611202493309975,True,0.284316,0.020902,0.917684,0.018293,0.250391,0.018999,0.172651,0.013072,4.321872,0.076409
CRL,12,0,159090,actor,16.174774523824453,True,0.254443,0.024595,0.904692,0.023133,0.21875,0.020505,0.195376,0.018903,4.22351,0.098234
CRL,12,1,159090,actor,16.174774523824453,True,0.261421,0.018121,0.916665,0.013231,0.229297,0.020343,0.188501,0.013952,4.24965,0.060896
CRL,12,2,159090,actor,16.174774523824453,True,0.261852,0.030326,0.888322,0.020415,0.219531,0.030246,0.193046,0.027386,4.257821,0.108053
CRL,12,3,159090,actor,16.174774523824453,True,0.244297,0.027692,0.892216,0.045774,0.207031,0.033653,0.206228,0.029694,4.186593,0.107774
CRL,12,4,159090,actor,16.174774523824453,True,0.235605,0.03345,0.896064,0.025248,0.199609,0.031918,0.215092,0.033105,4.150546,0.135577
CRL,13,0,159090,actor,11.958741378039122,True,0.232758,0.018724,0.861814,0.021486,0.185938,0.015428,0.218561,0.018365,4.161546,0.082226
CRL,13,1,159090,actor,11.958741378039122,True,0.231846,0.018037,0.86388,0.040995,0.185547,0.020443,0.219933,0.019064,4.160694,0.077261
CRL,13,2,159090,actor,11.958741378039122,True,0.234139,0.020236,0.861564,0.022231,0.187109,0.018364,0.217487,0.019382,4.164081,0.084883
CRL,13,3,159090,actor,11.958741378039122,True,0.234675,0.017563,0.886034,0.039166,0.194922,0.01672,0.214163,0.016873,4.16282,0.076316
CRL,13,4,159090,actor,11.958741378039122,True,0.233012,0.013805,0.84504,0.038453,0.18125,0.017872,0.219694,0.014031,4.167715,0.06248
CRL,14,0,159090,actor,1.0769762936979532,True,0.170304,0.104433,0.045307,0.095528,0.000781,0.001647,0.376045,0.087138,4.667871,0.297889
CRL,14,1,159090,actor,1.0769762936979532,True,0.174409,0.114734,0.044384,0.093828,0.000781,0.001647,0.376104,0.089392,4.648949,0.309505
CRL,14,2,159090,actor,1.0769762936979532,True,0.210683,0.160124,0.081978,0.135919,0.001562,0.002731,0.372389,0.130272,4.632551,0.43836
CRL,14,3,159090,actor,1.0769762936979532,True,0.21887,0.124111,0.043748,0.092479,0.000781,0.001647,0.349039,0.102387,4.735523,0.336495
CRL,14,4,159090,actor,1.0769762936979532,True,0.16163,0.095073,0.069923,0.112683,0.001172,0.001887,0.386804,0.094149,4.610615,0.350271
CRL,15,0,159090,actor,26.862776884809136,True,0.284046,0.021099,0.936994,0.014062,0.258203,0.022736,0.171195,0.01392,4.314223,0.074467
CRL,15,1,159090,actor,26.862776884809136,True,0.28321,0.020498,0.933475,0.018268,0.256641,0.018327,0.171265,0.012524,4.311608,0.073812
CRL,15,2,159090,actor,26.862776884809136,True,0.282564,0.019821,0.940975,0.022134,0.257812,0.020088,0.171912,0.012386,4.310733,0.073016
CRL,15,3,159090,actor,26.862776884809136,True,0.283137,0.021299,0.946969,0.015494,0.260156,0.020604,0.171576,0.013725,4.311607,0.076125
CRL,15,4,159090,actor,26.862776884809136,True,0.281271,0.019683,0.944821,0.013844,0.258203,0.017121,0.17223,0.01213,4.30612,0.072049
CRL,16,0,159090,actor,27.879245644435287,True,0.295009,0.027341,0.939141,0.013708,0.26875,0.024554,0.165172,0.017011,4.349677,0.095568
CRL,16,1,159090,actor,27.879245644435287,True,0.302999,0.025569,0.944211,0.013947,0.278125,0.023205,0.160134,0.013485,4.373329,0.083951
CRL,16,2,159090,actor,27.879245644435287,True,0.292,0.021579,0.944707,0.022226,0.267578,0.015101,0.166052,0.011565,4.338579,0.078022
CRL,16,3,159090,actor,27.879245644435287,True,0.289191,0.028138,0.942879,0.020701,0.264844,0.028216,0.168533,0.017648,4.328629,0.096579
CRL,16,4,159090,actor,27.879245644435287,True,0.291085,0.030714,0.944471,0.009374,0.267188,0.029589,0.167664,0.019985,4.332524,0.10764
CRL,17,0,159090,actor,0.22577284835278988,True,0.938729,0.015947,0.0,0.0,0.0,0.0,0.077994,0.007222,5.514203,0.006378
CRL,17,1,159090,actor,0.22577284835278988,True,0.938452,0.015839,0.0,0.0,0.0,0.0,0.078097,0.007129,5.514075,0.006329
CRL,17,2,159090,actor,0.22577284835278988,True,0.936623,0.01622,0.0,0.0,0.0,0.0,0.078849,0.007422,5.513134,0.006514
CRL,17,3,159090,actor,0.22577284835278988,True,0.936861,0.016092,0.0,0.0,0.0,0.0,0.078687,0.007329,5.513226,0.006421
CRL,17,4,159090,actor,0.22577284835278988,True,0.938833,0.015547,0.0,0.0,0.0,0.0,0.077954,0.007115,5.514195,0.006295
CRL,18,0,159090,actor,12.986643500626087,True,0.244782,0.025219,0.877162,0.022508,0.201562,0.021648,0.205973,0.021762,4.194448,0.096514
CRL,18,1,159090,actor,12.986643500626087,True,0.234675,0.028386,0.873668,0.037359,0.191406,0.026938,0.217347,0.02826,4.160265,0.113765
CRL,18,2,159090,actor,12.986643500626087,True,0.235268,0.035097,0.881127,0.035642,0.19375,0.030988,0.218431,0.038213,4.160243,0.1472
CRL,18,3,159090,actor,12.986643500626087,True,0.233204,0.020385,0.870039,0.018678,0.189453,0.020608,0.21719,0.020173,4.157272,0.082824
CRL,18,4,159090,actor,12.986643500626087,True,0.214479,0.034096,0.848708,0.037325,0.168359,0.031002,0.24336,0.04393,4.072917,0.146157
CRL,19,0,159090,actor,15.334997288882732,True,0.254852,0.020999,0.887611,0.024519,0.213281,0.015647,0.196113,0.016861,4.232333,0.087692
CRL,19,1,159090,actor,15.334997288882732,True,0.251281,0.019359,0.896999,0.034576,0.2125,0.017967,0.198989,0.016907,4.221418,0.079993
CRL,19,2,159090,actor,15.334997288882732,True,0.254746,0.023258,0.907288,0.036819,0.219531,0.024897,0.195477,0.01861,4.226774,0.089981
CRL,19,3,159090,actor,15.334997288882732,True,0.256003,0.020088,0.899355,0.011708,0.219141,0.017513,0.193539,0.016521,4.229505,0.080674
CRL,19,4,159090,actor,15.334997288882732,True,0.259616,0.017966,0.89663,0.032554,0.219531,0.01412,0.19208,0.013004,4.251524,0.072758
CRL,20,0,159090,actor,19.597947243601084,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,20,1,159090,actor,19.597947243601084,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,20,2,159090,actor,19.597947243601084,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,20,3,159090,actor,19.597947243601084,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,20,4,159090,actor,19.597947243601084,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,21,0,159090,actor,8.813923168927431,True,0.2059,0.019643,0.81796,0.024825,0.151562,0.018579,0.255993,0.028673,4.072152,0.091161
CRL,21,1,159090,actor,8.813923168927431,True,0.20223,0.019166,0.808364,0.055121,0.146484,0.017494,0.260807,0.024982,4.054551,0.088496
CRL,21,2,159090,actor,8.813923168927431,True,0.204576,0.021122,0.829073,0.03674,0.153516,0.020343,0.256447,0.029266,4.060442,0.092418
CRL,21,3,159090,actor,8.813923168927431,True,0.209938,0.019711,0.813731,0.044054,0.153906,0.015428,0.249528,0.022722,4.081095,0.089306
CRL,21,4,159090,actor,8.813923168927431,True,0.205064,0.018296,0.793252,0.046847,0.145703,0.020674,0.258151,0.025313,4.074446,0.079195
CRL,22,0,159090,actor,4.2236624378710985,True,0.121775,0.019374,0.588522,0.093459,0.053906,0.015384,0.522402,0.097039,3.739538,0.118964
CRL,22,1,159090,actor,4.2236624378710985,True,0.121415,0.018466,0.620929,0.094601,0.058203,0.018547,0.519094,0.097875,3.744048,0.104505
CRL,22,2,159090,actor,4.2236624378710985,True,0.119077,0.01984,0.586196,0.10118,0.052734,0.012387,0.529043,0.088375,3.709257,0.119082
CRL,22,3,159090,actor,4.2236624378710985,True,0.118401,0.014756,0.596471,0.122055,0.055469,0.021772,0.521697,0.081265,3.716889,0.076225
CRL,22,4,159090,actor,4.2236624378710985,True,0.109055,0.019086,0.61144,0.074568,0.05,0.015162,0.581661,0.100751,3.661422,0.120064
CRL,23,0,159090,actor,23.43780462630093,True,0.28238,0.023419,0.921361,0.019561,0.249609,0.024252,0.174478,0.016966,4.315421,0.083889
CRL,23,1,159090,actor,23.43780462630093,True,0.281816,0.020704,0.921553,0.012855,0.249609,0.021032,0.174133,0.01432,4.313368,0.074637
CRL,23,2,159090,actor,23.43780462630093,True,0.281312,0.02377,0.934349,0.021784,0.253516,0.021192,0.173886,0.015687,4.309471,0.086787
CRL,23,3,159090,actor,23.43780462630093,True,0.27875,0.023194,0.935205,0.015574,0.251953,0.023528,0.175362,0.016486,4.301136,0.081749
CRL,23,4,159090,actor,23.43780462630093,True,0.279984,0.020128,0.927498,0.020639,0.249609,0.015889,0.174869,0.012695,4.307734,0.073821
CRL,24,0,159090,actor,24.86070198006928,True,0.279494,0.031676,0.940533,0.015829,0.255078,0.03195,0.175103,0.020409,4.296152,0.108712
CRL,24,1,159090,actor,24.86070198006928,True,0.276835,0.020739,0.945113,0.024315,0.253906,0.026875,0.176011,0.016268,4.291477,0.065957
CRL,24,2,159090,actor,24.86070198006928,True,0.263599,0.030084,0.936698,0.016424,0.239062,0.026672,0.18596,0.023473,4.237092,0.119202
CRL,24,3,159090,actor,24.86070198006928,True,0.281518,0.029851,0.937369,0.019854,0.255469,0.029417,0.174014,0.019989,4.305731,0.106608
CRL,24,4,159090,actor,24.86070198006928,True,0.280795,0.023852,0.936202,0.021552,0.254297,0.021352,0.173696,0.015648,4.304171,0.088902
CRL,25,0,159090,actor,6.584060238674283,True,0.170209,0.014657,0.749973,0.07113,0.109766,0.018456,0.324621,0.034349,3.937231,0.079025
CRL,25,1,159090,actor,6.584060238674283,True,0.169313,0.0142,0.745789,0.064228,0.108984,0.020126,0.326302,0.034746,3.933769,0.071307
CRL,25,2,159090,actor,6.584060238674283,True,0.173034,0.016608,0.77086,0.049287,0.115234,0.015434,0.317145,0.033578,3.94599,0.086781
CRL,25,3,159090,actor,6.584060238674283,True,0.175202,0.014047,0.741122,0.055545,0.1125,0.018396,0.313212,0.031307,3.955021,0.069637
CRL,25,4,159090,actor,6.584060238674283,True,0.169049,0.014415,0.764097,0.052974,0.1125,0.018488,0.323086,0.032741,3.930249,0.06689
CRL,26,0,159090,actor,10.204434636980295,True,0.219215,0.026845,0.868015,0.035887,0.176562,0.030302,0.235687,0.0352,4.11256,0.107968
CRL,26,1,159090,actor,10.204434636980295,True,0.218564,0.020653,0.831512,0.039078,0.166406,0.021092,0.236816,0.024374,4.106555,0.089729
CRL,26,2,159090,actor,10.204434636980295,True,0.222664,0.019741,0.848799,0.047432,0.174609,0.022178,0.23023,0.022918,4.125497,0.082226
CRL,26,3,159090,actor,10.204434636980295,True,0.21847,0.024111,0.857468,0.030403,0.173047,0.021478,0.235211,0.027082,4.10312,0.100183
CRL,26,4,159090,actor,10.204434636980295,True,0.222233,0.022403,0.854868,0.042139,0.175,0.01947,0.231208,0.02508,4.123885,0.097429
CRL,27,0,159090,actor,21.92595737054944,True,0.273623,0.021918,0.927209,0.014227,0.24375,0.020272,0.179445,0.015589,4.285461,0.079955
CRL,27,1,159090,actor,21.92595737054944,True,0.272563,0.01992,0.926864,0.021834,0.242578,0.017705,0.179937,0.013532,4.282901,0.074381
CRL,27,2,159090,actor,21.92595737054944,True,0.272945,0.02018,0.926304,0.029189,0.24375,0.021959,0.179217,0.014268,4.282757,0.075739
CRL,27,3,159090,actor,21.92595737054944,True,0.274069,0.021746,0.923,0.022413,0.24375,0.020439,0.178592,0.015287,4.285587,0.079351
CRL,27,4,159090,actor,21.92595737054944,True,0.272136,0.019803,0.935875,0.027741,0.245703,0.018084,0.17938,0.013698,4.279568,0.073898
CRL,28,0,159090,actor,18.632101602852345,True,0.259378,0.016423,0.927471,0.023706,0.230859,0.016516,0.189038,0.011842,4.235069,0.061154
CRL,28,1,159090,actor,18.632101602852345,True,0.257026,0.031056,0.906718,0.02677,0.222266,0.024321,0.193463,0.023215,4.224137,0.11384
CRL,28,2,159090,actor,18.632101602852345,True,0.254371,0.034426,0.908435,0.02694,0.220312,0.029417,0.196251,0.025173,4.216417,0.130229
CRL,28,3,159090,actor,18.632101602852345,True,0.260148,0.020179,0.923981,0.024233,0.230469,0.023219,0.189358,0.016246,4.240152,0.072465
CRL,28,4,159090,actor,18.632101602852345,True,0.249031,0.023605,0.904971,0.021878,0.214062,0.023567,0.200002,0.019046,4.20255,0.091114
CRL,29,0,159090,actor,13.471246473491192,True,0.240128,0.019137,0.880537,0.026122,0.197656,0.017391,0.210114,0.017486,4.185062,0.08132
CRL,29,1,159090,actor,13.471246473491192,True,0.239501,0.018049,0.867947,0.026147,0.194141,0.017181,0.210851,0.017349,4.182116,0.074062
CRL,29,2,159090,actor,13.471246473491192,True,0.240748,0.020827,0.872715,0.014698,0.196484,0.017474,0.209762,0.019959,4.184908,0.083606
CRL,29,3,159090,actor,13.471246473491192,True,0.240403,0.020356,0.88218,0.040252,0.199219,0.021632,0.209317,0.019917,4.183299,0.082031
CRL,29,4,159090,actor,13.471246473491192,True,0.238121,0.017933,0.868057,0.032541,0.192578,0.017474,0.212561,0.01737,4.177916,0.074573
CRL,30,0,159090,actor,3.4902606066316366,True,0.460204,0.030433,0.92991,0.012004,0.414062,0.031358,0.105782,0.007571,4.800245,0.063499
CRL,30,1,159090,actor,3.4902606066316366,True,0.449113,0.028898,0.936051,0.015525,0.407031,0.032359,0.10831,0.007203,4.777863,0.062243
CRL,30,2,159090,actor,3.4902606066316366,True,0.087131,0.014158,0.397291,0.116443,0.021484,0.009434,0.653177,0.043644,3.643124,0.112915
CRL,30,3,159090,actor,3.4902606066316366,True,0.467619,0.025551,0.926055,0.021363,0.417578,0.031437,0.104369,0.006313,4.819058,0.052569
CRL,30,4,159090,actor,3.4902606066316366,True,0.081772,0.014098,0.372734,0.106306,0.018359,0.007377,0.67688,0.043453,3.577628,0.109495
CRL,31,0,159090,actor,28.33123384974897,True,0.293966,0.021806,0.945781,0.029,0.271094,0.025924,0.164684,0.013669,4.345434,0.073405
CRL,31,1,159090,actor,28.33123384974897,True,0.288301,0.028181,0.94619,0.024126,0.265234,0.027216,0.168742,0.016964,4.325273,0.09362
CRL,31,2,159090,actor,28.33123384974897,True,0.292545,0.026495,0.954768,0.009208,0.273047,0.024941,0.165158,0.015375,4.336512,0.091162
CRL,31,3,159090,actor,28.33123384974897,True,0.28751,0.024382,0.948664,0.019499,0.266016,0.028256,0.168632,0.015816,4.320381,0.084505
CRL,31,4,159090,actor,28.33123384974897,True,0.294932,0.021445,0.949267,0.017922,0.272266,0.020176,0.164255,0.012795,4.348031,0.074261
CRL,32,0,159090,actor,28.885294189676642,True,0.274283,0.025936,0.952171,0.022329,0.254688,0.028036,0.177041,0.018636,4.273425,0.090903
CRL,32,1,159090,actor,28.885294189676642,True,0.273602,0.031672,0.947065,0.024321,0.252344,0.03217,0.1783,0.020998,4.271633,0.110803
CRL,32,2,159090,actor,28.885294189676642,True,0.274229,0.031513,0.95287,0.016652,0.254688,0.030692,0.177422,0.019126,4.271726,0.108421
CRL,32,3,159090,actor,28.885294189676642,True,0.279299,0.021787,0.940566,0.015629,0.255469,0.022792,0.173792,0.0154,4.293423,0.076129
CRL,32,4,159090,actor,28.885294189676642,True,0.283578,0.024865,0.951843,0.013432,0.262891,0.026433,0.171102,0.015498,4.309562,0.082409
CRL,33,0,159090,actor,3.1013242062181234,True,0.094493,0.011579,0.459684,0.136642,0.030078,0.01236,0.646162,0.037867,3.645409,0.067892
CRL,33,1,159090,actor,3.1013242062181234,True,0.093666,0.010394,0.477009,0.11082,0.030859,0.011269,0.650838,0.035212,3.639472,0.063647
CRL,33,2,159090,actor,3.1013242062181234,True,0.095811,0.011289,0.501318,0.123198,0.033594,0.012916,0.639984,0.037872,3.64583,0.066411
CRL,33,3,159090,actor,3.1013242062181234,True,0.096145,0.010496,0.481316,0.123147,0.032422,0.012631,0.642673,0.03898,3.646918,0.061969
CRL,33,4,159090,actor,3.1013242062181234,True,0.093407,0.010777,0.470569,0.100888,0.029688,0.009604,0.653,0.034413,3.640444,0.055286
CRL,34,0,159090,actor,13.744822852313519,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,34,1,159090,actor,13.744822852313519,True,0.004256,0.00105,0.0,0.0,0.0,0.0,1.0,0.0,0.077837,0.204153
CRL,34,2,159090,actor,13.744822852313519,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,34,3,159090,actor,13.744822852313519,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,34,4,159090,actor,13.744822852313519,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,35,0,159090,actor,17.959026284515858,True,0.271656,0.024221,0.908986,0.029519,0.236719,0.024304,0.181603,0.018135,4.280639,0.08727
CRL,35,1,159090,actor,17.959026284515858,True,0.263682,0.025631,0.905415,0.021186,0.228125,0.021172,0.187574,0.019055,4.253477,0.096414
CRL,35,2,159090,actor,17.959026284515858,True,0.264874,0.022355,0.924178,0.028704,0.235156,0.023782,0.185586,0.01574,4.256421,0.08473
CRL,35,3,159090,actor,17.959026284515858,True,0.266346,0.026617,0.929149,0.016638,0.238281,0.024774,0.184612,0.019934,4.257532,0.096447
CRL,35,4,159090,actor,17.959026284515858,True,0.272793,0.023814,0.90501,0.034874,0.235156,0.0251,0.181972,0.01742,4.288663,0.081839
CRL,36,0,159090,actor,22.107970286160707,True,0.286742,0.026278,0.927082,0.01971,0.25625,0.024924,0.170964,0.015942,4.330351,0.087969
CRL,36,1,159090,actor,22.107970286160707,True,0.245146,0.024905,0.91978,0.022284,0.216016,0.02464,0.201714,0.02086,4.178819,0.093357
CRL,36,2,159090,actor,22.107970286160707,True,0.264265,0.025482,0.909335,0.02435,0.229297,0.027501,0.188075,0.020591,4.258489,0.092076
CRL,36,3,159090,actor,22.107970286160707,True,0.241395,0.038399,0.920264,0.019057,0.213281,0.038503,0.20715,0.030633,4.157236,0.141049
CRL,36,4,159090,actor,22.107970286160707,True,0.282447,0.034431,0.928937,0.023931,0.252734,0.033301,0.175118,0.02463,4.313003,0.121271
CRL,37,0,159090,actor,9.454437140375376,True,0.209064,0.017037,0.829832,0.036897,0.157031,0.015494,0.249462,0.022103,4.081488,0.080071
