training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
15.555577,-2.7835922,-9.345613,0.49852622,1.0,9.793719,2.2957587,-0.96808493,-4.5319796,11.75022,-12.790325,534.5146,3.5160675,-0.18056376,-3.054893,1.1357532,116.98019,0.031458564,-9.314056,0.49063712,1.0,44.47118,0.83169746,-4.1956787,-7.5141797,3.1908846,-4.2759194,-6.548404,3.339436,0.008973003101348877,44.86501717567444,1
15.548152,-1.0346733,-8.27854,0.23175788,1.0,1.3934166,0.0,-14.460537,-24.810827,2.56677,-2.323864,73.62351,0.7760736,-13.903023,-24.031696,0.08325773,19.515617,-1.0025964,-8.340023,0.24712871,1.0,1.5494032,0.0,-14.507918,-24.813496,0.8563477,-13.943747,-24.080978,0.09789099,0.2356793731212616,1223.261884212494,5000
16.150963,-0.802198,-8.137806,0.1965743,1.0,1.7124379,0.0,-19.820747,-40.328682,3.379801,-3.1092823,72.283676,0.93076587,-19.36027,-39.72279,0.10720505,18.793175,-0.7918536,-8.118237,0.19168228,1.0,2.0512235,0.0,-20.220013,-40.34172,0.9066723,-19.744003,-39.719353,0.13896294,0.23852848358154297,2415.90430355072,10000
26.52415,-0.7289809,-8.058135,0.17665681,1.0,2.4963746,0.0,-22.451553,-52.130104,3.2414382,-2.820199,84.69051,0.85217625,-21.997377,-51.735596,0.1661983,28.074184,-0.83817255,-8.057922,0.17660367,1.0,2.8646665,0.0,-23.10906,-52.078503,0.80677056,-22.666191,-51.728603,0.18363181,0.12465237855911254,3039.166200876236,15000
17.289474,-0.85134965,-8.001949,0.1626102,1.0,2.2261844,0.0,-23.812027,-60.028282,5.307876,-3.9032288,96.924385,0.75924444,-23.399273,-59.770645,0.14344516,14.605997,-0.85304356,-8.042925,0.17285444,1.0,2.1170783,0.0,-24.627167,-60.06944,0.89953893,-24.189238,-59.70473,0.17955568,0.009860002994537353,3088.46621799469,20000
19.56939,-0.75787824,-8.025135,0.16840659,1.0,2.019043,0.0,-24.62843,-65.05198,5.177744,-3.4848557,100.95922,0.819223,-24.221107,-64.77007,0.12868379,21.23756,-0.8642997,-8.039444,0.17198396,1.0,2.0893693,0.0,-23.68983,-64.91364,1.4849731,-23.27211,-64.63536,0.16959994,0.1316850125312805,3746.89128446579,25000
32.477028,-0.6172273,-8.023159,0.16791263,1.0,2.0009336,0.0,-24.257996,-68.99957,5.084096,-4.98549,119.44685,0.74318653,-23.836647,-68.654465,0.16101827,25.87949,-0.73552734,-8.01655,0.16626033,1.0,2.0388365,0.0,-23.366018,-68.24868,0.5190709,-22.946106,-67.498856,0.14180824,0.008606566190719605,3789.9241173267365,30000
36.256416,-0.49487725,-8.001711,0.16255073,1.0,1.9051669,0.0,-24.07396,-71.26425,5.852217,-3.5083468,123.48944,0.8644709,-23.674654,-70.766235,0.12368001,25.97286,-0.60695016,-7.9995046,0.16199912,1.0,2.4811907,0.0,-24.118168,-70.395645,1.044324,-23.6712,-69.772484,0.15950666,0.1331207236766815,4455.527740478516,35000
29.048988,-0.5738405,-7.9709597,0.15486282,1.0,1.9133482,0.0,-23.940329,-72.74394,4.6591434,-5.230286,97.39957,0.82501304,-23.560757,-72.683914,0.15751284,34.15753,-0.5470027,-7.984247,0.15818474,1.0,2.2510958,0.0,-24.04671,-73.287155,0.6745501,-23.581415,-72.88864,0.18067043,0.007759183311462402,4494.3236627578735,40000
25.277908,-0.6382669,-7.9977145,0.16155154,1.0,1.9289551,0.0,-24.95971,-73.38611,6.6862226,-5.27185,111.52916,1.2192614,-24.553566,-72.91529,0.13839301,23.009766,-0.7034161,-7.982618,0.15777735,1.0,1.6524574,0.0,-25.295815,-73.46338,1.3447593,-24.89805,-73.231316,0.14575416,0.12466665930747986,5117.656960487366,45000
