constant_dataset,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
False,0.34 $\pm$ 0.37,0.18 $\pm$ 0.21
True,0.13 $\pm$ 0.13,0.09 $\pm$ 0.08
