constant_dataset,hps,mean_normalized_goal_distance_return,mean_normalized_goal_distance_return_scaled
False,"frozenset({'discount', 'lr'})",0.15 $\pm$ 0.10,0.19 $\pm$ 0.13
True,"frozenset({'discount', 'lr'})",0.10 $\pm$ 0.09,0.14 $\pm$ 0.12
