hps,phase_num,mean_squared_error,mean_absolute_error,max_error
"frozenset({'discount', 'lr'})",1,0.003 $\pm$ 0.002,0.044 $\pm$ 0.013,0.186
"frozenset({'discount', 'lr'})",2,0.003 $\pm$ 0.003,0.038 $\pm$ 0.014,0.264
"frozenset({'discount', 'lr'})",3,0.003 $\pm$ 0.002,0.039 $\pm$ 0.014,0.183
"frozenset({'discount', 'lr'})",4,0.003 $\pm$ 0.003,0.039 $\pm$ 0.015,0.265
