agent,phase_num,Goal Distance Score Normalized Regret $< 0.1$ Ratio,Goal Distance Score Normalized Regret $< 0.2$ Ratio,Goal Distance Score,Success,Max Goal Distance Score
HIQL,1,0.03 $\pm$ 0.01,0.07 $\pm$ 0.03,0.18 $\pm$ 0.07,0.06 $\pm$ 0.06,0.61
HIQL,2,0.13 $\pm$ 0.09,0.33 $\pm$ 0.15,0.38 $\pm$ 0.07,0.22 $\pm$ 0.14,0.73
HIQL,3,0.18 $\pm$ 0.09,0.44 $\pm$ 0.11,0.44 $\pm$ 0.09,0.31 $\pm$ 0.16,0.85
HIQL,4,0.23 $\pm$ 0.08,0.51 $\pm$ 0.10,0.46 $\pm$ 0.12,0.35 $\pm$ 0.20,0.92
QRL,1,0.11 $\pm$ 0.04,0.23 $\pm$ 0.06,0.27 $\pm$ 0.12,0.10 $\pm$ 0.10,0.82
QRL,2,0.38 $\pm$ 0.15,0.65 $\pm$ 0.18,0.50 $\pm$ 0.13,0.30 $\pm$ 0.21,0.84
QRL,3,0.58 $\pm$ 0.07,0.76 $\pm$ 0.04,0.55 $\pm$ 0.12,0.36 $\pm$ 0.21,0.86
QRL,4,0.52 $\pm$ 0.15,0.75 $\pm$ 0.05,0.55 $\pm$ 0.11,0.38 $\pm$ 0.21,0.84
