agent,constant_dataset,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
HIQL,False,0.41 $\pm$ 0.54,0.27 $\pm$ 0.32
HIQL,True,0.09 $\pm$ 0.13,0.04 $\pm$ 0.06
QRL,False,0.28 $\pm$ 0.32,0.08 $\pm$ 0.00
QRL,True,0.17 $\pm$ 0.13,0.14 $\pm$ 0.07
