training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,time/epoch_time,time/total_time,step
274.4947,0.17890286,-9.504164,0.5381638,1.0,31.078798,-138.4983,1164.513,481.4423,29.919788,19.373093,4.277863,138.54831,27.10028,11.638182,0.016513038,1.0,-138.4983,481.4923,619.9906,233.0813,-0.006049579,-9.415264,0.5159388,1.0,483.75543,28.153784,17.04137,1.3714863,99.635925,27.117992,9.802938,0.016334008,1.0003,-99.61581,483.80545,583.42126,0.004880808973312378,24.40404725074768,1
334.25067,0.8590081,-8.310215,0.2396766,1.0,171.38063,-136.85211,1756.5847,132.267,1276.6138,493.04773,3.5587778,13.347758,12.435373,3.47585,0.0049817697,5.054237,-67.21002,132.51971,199.72974,357.39584,1.0528607,-8.2749,0.23084798,1.0,135.39954,1208.5345,484.9508,7.564115,13.24085,12.897407,3.426035,0.006305171,5.0558343,-66.69075,135.65233,202.34308,0.22032741527557373,1126.0411257743835,5000
290.04266,0.6181374,-8.248365,0.22421438,1.0,297.13068,-144.00821,1872.4938,219.85681,786.2724,313.8181,1.1099492,3.0944457,7.2665915,1.9540895,0.00137792,23.637793,-71.963974,221.03871,293.0027,284.47815,0.5845036,-8.275526,0.23100448,1.0,220.33345,787.1993,312.64935,0.7121792,2.9446132,7.36092,1.9567456,0.013691231,23.64477,-68.44247,221.51569,289.95816,0.20790750489234924,2165.578652381897,10000
217.65424,0.3665169,-8.209695,0.21454671,1.0,128.48013,-212.43967,1647.1538,327.18573,458.5653,179.12914,0.75523096,0.50080407,4.122821,1.1372015,0.0026967777,93.36764,-42.09051,331.8541,373.9446,189.24808,0.28907275,-8.265297,0.22844714,1.0,320.5116,480.5329,186.33562,0.03733386,0.4019478,3.9334762,1.0642791,0.0031493176,93.39119,-32.868824,325.18115,358.05,0.11173453145027161,2724.2513115406036,15000
128.13686,0.27423638,-8.249748,0.22456016,1.0,194.19502,-290.55557,1542.5719,380.47092,335.23892,122.4228,0.73731726,0.10709077,2.6818612,0.80505836,0.0021068212,242.15114,-13.824595,392.5785,406.40308,125.03264,0.22721386,-8.246958,0.22386235,1.0,376.80963,338.29938,126.21548,1.5682038,0.10999845,2.88723,0.8331927,0.0020148014,242.1956,-14.531361,388.9194,403.45078,0.007683420848846436,2762.668417453766,20000
103.37149,0.23098217,-8.238235,0.22168171,1.0,164.7004,-90.458176,911.97186,389.8084,297.34238,112.70135,0.63015556,0.05134905,2.3538117,0.72564673,0.0021557799,366.4269,-0.49432844,408.12976,408.62408,100.475525,0.23657316,-8.259119,0.22690272,1.0,387.24658,288.22696,115.30574,0.59973896,0.043396875,2.0908742,0.7411629,0.0011174874,366.4154,2.419487,405.56735,403.14786,0.1099194640159607,3312.265740633011,25000
89.224236,0.16717313,-8.221915,0.21760185,1.0,97.65978,-114.79631,771.8253,390.182,300.61108,112.336845,0.8725005,0.04668746,2.4996235,0.74689794,0.002192148,372.08353,1.2325413,408.7862,407.55365,98.12566,0.22799295,-8.218773,0.21681634,1.0,389.3312,295.38406,113.17592,0.16196643,0.04799866,2.1291041,0.7325489,0.004064649,372.08853,0.7446762,407.93564,407.19095,0.005669292020797729,3340.6122024059296,30000
103.4955,0.25331366,-8.192209,0.2101752,1.0,114.12327,-55.704815,678.6714,391.76276,285.13797,110.69447,0.2839767,0.05394627,2.27811,0.7505147,0.0017659138,363.94345,-1.4362195,409.95993,411.39615,84.74179,0.20353907,-8.2663765,0.22871724,1.0,390.97778,289.2871,111.47049,0.81659657,0.03706346,2.12251,0.71454346,0.0053976877,363.946,4.7082024,409.17508,404.4669,0.10747530493736267,3877.9887306690216,35000
88.29337,0.20980895,-8.23613,0.22115532,1.0,189.59511,-256.9465,1115.5116,379.4872,314.02414,123.388306,1.3065913,0.040490076,2.4319851,0.7113366,0.0011792518,378.91418,3.6034453,398.43292,394.82947,96.06202,0.2252346,-8.22001,0.2171253,1.0,387.44598,367.23645,115.17441,1.1208977,0.04672447,2.5189838,0.7278791,0.0037282326,378.89972,1.2410983,406.39096,405.14987,0.012839736938476563,3942.187417984009,40000
96.0687,0.17261092,-8.201281,0.21244293,1.0,338.2498,-286.6595,1593.432,376.57162,431.56293,126.87987,2.3783565,0.049131293,2.5591278,0.7558622,0.0014829078,386.7625,0.33598363,395.90976,395.57376,101.09233,0.22598758,-8.19359,0.21052039,1.0,376.78094,407.80496,126.52777,0.29001498,0.04395266,2.2278333,0.74104166,0.0023535942,386.7437,2.3387716,396.11813,393.77936,0.08987831463813782,4391.578994274139,45000
98.61069,0.2597475,-8.229009,0.2193752,1.0,125.1715,-74.63311,700.8513,374.64026,684.5256,130.33131,0.9887888,0.03875386,2.1269064,0.7511518,0.0055792276,393.85495,4.4293485,394.333,389.90366,93.091385,0.22026026,-8.243371,0.2229656,1.0,374.17294,674.92017,130.82234,0.21152918,0.050283313,3.977354,0.74954844,0.003955399,393.854,-0.11158358,393.86566,393.97723,0.009208246326446533,4437.620253801346,50000
92.3625,0.20217739,-8.1769085,0.20634995,1.0,385.29727,-422.65482,2116.1406,370.42493,691.2505,137.31143,0.041785464,0.062213715,4.1189976,0.75338113,0.005732678,388.4726,-4.7446933,389.84857,394.59326,92.30021,0.21118838,-8.248342,0.22420844,1.0,367.88013,709.5487,139.84515,1.6020162,0.06648286,4.9783993,0.74893665,0.0045600245,388.4598,-6.402927,387.30313,393.70605,0.09928622217178344,4934.051367759705,55000
87.45796,0.20596586,-8.202829,0.21283048,1.0,206.5701,-316.24744,1543.9802,372.45602,710.2228,136.80692,0.018892754,0.04856499,3.618542,0.73946327,0.0017490317,388.88272,0.5580512,391.90015,391.3421,93.51541,0.23620617,-8.218811,0.2168257,1.0,367.2185,794.55945,142.61313,0.62301606,0.046371378,2.735992,0.7354497,0.004068625,388.87827,1.4110925,386.66245,385.25134,0.00921370725631714,4980.11990737915,60000
87.71712,0.20035268,-8.209679,0.21454269,1.0,159.08517,-120.03353,851.22473,374.2387,767.9002,135.73244,0.30820352,0.043744266,2.0777586,0.72321355,0.00236378,387.4867,2.4240139,393.61304,391.18903,84.96215,0.17128444,-8.214216,0.21567719,1.0,367.15063,758.7494,144.55362,0.2397739,0.049171686,3.6214669,0.73684454,0.014671011,387.47968,0.32095507,386.52463,386.20367,0.009221746826171875,5026.228642940521,65000
91.3819,0.20280653,-8.179705,0.20704922,1.0,124.59539,-160.47797,844.4397,360.62933,843.4039,153.54184,0.67310053,0.043862157,2.4970193,0.72552,0.0035468633,385.89764,2.3685796,379.92422,377.55563,88.47168,0.20698251,-8.228878,0.21934237,1.0,365.7116,767.34326,146.59369,0.8225784,0.037084315,2.256542,0.7249173,0.003607146,385.89874,4.984147,385.00656,380.0224,0.00921548957824707,5072.3060920238495,70000
89.93707,0.21367204,-8.207777,0.21406709,1.0,108.28633,-125.51645,711.7622,366.5749,800.0615,146.62186,0.3437126,0.039757356,2.1010516,0.72511804,0.0033484874,385.00275,3.9434464,385.82504,381.8816,91.248695,0.23634422,-8.211295,0.21494675,1.0,363.77515,812.3648,148.7247,0.18759818,0.05077594,4.2353845,0.73189485,0.0032560308,385.00253,-0.29873914,383.02527,383.324,0.012370968151092529,5134.160933971405,75000
82.59003,0.22658569,-8.208759,0.21431294,1.0,140.60323,-123.251465,717.49304,366.2786,838.98706,148.84192,0.33114624,0.03046437,2.205763,0.7093061,0.0024384607,381.5504,7.453828,385.3561,377.90228,89.89267,0.19458865,-8.214624,0.21577922,1.0,369.21246,833.2225,145.07968,0.75586045,0.03735282,2.690353,0.72171444,0.0019215712,381.54004,4.825406,388.28946,383.46405,0.11771238451004028,5722.722859144211,80000
80.77106,0.17679872,-8.204046,0.21313474,1.0,110.08303,-96.15391,734.0325,365.44385,849.06165,148.9935,1.4998169,0.037257772,2.223609,0.7240089,0.0015306987,385.8603,4.91672,384.73685,379.82013,88.13377,0.20194304,-8.225087,0.21839482,1.0,363.87714,769.64026,150.32208,0.6728256,0.040007018,2.1599998,0.7237547,0.0020785201,385.85477,3.8558402,383.16986,379.31403,0.0086645348072052,5766.045534849167,85000
85.08324,0.18432379,-8.168112,0.20415068,1.0,137.45074,-127.167465,791.6215,365.3191,830.1653,147.76797,0.17316231,0.040740907,2.651577,0.7319859,0.0030931672,395.07925,3.6580758,385.07306,381.41498,88.12601,0.20654917,-8.211667,0.2150397,1.0,366.85745,823.49054,146.07558,1.1265359,0.04352597,3.4058995,0.7365604,0.002950957,395.07455,2.5577242,386.6112,384.05347,0.009205719470977784,5812.074134349823,90000
93.91562,0.24388883,-8.210881,0.21484324,1.0,217.46106,-344.48096,1385.6888,358.16644,886.6099,162.57175,0.5251096,0.056287743,4.1400485,0.74337804,0.0014368156,372.8467,-2.3443642,376.80878,379.15314,79.41543,0.17422731,-8.243453,0.22298622,1.0,362.38174,818.4233,153.87126,2.4140682,0.036183175,2.1426477,0.71407187,0.0022048876,372.85846,5.1517205,381.0247,375.87296,0.00922165846824646,5858.1824288368225,95000
103.692474,0.25255588,-8.205686,0.2135443,1.0,190.99611,-201.79756,1373.2153,359.5144,837.30005,157.75539,0.9072829,0.069450825,4.619912,0.7619121,0.004389488,376.75186,-7.3281345,378.35202,385.68015,95.36229,0.23016,-8.232083,0.220144,1.0,360.3051,873.9985,155.8236,1.2382165,0.042477377,2.111957,0.7392299,0.003361237,376.75024,2.8341503,379.1426,376.30847,0.009216418027877808,5904.264523506165,100000
99.38963,0.26239955,-8.174064,0.20563892,1.0,140.33827,-132.08334,898.28925,363.60492,892.32855,153.84125,1.735987,0.046222914,2.514012,0.7549623,0.0013189001,369.85068,1.3969581,382.09747,380.7005,86.64527,0.1575816,-8.246158,0.22366233,1.0,354.36783,901.5014,165.77339,0.2039698,0.042799912,2.4680998,0.71882474,0.001897827,369.8309,2.662815,372.85938,370.19656,0.11657973589897155,6487.163205862045,105000
89.89909,0.23054579,-8.194142,0.21065855,1.0,92.4202,-91.317505,607.27216,355.18365,927.94385,167.75938,1.7298132,0.044126026,2.3302188,0.73326445,0.002366281,373.88965,2.1962183,373.87814,371.68192,84.725136,0.18370494,-8.212928,0.21535487,1.0,356.46008,921.0697,164.05103,0.42162496,0.044114754,2.206581,0.7342522,0.0032998757,373.88538,2.2004077,375.15436,372.95395,0.006321281099319458,6518.769613027573,110000
96.87617,0.22239566,-8.176556,0.20626193,1.0,164.30412,-168.45627,1099.7697,361.88342,890.5129,155.29922,0.47213614,0.047343895,2.8556633,0.768744,0.0003976701,372.49716,0.9893919,380.50827,379.5189,94.828316,0.19151361,-8.223902,0.21809834,1.0,364.7575,864.8412,151.32571,0.42932674,0.040622655,2.0944207,0.74658865,0.0046109436,372.50018,3.493063,383.38254,379.88947,0.009216105604171753,6564.850142478943,115000
103.82422,0.26411945,-8.153103,0.20039853,1.0,85.20881,-84.82367,652.9689,356.18863,979.91125,167.23566,0.015559109,0.04869001,2.5708365,0.76754785,0.0011294561,366.43723,0.48002943,374.5105,374.03046,104.964836,0.26833475,-8.216806,0.21632455,1.0,362.393,869.8674,155.98837,0.56064945,0.04622361,2.4227128,0.7762948,0.005188144,366.43076,1.3837855,380.71454,379.33075,0.009221612071990968,6610.958205461502,120000
94.83412,0.21310315,-8.196819,0.21132791,1.0,170.83087,-232.96828,1051.513,355.30182,913.40894,167.36458,0.7691053,0.04764211,3.7959802,0.7607708,0.0028899962,364.81235,0.860187,373.54245,372.68225,103.689255,0.25485224,-8.226502,0.2187486,1.0,359.68616,952.6258,160.83875,0.5991269,0.042663127,2.465303,0.7568413,0.0026196847,364.80905,2.6765578,377.9266,375.25006,0.00921982192993164,6657.05731678009,125000
102.67551,0.26279384,-8.180735,0.2073064,1.0,171.33296,-153.06319,781.7976,358.1896,978.3878,167.04382,0.6619811,0.04601975,2.4518762,0.75027853,0.0027956294,357.51593,1.4230025,376.0654,374.6424,94.07814,0.21349576,-8.197476,0.21149202,1.0,362.45938,928.5999,159.0924,0.84158295,0.039415754,2.3641465,0.75158226,0.0019240429,357.50656,3.7839375,380.33472,376.55078,0.009219988346099854,6703.157260417938,130000
105.61583,0.22443941,-8.21175,0.21506041,1.0,429.86423,-373.55185,1882.7113,350.0103,995.6226,178.80502,0.9999553,0.06620085,3.849911,0.76992553,0.0021590427,375.27765,-6.0798173,368.7742,374.854,106.60951,0.22137377,-8.236055,0.221137,1.0,358.49835,931.1127,160.99011,0.176092,0.052892752,2.2282224,0.7737146,0.0020394856,375.3197,-1.0857066,377.26434,378.35004,0.009734207344055177,6751.828299045563,135000
93.62993,0.18621168,-8.186476,0.20874196,1.0,99.07168,-114.5885,651.9551,360.80457,939.0881,160.4461,1.0732123,0.0461352,2.3968766,0.7545996,0.00061553967,377.05307,1.4572356,379.65723,378.19998,95.26461,0.19893862,-8.239023,0.22187881,1.0,353.30457,925.36816,170.37872,0.84884757,0.040251635,2.1274495,0.73979294,0.004068379,377.05038,3.675625,372.15707,368.48145,0.012952164125442506,6816.5891234874725,140000
94.29721,0.25028855,-8.197996,0.21162196,1.0,294.41742,-143.91437,1236.8141,353.23468,923.5058,171.22635,0.005248361,0.05513568,4.5483947,0.73910826,0.0024939622,380.5621,-1.9544443,372.2628,374.21722,93.13812,0.22155762,-8.209032,0.21438093,1.0,357.75586,987.44055,162.39836,0.17267287,0.04745191,2.800559,0.74635994,0.0020366625,380.5614,0.9697051,376.7839,375.8142,0.012931519889831542,6881.246724128723,145000
93.00387,0.20758407,-8.142263,0.197689,1.0,135.14449,-115.13331,766.45886,359.72247,876.1951,156.87827,0.51024204,0.03944869,2.0884383,0.74421436,0.0013827875,389.21164,4.1066933,379.18304,375.07635,93.24646,0.2024428,-8.196388,0.21122004,1.0,362.95026,949.9027,149.98479,0.56512785,0.039362364,2.0347621,0.7463726,0.0019585472,389.21124,4.140288,382.41083,378.27054,0.012922878074645996,6945.861116886139,150000
103.66417,0.2525049,-8.18198,0.20761791,1.0,130.03087,-124.33386,858.0811,362.10605,927.68146,159.24121,0.21261385,0.04691628,3.0809224,0.7589315,0.001579477,378.95792,1.1686004,381.05396,379.88535,90.67328,0.20220312,-8.235588,0.22101995,1.0,354.43848,950.32007,171.51288,0.75732034,0.043283463,2.5304961,0.7298207,0.0018984743,378.95248,2.5452487,373.3861,370.84085,0.15666190371513367,7729.170639038086,155000
104.80646,0.24988562,-8.178982,0.20686835,1.0,222.03949,-210.16824,1202.9619,355.93292,956.0895,169.05353,2.0487251,0.06351382,4.230196,0.786541,0.0033423281,368.7316,-4.982973,374.3695,379.35248,103.9631,0.22691794,-8.237396,0.22147208,1.0,357.37396,939.60126,164.38254,1.8768255,0.053127848,2.7248354,0.7760391,0.000992066,368.7274,-1.1533228,375.81033,376.96365,0.0054830870628356934,7756.586075782776,160000
101.772964,0.20205297,-8.1929455,0.2103593,1.0,129.0451,-153.83997,769.3633,359.1643,945.1384,166.22375,0.91628337,0.048767652,2.2377405,0.76836413,0.0009763053,359.71622,0.4432957,377.15012,376.70682,93.897896,0.19910133,-8.228549,0.21926028,1.0,351.60977,992.6208,177.34305,0.024102457,0.13732311,10.357586,0.7605845,0.0023822961,359.71707,-31.411615,369.5956,401.00723,0.007145463800430298,7792.31339597702,165000
107.421036,0.23881869,-8.183573,0.20801619,1.0,161.4835,-166.43506,1162.3463,354.0575,1030.7028,171.26192,0.7731345,0.06322379,3.9960852,0.78685725,0.00010928963,359.1073,-4.748758,372.01288,376.76163,94.1503,0.15903562,-8.229471,0.21949092,1.0,353.04684,958.0923,172.88805,0.6466487,0.04613577,2.1934776,0.76198864,0.0023837164,359.1128,1.3876953,371.00247,369.61478,0.009224013233184815,7838.433463573456,170000
107.412155,0.22964975,-8.1824465,0.20773467,1.0,226.6584,-262.066,1272.9268,355.7831,969.6816,167.79288,1.269837,0.054412797,2.3559008,0.79632324,0.0019698704,368.07147,-1.6242244,374.18668,375.8109,96.11418,0.20618813,-8.218498,0.21674731,1.0,359.46832,894.5595,161.05515,0.6758107,0.04007547,2.5375302,0.73748636,0.0023083019,368.07077,3.6529298,377.87186,374.21893,0.009218232440948486,7884.524630308151,175000
89.5669,0.20597208,-8.18954,0.20950797,1.0,115.95389,-94.768425,603.0735,353.86218,991.2186,174.8692,0.05883434,0.04044009,2.7831712,0.7608386,0.0012525015,359.43964,3.4362109,371.83417,368.39795,93.24812,0.19743706,-8.258041,0.22663328,1.0,354.62482,1010.8213,171.2867,1.098255,0.060651604,4.5899725,0.7527343,0.0013181134,359.42526,-3.8284552,372.59607,376.42453,0.00920501265525818,7930.549695014954,180000
108.734985,0.24398775,-8.147886,0.19909468,1.0,177.0777,-206.47847,769.4235,356.16803,1048.4042,166.12793,1.0276366,0.05143462,2.4490428,0.77343017,0.0020173285,370.1813,-0.5310697,374.6771,375.20816,103.049774,0.24755639,-8.231392,0.21997079,1.0,355.0111,944.67114,168.19643,0.86150384,0.045852154,2.265946,0.75159633,0.0022962613,370.18112,1.5354544,373.52017,371.9847,0.009199370861053466,7976.546550273895,185000
90.00572,0.19842365,-8.166844,0.20383403,1.0,329.8771,-517.836,2373.1465,356.20703,976.14233,172.10468,1.4546347,0.068977475,4.168319,0.77510977,0.004232455,372.95093,-7.0776668,374.85458,381.93225,89.706795,0.2163141,-8.222317,0.21770197,1.0,371.9869,1000.6837,146.56964,0.8317701,0.06329756,4.159687,0.79519415,0.00841573,372.97635,-4.959676,390.6357,395.5954,0.009202523946762084,8022.559171438217,190000
101.37448,0.1792905,-8.197735,0.21155673,1.0,180.6729,-229.78299,832.0875,360.42905,1018.3583,161.47305,0.48536456,0.046820506,2.1544106,0.76869535,0.0008187128,366.64957,1.1657602,378.76154,377.59576,91.85031,0.20362085,-8.234293,0.22069612,1.0,354.73282,1064.3934,170.64478,1.398981,0.04329223,2.6443434,0.7252618,0.0021900674,366.64716,2.4593844,373.0652,370.6058,0.009202044677734375,8068.5693962574005,195000
96.414474,0.21330495,-8.187599,0.20902275,1.0,96.771545,-197.62094,732.5998,354.48233,1030.9288,172.03006,0.917276,0.048416592,2.6264794,0.7483443,0.0024258615,369.44348,0.58497995,372.95453,372.36954,104.03928,0.26142827,-8.21833,0.21670559,1.0,356.41467,981.0834,166.58565,0.23226549,0.046287026,2.4594498,0.77655864,0.0013043778,369.44244,1.3717303,374.8868,373.51508,0.012244029235839844,8129.78954410553,200000
103.23671,0.23882988,-8.179945,0.207109,1.0,287.0502,-291.9711,994.36237,357.70407,955.5481,164.35236,1.3853561,0.042516798,2.706911,0.7677393,0.0012383199,372.3654,2.7864857,376.32236,373.53586,94.63632,0.22880998,-8.238661,0.22178826,1.0,362.97238,919.21655,155.13692,0.6568148,0.06941243,6.351433,0.72978586,0.0038052006,372.3647,-7.228504,381.5906,388.81912,0.17020731234550476,8980.826109409332,205000
101.69952,0.25285494,-8.19135,0.20996043,1.0,114.37749,-133.56563,721.1968,356.71835,977.4183,164.86575,0.29607812,0.045654878,2.4106526,0.77451277,0.0011878384,376.3109,1.635117,375.5339,373.89877,97.857155,0.21333157,-8.237684,0.22154419,1.0,355.3797,941.9255,167.89719,0.15477937,0.04504374,2.041028,0.76233566,0.001145571,376.3086,1.8650833,374.19513,372.33005,0.005487164402008056,9008.261933803558,210000
93.45911,0.19453964,-8.217115,0.21640167,1.0,130.1394,-170.76442,811.7686,354.47296,993.7898,167.72806,0.71103704,0.043019652,2.193128,0.7547487,0.0013278077,379.70676,2.6504855,373.45828,370.8078,101.572784,0.22701487,-8.27586,0.23108795,1.0,359.73907,926.2977,160.05823,1.2743999,0.05163811,2.9251747,0.7644066,0.0011967857,379.7051,-0.621999,378.7243,379.3463,0.007811637306213379,9047.320122241974,215000
107.54031,0.23414992,-8.172853,0.20533621,1.0,155.70099,-182.06572,787.1147,365.92694,1000.4127,155.05386,0.9926427,0.051152382,2.1708474,0.7912723,0.0022858316,371.4126,-0.42800894,384.49756,384.92557,104.45621,0.26045507,-8.229178,0.21941747,1.0,353.64655,943.13947,170.09885,0.17698139,0.041594557,2.1102457,0.7532292,0.0015235835,371.40854,3.1218534,372.21698,369.09512,0.009220999622344971,9093.425122261047,220000
85.428055,0.19076645,-8.201382,0.21246837,1.0,129.62654,-142.37193,661.8212,360.1726,938.79047,162.55103,1.5442921,0.044225823,2.2658422,0.7419964,0.0023143084,370.46613,2.1391373,378.6959,376.55676,88.36602,0.18166707,-8.215221,0.21592817,1.0,363.66187,922.2049,156.33853,0.8114496,0.039643884,2.3756123,0.73006976,0.0011199993,370.46597,3.8365889,382.18515,378.34857,0.009216529655456543,9139.507773399353,225000
105.61088,0.24382451,-8.1953335,0.21095607,1.0,108.74666,-73.97884,585.2426,362.06442,983.13055,162.30057,1.3146678,0.04946609,2.2646806,0.77605397,0.0014073746,367.79794,0.19637185,380.4543,380.25793,92.2699,0.25332463,-8.24408,0.22314304,1.0,361.013,1005.15344,160.15437,0.15485547,0.03456578,1.9884534,0.7397225,0.0016140905,367.79547,5.676636,379.40277,373.72614,0.009217102718353272,9185.59328842163,230000
