training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
35.52031,0.0243917,-9.704004,0.5881239,1.0,1.3362803,-2.0646217,74.11885,3.3040197,-0.20979004,-3.1847458,1.0735712,36.186905,0.025018256,-9.642797,0.57282233,1.0,2.443282,-0.29196966,-2.5725884,5.116086,0.008505270910263062,42.52636122703552,1
82.311874,0.10842033,-9.055628,0.42602995,1.0,1.6069965,-1.218029,40.508785,0.5463631,-13.086468,-25.485374,0.19272879,103.15601,0.15774828,-9.0506115,0.42477608,1.0,0.58616245,-13.109865,-25.485502,0.21251543,0.2397080542087555,1241.0667023658752,5000
98.51244,0.105036065,-9.023099,0.41789758,1.0,1.3050222,-1.43166,46.08271,0.6535862,-18.965206,-43.703438,0.33444,97.49872,0.070271954,-9.002169,0.4126652,1.0,0.52869856,-18.260296,-43.71747,0.32950938,0.24327850480079652,2457.4593303203583,10000
103.36594,0.12452789,-9.049079,0.42439258,1.0,3.2407038,-2.0564575,52.537926,0.5698041,-20.336742,-58.92946,0.31405365,111.41855,0.13759266,-8.988483,0.4092438,1.0,0.39604303,-20.8553,-59.10368,0.33036962,0.13094729528427124,3112.1961982250214,15000
100.13191,0.16069867,-9.013725,0.41555443,1.0,1.6334419,-1.4471711,48.198112,0.38455468,-21.303402,-69.655495,0.33284485,103.26373,0.13229512,-9.084129,0.43315548,1.0,0.55914515,-21.872316,-69.48823,0.30546394,0.00818039255142212,3153.098194360733,20000
102.89763,0.14897709,-9.04227,0.42269036,1.0,1.3822911,-1.197721,45.79534,0.5631578,-23.068798,-75.85344,0.3289919,97.31903,0.13790339,-9.016564,0.41626412,1.0,0.50192976,-21.868813,-75.71864,0.3126585,0.1310967514514923,3808.582091808319,25000
80.278244,0.041660823,-9.078384,0.43171915,1.0,1.470313,-1.6055932,42.69922,0.5002986,-22.14224,-75.63324,0.3115935,103.82087,0.103723824,-9.04045,0.4222356,1.0,0.38178003,-21.823387,-76.19348,0.36330116,0.008890654516220092,3853.0353915691376,30000
104.47078,0.14907637,-9.058898,0.4268475,1.0,2.0260272,-2.2116985,57.24424,0.38135833,-21.500698,-77.70564,0.31252655,99.370995,0.1372814,-9.021828,0.41758007,1.0,0.4847847,-21.800022,-75.64897,0.27879795,0.13604467697143555,4533.259042024612,35000
86.69227,0.11814077,-9.08871,0.43430042,1.0,1.6285435,-1.7701452,46.066658,0.57226264,-21.41879,-80.10633,0.31747317,100.85452,0.11908224,-9.057309,0.42645034,1.0,0.58513206,-22.724865,-76.56496,0.30625945,0.008194573497772216,4574.231942653656,40000
88.36608,0.08381574,-9.043251,0.4229357,1.0,1.8582838,-2.1643639,51.51633,0.31902578,-22.081482,-75.63539,0.2873966,96.54491,0.102949284,-9.123066,0.4428894,1.0,0.33800438,-22.072704,-76.681,0.35619068,0.127451610994339,5211.490153312683,45000
