constant_dataset,phase_num,mean_squared_error,mean_absolute_error,max_error
False,1,0.003 $\pm$ 0.002,0.043 $\pm$ 0.012,0.175
False,2,0.003 $\pm$ 0.003,0.038 $\pm$ 0.017,0.178
False,3,0.003 $\pm$ 0.002,0.042 $\pm$ 0.013,0.164
False,4,0.003 $\pm$ 0.001,0.037 $\pm$ 0.010,0.147
True,1,0.003 $\pm$ 0.002,0.042 $\pm$ 0.015,0.186
True,2,0.003 $\pm$ 0.003,0.039 $\pm$ 0.016,0.266
True,3,0.003 $\pm$ 0.002,0.039 $\pm$ 0.015,0.183
True,4,0.003 $\pm$ 0.003,0.040 $\pm$ 0.016,0.243
