constant_dataset,agent,Goal Distance Score Normalized Regret $< 0.1$ Ratio,Goal Distance Score Normalized Regret $< 0.2$ Ratio,Goal Distance Score,Success,Max Goal Distance Score
False,HIQL,0.21 $\pm$ 0.10,0.52 $\pm$ 0.08,0.44 $\pm$ 0.19,0.31 $\pm$ 0.34,0.84
False,QRL,0.48 $\pm$ 0.29,0.80 $\pm$ 0.03,0.56 $\pm$ 0.14,0.38 $\pm$ 0.27,0.80
True,HIQL,0.20 $\pm$ 0.10,0.42 $\pm$ 0.18,0.40 $\pm$ 0.16,0.28 $\pm$ 0.21,0.92
True,QRL,0.45 $\pm$ 0.19,0.66 $\pm$ 0.15,0.45 $\pm$ 0.21,0.29 $\pm$ 0.24,0.84
