phase_num,mean_squared_error,mean_absolute_error,max_error
1,0.003 $\pm$ 0.002,0.043 $\pm$ 0.014,0.186
2,0.003 $\pm$ 0.003,0.039 $\pm$ 0.016,0.266
3,0.003 $\pm$ 0.002,0.039 $\pm$ 0.015,0.183
4,0.003 $\pm$ 0.003,0.040 $\pm$ 0.015,0.243
