agent,hps,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
HIQL,"frozenset({'discount', 'lr'})",0.16 $\pm$ 0.11,0.10 $\pm$ 0.09
QRL,"frozenset({'discount', 'lr'})",0.17 $\pm$ 0.15,0.06 $\pm$ 0.02
