agent,dataset,constant_dataset,hps,phase_num,mean_normalized_goal_distance_return,mean_normalized_goal_distance_return_scaled
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1 -> 2,0.24118994766602198,0.3586737891345346
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2 -> 3,0.17201522431702726,0.15425912853886042
HIQL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",3 -> 4,0.12721464813254754,0.11309443351733806
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.27950272917549934,0.3494366175796173
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.1268081160838077,0.0829625097778245
HIQL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.10950261430401623,0.0714757253704684
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.18309604318467526,0.2715100653261242
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.07721813968958564,0.1101855692928694
HIQL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.06847946638256042,0.09589888266997831
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.2537180443432675,0.3515338626729507
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.045263245584006115,0.06999903400808774
HIQL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.04038360167542872,0.05996644309576263
QRL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.04807906877686017,0.233388587871382
QRL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.027453730276837417,0.08946186546648101
QRL,"antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0,antmaze-large-explore-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.019542668458524717,0.12881617690772765
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",1 -> 2,0.2187336765070868,0.30374672227467503
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",2 -> 3,0.1250648373098962,0.14006734048291047
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",False,"frozenset({'discount', 'lr'})",3 -> 4,0.040004067702526194,0.06864884774222763
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.18175893763402723,0.20457111088955335
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.05118619166197459,0.053547136386399
QRL,"antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.029850655997947034,0.04025300375262222
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.08698115274820876,0.18988403456717468
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.02098409936228659,0.04557675086778887
QRL,"antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.026970079505175777,0.05977071461748592
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.22474279964210733,0.31767653600585205
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.026540892335579314,0.04432768578743508
QRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.023543651575199616,0.039369536988627926
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.04879920716391395,0.2164653788136252
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.028923487192221105,0.1115574046907075
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0,antmaze-medium-explore-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.03201046977270596,0.15589054828450397
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",1 -> 2,0.3635320403958029,0.2847725234709736
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",2 -> 3,0.17796628661388764,0.1724615789548773
QRL,"antmaze-medium-explore-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-navigate-v0",False,"frozenset({'discount', 'lr'})",3 -> 4,0.04401700441100069,0.04899233669107067
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.2713774693727381,0.3125202077535627
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.033894568777467785,0.03542917382096968
QRL,"antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0,antmaze-medium-explore40navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.029808337438378883,0.033311849206630384
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.2654722363461086,0.33270035824327526
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.0382502303353685,0.04344769077591389
QRL,"antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0,antmaze-medium-explore80navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.028307249695250315,0.03531063294561579
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",0 -> 1,,
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",1 -> 2,0.31108132003688493,0.47456621593403037
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",2 -> 3,0.0422274253025407,0.06204965556022972
QRL,"antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0,antmaze-medium-navigate-v0",True,"frozenset({'discount', 'lr'})",3 -> 4,0.027280133088562863,0.047847124322332846
