agent,hps,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
HIQL,"frozenset({'discount', 'lr'})",0.30 $\pm$ 0.38,0.13 $\pm$ 0.20
QRL,"frozenset({'discount', 'lr'})",0.21 $\pm$ 0.17,0.14 $\pm$ 0.08
