constant_dataset,agent,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
False,HIQL,0.41 $\pm$ 0.54,0.27 $\pm$ 0.32
False,QRL,0.28 $\pm$ 0.32,0.08 $\pm$ 0.00
True,HIQL,0.27 $\pm$ 0.37,0.10 $\pm$ 0.18
True,QRL,0.20 $\pm$ 0.14,0.16 $\pm$ 0.09
