agent,hps,mean_normalized_goal_distance_return,mean_normalized_goal_distance_return_scaled
HIQL,"frozenset({'discount', 'lr'})",0.11 $\pm$ 0.07,0.17 $\pm$ 0.12
QRL,"frozenset({'discount', 'lr'})",0.10 $\pm$ 0.10,0.14 $\pm$ 0.12
