dataset,hps,mean_normalized_goal_distance_return,mean_normalized_goal_distance_return_scaled
"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0","frozenset({'lr', 'discount'})",0.09 $\pm$ 0.05,0.11 $\pm$ 0.06
