agent,dataset,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
CRL,"antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0,antmaze-large-navigate-v0",0.14 $\pm$ nan,0.05 $\pm$ nan
