agent,phase_num,mean_squared_error,mean_absolute_error,max_error
CRL,1,0.003 $\pm$ nan,0.042 $\pm$ nan,0.113
CRL,2,0.004 $\pm$ nan,0.048 $\pm$ nan,0.130
CRL,3,0.004 $\pm$ nan,0.042 $\pm$ nan,0.163
CRL,4,0.006 $\pm$ nan,0.054 $\pm$ nan,0.161
