training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;grad/value_cosine_similarity_mean;grad/actor_cosine_similarity_mean;grad/value_cosine_similarity_std;grad/actor_cosine_similarity_std;grad/value_magnitude_similarity_mean;grad/actor_magnitude_similarity_mean;grad/value_magnitude_similarity_std;grad/actor_magnitude_similarity_std;grad/value_scale_mean;grad/actor_scale_mean;grad/value_scale_std;grad/actor_scale_std;feature/embedding_rank;step
281.36945;0.06379624;-9.671239;0.5799326;1.0;21.853954;-109.316154;940.98456;481.0874;31.753334;19.73146;4.645223;109.36616;29.072556;10.173507;0.014220998;1.0;-109.316154;481.1374;590.45355;267.5924;0.10561601;-9.63028;0.56969285;1.0;483.0495;30.24284;17.75365;4.223667;76.725876;26.228577;8.345627;0.009955856;1.0003;-76.69888;483.09952;559.7984;0.00023960886311350177;26.623183012008667;0.072222255;0.0030442406;0.07953523;0.26759413;0.6316354;0.18012084;0.28688672;0.3007465;1018.3136;669.6011;1030.6615;1217.2769;229;1
77.994026;0.16579959;-8.95896;0.40186292;1.0;146.58156;-139.20822;1294.3677;259.53003;630.7235;258.74634;1.45172;0.053405628;2.9095368;0.5995439;0.0022288964;813.95593;-2.77203;300.2278;302.99985;75.01628;0.14946295;-9.028694;0.41929638;1.0;268.91748;616.9789;248.15823;1.557616;0.04513781;3.099348;0.6082927;0.0013795216;813.93335;3.957498;309.61414;305.65665;0.030000360407026208;3359.9932310581207;0.13100556;-0.00034129398;0.3845969;0.07246564;0.5780914;0.4391117;0.39813042;0.34121794;12772.367;169.4806;38823.48;329.75818;22;111112
79.04547;0.21122476;-8.940432;0.3972307;1.0;294.8683;-255.19255;1420.1355;250.38087;1045.1183;279.65607;0.23788065;0.042636182;2.4233267;0.5919821;0.0021513298;787.6329;5.7999854;289.7625;283.96252;84.07092;0.19023769;-8.983358;0.40796256;1.0;243.07071;968.9465;289.69495;0.96946573;0.058003496;2.5971167;0.60708714;0.0044425447;787.54767;-6.3031344;282.4481;288.75122;0.022502194750319827;5860.234596014023;0.10283933;-0.00021786292;0.33797324;0.067632094;0.5173133;0.42535856;0.40714544;0.34208447;17108.63;186.95755;84160.29;405.7804;28;222223
78.24274;0.17932214;-8.986659;0.40878776;1.0;129.7851;-82.32898;900.83453;250.54651;1162.8398;287.13348;1.3182687;0.051012218;3.289491;0.59468144;0.0028136005;778.4451;-0.7879556;289.46875;290.2567;84.96162;0.20136689;-9.019659;0.41703779;1.0;244.98108;1213.612;292.2458;1.3404127;0.050775968;2.6775532;0.6106524;0.00063655485;778.40955;-0.60401994;283.90155;284.50558;0.021715559499659077;8273.07213306427;0.103360824;4.5582667e-05;0.3654856;0.063252695;0.52247703;0.41808388;0.40604246;0.34144396;11096.178;219.13748;30139.123;421.05856;29;333334
79.96541;0.19035666;-8.976917;0.40635228;1.0;345.62244;-423.3576;1783.4613;247.94229;1107.315;287.5398;0.6471082;0.046488326;2.3529325;0.59510034;0.0038856892;791.69275;2.7801673;287.52695;284.74677;79.13989;0.20965184;-8.974903;0.40584877;1.0;250.12152;1148.1038;286.6328;1.0554873;0.040129676;2.5157697;0.5917448;0.0025365998;791.6852;7.8141894;289.70578;281.8916;0.02158075959283502;10670.931916713715;0.11527973;-0.00010816904;0.37578523;0.06148144;0.53097534;0.4235071;0.40016845;0.3404325;10420.667;209.89935;28647.943;365.7554;28;444445
83.1652;0.18388477;-9.002261;0.41268808;1.0;477.4872;-279.4187;1763.3235;236.0275;1268.5387;299.9815;0.7587508;0.05636107;2.589219;0.6091007;0.005361977;782.8432;-4.979721;275.16968;280.14938;84.489235;0.20269231;-9.006994;0.41387138;1.0;244.27751;1232.066;297.72534;1.4532008;0.086149104;6.7288465;0.6100444;0.00241696;782.8458;-28.299175;283.41983;311.719;0.02186902113683768;13100.820729017258;0.11353608;0.00037397654;0.36704877;0.05961635;0.5085506;0.4118019;0.40853733;0.3415742;12899.463;235.16351;36410.89;445.574;31;555556
83.752914;0.21695438;-8.966119;0.4036528;1.0;203.14868;-226.58134;1281.0892;242.11693;1307.3263;303.7375;0.88349944;0.058617517;2.7681324;0.6311396;0.0030179336;774.2513;-6.6721234;280.8295;287.50162;88.03717;0.22660783;-9.066517;0.42875224;1.0;239.03745;1303.3652;306.1308;2.201137;0.049171142;2.8371587;0.61961305;0.0012539945;774.29443;0.6417805;277.75217;277.11038;0.021705567525088475;15512.548047304153;0.10989813;-1.9560113e-05;0.371505;0.058662977;0.51187253;0.41558364;0.40727764;0.3437223;11164.157;236.23975;32960.05;440.64078;32;666667
76.160995;0.16470546;-9.002994;0.41287142;1.0;112.07256;-80.61038;764.56683;241.99194;1289.1239;302.7561;0.2571719;0.035744622;2.344973;0.5900757;0.0018701669;773.2459;11.022913;280.65424;269.63132;82.08412;0.1708084;-9.005552;0.41351116;1.0;244.29358;1332.2073;304.18286;1.0992502;0.05655843;2.8435988;0.5987013;0.0009906428;773.2411;-5.071247;282.95563;288.0269;0.021791859264298077;17933.863327026367;0.124084726;0.00029437296;0.3747093;0.055689115;0.5239093;0.42080748;0.4073972;0.34273514;12296.932;237.25397;38169.027;461.07593;31;777778
80.361206;0.18184055;-9.051171;0.42491573;1.0;197.62921;-147.58438;957.4948;242.82396;1225.351;297.30185;2.162339;0.047620095;2.4418678;0.6239507;0.0017030907;798.5011;1.9003571;282.74902;280.84866;79.802826;0.16432735;-9.040814;0.42232645;1.0;247.10233;1179.3625;287.50024;1.7880677;0.054398887;3.1018047;0.6316235;0.002044971;798.49963;-3.5125089;287.0273;290.53983;0.02181828915179669;20358.115257501602;0.11177304;0.0002037374;0.34861746;0.055480044;0.5097942;0.4108524;0.40522888;0.34202978;10846.697;262.4559;31966.361;549.3588;31;888889
81.6154;0.18627429;-8.966988;0.40386975;1.0;162.39207;-155.32922;901.63855;238.53229;1370.6251;313.34174;3.122561;0.055684157;2.4241426;0.6163108;0.0011499512;769.823;-4.375794;277.02344;281.39923;81.65237;0.17564677;-9.034584;0.4207691;1.0;238.8322;1426.951;310.61932;0.22935607;0.055772454;2.611262;0.6195978;0.0011993084;769.83215;-4.44382;277.32382;281.76764;0.020860272684413234;22675.92101764679;0.10864408;-1.8673058e-05;0.3577175;0.05610399;0.48117796;0.41161466;0.41048688;0.34274662;11689.113;340.58954;31247.834;1086.4299;31;1000000
