training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
12.474055,-2.6386354,-9.591287,0.5599445,1.0,9.826073,2.9905126,-0.97636944,-4.194022,11.129637,-11.855212,503.4888,3.5168998,-0.23296566,-3.368277,1.014168,149.3274,0.07020399,-9.551134,0.5499064,1.0,44.11165,1.169097,-4.061261,-7.7682123,4.05292,-4.2607293,-6.7519813,3.410334,0.008562153244018555,42.81076741218567,1
15.983114,-0.8533832,-9.006152,0.41366094,1.0,1.8622454,0.74119544,-14.753204,-24.624788,2.6702335,-2.8435075,70.1399,1.9251047,-14.100073,-23.872892,0.08878669,26.231857,-0.8935557,-8.993452,0.41048592,1.0,1.3702195,0.24746263,-14.508659,-24.60793,1.4065039,-13.901367,-23.85058,0.06927292,0.22746072278022766,1180.1143836975098,5000
22.754295,-0.72013366,-8.936147,0.39615977,1.0,1.8628864,0.0,-22.295452,-40.27361,3.7949693,-4.1899543,92.30159,0.45474818,-21.86036,-39.622032,0.09034242,20.610226,-0.78878665,-8.971446,0.4049843,1.0,2.0414095,0.0,-21.14806,-40.288857,0.60020477,-20.703709,-39.59707,0.092398636,0.2534583341598511,2447.406055688858,10000
34.812096,-0.65674484,-9.034058,0.4206374,1.0,2.3558874,0.0,-25.627659,-52.822105,4.8737736,-4.548511,125.99073,0.60609454,-25.107006,-52.291393,0.115677916,37.497627,-0.64949214,-9.004694,0.4132965,1.0,2.155015,0.0,-25.23399,-52.82741,0.85119045,-24.786852,-52.323524,0.14827949,0.1333762327671051,3114.2872211933136,15000
41.44769,-0.6950117,-8.926273,0.3936914,1.0,2.3020577,0.0,-26.968695,-62.025787,5.2379246,-4.100857,132.70473,1.0579811,-26.568142,-61.641495,0.12616459,32.288994,-0.7561382,-8.984924,0.40835416,1.0,2.1479294,0.0,-25.600773,-61.91958,0.84760684,-25.175428,-61.58013,0.18011977,0.00995752935409546,3164.0748698711395,20000
25.053204,-0.79729795,-8.918381,0.39171833,1.0,1.9708415,0.0,-26.92179,-68.60843,4.5388675,-4.274613,104.13491,0.4942882,-26.488756,-68.30229,0.14944497,21.610859,-0.9075731,-8.975987,0.40611988,1.0,2.4939222,0.0,-27.24,-68.7433,0.36360836,-26.777802,-68.422676,0.15121683,0.13960801606178283,3862.1149518489838,25000
29.210533,-0.6614483,-8.981573,0.40751627,1.0,1.7248935,0.0,-27.802305,-73.795105,4.521721,-3.9410512,114.33458,0.5786685,-27.348373,-73.46151,0.13561228,28.61168,-0.57319623,-8.881386,0.38246945,1.0,1.9627588,0.0,-27.045113,-73.34952,0.56164694,-26.611908,-73.03629,0.12935676,0.009918793153762817,3911.7089216709137,30000
14.101165,-0.94352126,-8.941288,0.39744514,1.0,1.9653535,0.0,-26.04927,-75.73481,4.499774,-3.817437,107.118324,0.7157075,-25.610268,-75.500534,0.13341102,19.66293,-0.86783826,-8.92786,0.39408818,1.0,1.850942,0.0,-27.208612,-75.78753,0.6490303,-26.785082,-75.77503,0.13827415,0.1428799502849579,4626.108674526215,35000
27.23489,-0.68757105,-8.922063,0.3926388,1.0,2.0387483,0.0,-26.96235,-78.74225,5.2364445,-7.771804,128.43689,0.5924848,-26.572662,-78.521866,0.16856515,15.840107,-1.0588256,-8.884733,0.38330638,1.0,1.9574974,0.0,-26.003082,-77.45225,0.67877644,-25.595001,-77.269554,0.1325395,0.007261291217803955,4662.415134429932,40000
23.45809,-0.7336483,-8.886671,0.38379097,1.0,1.7410593,0.0,-28.565056,-77.632645,2.9289453,-1.9951425,76.3715,0.53948575,-28.140207,-77.55214,0.14553529,20.094358,-0.69271743,-8.933565,0.39551437,1.0,1.6354158,0.0,-27.472324,-80.66425,0.7680056,-27.074957,-80.45431,0.14286098,0.14569551553726195,5390.892715215683,45000
