agent,dataset,mean_normalized_goal_distance_return,mean_normalized_goal_distance_return_scaled
HIQL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",0.10 $\pm$ 0.10,0.22 $\pm$ 0.22
QRL,"antmaze-large-explore-v0,antmaze-large-explore80navigate-v0,antmaze-large-explore40navigate-v0,antmaze-large-navigate-v0",0.13 $\pm$ 0.09,0.17 $\pm$ 0.12
