agent,phase_num,mean_squared_error,mean_absolute_error,max_error
HIQL,1,0.004 $\pm$ nan,0.048 $\pm$ nan,0.119
HIQL,2,0.002 $\pm$ nan,0.034 $\pm$ nan,0.094
HIQL,3,0.003 $\pm$ nan,0.046 $\pm$ nan,0.112
HIQL,4,0.003 $\pm$ nan,0.041 $\pm$ nan,0.105
QRL,1,0.002 $\pm$ nan,0.036 $\pm$ nan,0.072
QRL,2,0.001 $\pm$ nan,0.019 $\pm$ nan,0.057
QRL,3,0.001 $\pm$ nan,0.027 $\pm$ nan,0.071
QRL,4,0.001 $\pm$ nan,0.026 $\pm$ nan,0.069
