agent,hps,mean_squared_error,mean_absolute_error,max_error
HIQL,"frozenset({'lr', 'discount'})",0.003 $\pm$ 0.001,0.042 $\pm$ 0.006,0.119
QRL,"frozenset({'lr', 'discount'})",0.001 $\pm$ 0.000,0.027 $\pm$ 0.007,0.072
