training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
29.890423,-2.848357e-05,-9.308821,0.48932818,1.0,2.0415783,-2.0620904,101.07187,1.6766863,-0.8447086,-3.239669,1.5108087,21.442644,0.0017294046,-9.2186575,0.46678746,1.0,2.4695413,-0.2016682,-2.0512345,7.545515,0.005369603729248047,26.848029375076294,1
85.082855,0.20489635,-7.8384867,0.12174465,1.0,1.7732991,-2.0250082,55.90001,0.7063284,-13.575808,-25.416046,0.23426884,101.827385,0.18635966,-7.8561435,0.12615876,1.0,0.97046566,-12.963237,-25.523079,0.3195231,0.17281797399520873,890.9379374980927,5000
111.46258,0.32347614,-7.7414455,0.097484395,1.0,6.050282,-6.8079667,92.56508,0.7289336,-18.64779,-43.56223,0.29739714,111.71076,0.2553295,-7.7848754,0.10834181,1.0,0.70322675,-18.447325,-43.669655,0.2801202,0.17874108357429505,1784.6435546875,10000
103.252304,0.23307283,-7.72272,0.09280299,1.0,2.9674768,-4.108057,57.26253,0.48562047,-21.395708,-58.370422,0.33360055,103.895134,0.25339976,-7.727292,0.09394589,1.0,0.43639037,-22.840748,-57.995964,0.28501594,0.09469194979667664,2258.1034932136536,15000
100.8091,0.23520353,-7.714033,0.09063114,1.0,6.452997,-5.2188253,75.64746,0.45726728,-23.620914,-69.57531,0.29846552,97.31282,0.2464006,-7.7382803,0.09669302,1.0,0.7737113,-24.77949,-69.54991,0.22646244,0.0034336812973022462,2275.2719435691833,20000
107.50966,0.29861966,-7.7175436,0.09150882,1.0,5.802984,-5.6960278,80.62572,0.3949373,-23.853031,-78.46146,0.2643696,105.41286,0.26764032,-7.686632,0.08378102,1.0,0.39335603,-24.18111,-79.16404,0.26553506,0.09784109582901002,2764.4776062965393,25000
92.93303,0.30314255,-7.717615,0.09152669,1.0,8.400577,-4.5824666,84.030365,0.38666603,-24.299553,-82.522415,0.3453174,92.81077,0.29094064,-7.729291,0.094445705,1.0,0.42526475,-24.758686,-81.967766,0.2700066,0.0032659562587738036,2780.8074202537537,30000
92.62047,0.25386304,-7.6872463,0.083934546,1.0,4.4272146,-2.6334753,48.431534,0.45078614,-24.44701,-84.38492,0.31540364,104.32144,0.32467568,-7.711886,0.0900944,1.0,0.4194299,-24.672737,-83.467155,0.2972921,0.09496465582847595,3255.6308710575104,35000
106.15511,0.3377315,-7.6895638,0.0845139,1.0,4.3584185,-4.456251,64.77069,0.38399014,-25.549835,-85.07606,0.27753735,108.71415,0.28985614,-7.719422,0.091978475,1.0,0.40143782,-26.10154,-84.9135,0.28352773,0.0031767083168029787,3271.5144562721252,40000
107.60719,0.37150437,-7.6847982,0.083322555,1.0,2.660472,-1.9895809,50.327858,0.5071759,-26.265162,-85.933784,0.26392567,105.09748,0.3314052,-7.6800847,0.082144186,1.0,0.77247095,-25.817738,-85.04882,0.32343197,0.09784291172027589,3760.7292692661285,45000
94.67238,0.2873747,-7.6925144,0.08525154,1.0,6.7029204,-8.040367,83.07418,0.53219485,-24.588661,-84.78014,0.26077098,92.45772,0.30058962,-7.6966147,0.08627662,1.0,0.5314697,-26.821026,-84.53032,0.28496173,0.003249926519393921,3776.978946208954,50000
112.211266,0.3190834,-7.6710224,0.07987859,1.0,3.3223836,-4.050253,67.0901,0.38666022,-25.909098,-85.103,0.27748016,104.04164,0.21474212,-7.700382,0.087218545,1.0,0.33554077,-25.488249,-86.40965,0.27362573,0.10576098794937133,4305.784201622009,55000
101.57987,0.31780463,-7.68151,0.082500495,1.0,7.855082,-6.2834253,74.324135,0.58166,-26.447369,-88.48024,0.22534475,106.41188,0.3252378,-7.701274,0.08744138,1.0,0.45435488,-25.62554,-89.63444,0.26931518,0.0035146501541137697,4323.357500076294,60000
100.20642,0.29799587,-7.680416,0.08222701,1.0,3.816423,-3.7309883,70.177826,0.43644533,-25.930819,-88.508026,0.33879828,92.30083,0.3163024,-7.689619,0.08452782,1.0,1.0676302,-24.928673,-86.46625,0.3173825,0.003443785381317139,4340.576458930969,65000
90.20266,0.2803706,-7.674486,0.080744386,1.0,3.8276083,-4.064266,66.19311,0.48763555,-25.320679,-86.50318,0.3737449,97.12117,0.29444852,-7.6796722,0.08204104,1.0,0.42453152,-25.768583,-87.16921,0.330496,0.0033454749584198,4357.303868532181,70000
94.53551,0.26525143,-7.6731024,0.080398545,1.0,1.4433458,-1.6225216,46.734795,0.3611706,-27.129866,-88.201004,0.29666483,97.79422,0.32656372,-7.6753073,0.08094984,1.0,0.38378635,-25.257786,-87.54425,0.29252768,0.0033065225124359133,4373.836514949799,75000
92.25987,0.26987046,-7.6640344,0.07813154,1.0,2.8705697,-2.4739468,45.741432,0.640301,-25.262238,-85.711136,0.25692326,108.22542,0.35947424,-7.6987276,0.086804844,1.0,0.4625856,-26.223145,-88.807556,0.5293819,0.10603430690765381,4904.0081923007965,80000
90.30001,0.3402264,-7.6605644,0.07726406,1.0,5.496315,-3.724033,60.699802,1.216036,-26.132769,-85.96001,0.296601,90.86658,0.2805001,-7.6739483,0.08061002,1.0,0.41360098,-25.543684,-88.09625,0.32978436,0.0032913597583770753,4920.465021848679,85000
103.100464,0.3230834,-7.6774654,0.08148926,1.0,6.067603,-6.6432843,62.87685,0.55161536,-26.17846,-86.95033,0.32133374,99.47713,0.27670586,-7.6652226,0.07842867,1.0,0.38398862,-26.029598,-87.78537,0.28809735,0.003310071849822998,4937.01541686058,90000
97.54972,0.33159518,-7.6565843,0.076269045,1.0,3.9796562,-3.6380923,51.21196,0.4137684,-26.899942,-90.089806,0.3078792,113.98414,0.36218458,-7.6660466,0.078634635,1.0,0.55320275,-25.114151,-88.011894,0.3217585,0.0032999165534973143,4953.515032052994,95000
95.74189,0.27975953,-7.6553607,0.07596314,1.0,4.6776,-3.8424397,71.293724,0.31575632,-25.69886,-86.154175,0.27225548,107.60988,0.39436466,-7.671961,0.08011314,1.0,0.326711,-26.919127,-90.915306,0.32543957,0.003323685359954834,4970.133490085602,100000
97.1056,0.32924896,-7.6518946,0.07509662,1.0,3.6184978,-3.5947948,50.141186,0.4846361,-25.377205,-89.93039,0.21902035,109.42157,0.3723963,-7.6586123,0.07677601,1.0,0.47658777,-26.355556,-88.0671,0.30772734,0.1254761130809784,5597.514140844345,105000
94.28012,0.24434943,-7.641331,0.072455734,1.0,1.7751164,-2.1624925,39.11854,0.28040138,-26.478981,-87.542404,0.24570137,107.948654,0.37731537,-7.677407,0.081474654,1.0,0.5319461,-26.571747,-91.32093,0.3564271,0.0031843116760253906,5613.435739517212,110000
105.08552,0.29324454,-7.6462264,0.07367957,1.0,2.8219597,-3.0232735,53.446907,0.32348913,-26.263607,-87.65724,0.27685916,99.29029,0.27868417,-7.696512,0.086250916,1.0,0.3877928,-25.891617,-90.83916,0.31361204,0.0032222559452056883,5629.547066450119,115000
97.004456,0.28930938,-7.654127,0.075654745,1.0,11.950363,-13.610452,93.837585,0.32767802,-26.500122,-86.30653,0.28059855,92.02397,0.2724631,-7.6808147,0.08232658,1.0,0.91069853,-25.905668,-86.49568,0.31397104,0.003501542377471924,5647.054812669754,120000
94.77492,0.31420928,-7.669553,0.079511255,1.0,3.320945,-3.1564107,56.64315,0.6645189,-25.43156,-88.37461,0.23049305,111.68274,0.3657692,-7.692109,0.08515032,1.0,0.46463063,-26.421673,-88.41436,0.59012634,0.003592946720123291,5665.019588947296,125000
98.685074,0.33012372,-7.6515794,0.07501781,1.0,4.3429027,-3.39906,47.49277,0.46786752,-26.569014,-87.270676,0.23246297,93.79565,0.27997214,-7.660124,0.07715398,1.0,0.36637837,-28.19284,-87.25911,0.28234106,0.003432118558883667,5682.180215597153,130000
101.850815,0.33122125,-7.6766996,0.081297904,1.0,3.702961,-3.0821545,51.986256,0.48250908,-26.201714,-88.11015,0.28560552,99.756775,0.2555331,-7.6879883,0.084120095,1.0,0.31718105,-26.977692,-88.18533,0.31026644,0.003418152856826782,5699.2710247039795,135000
97.859024,0.3303872,-7.6382456,0.071684375,1.0,5.9834814,-5.056649,56.57415,0.464447,-26.27943,-89.1956,0.27647048,99.09446,0.3380776,-7.6831846,0.08291903,1.0,0.5974902,-28.046207,-88.70722,0.36338276,0.0034154314517974853,5716.348239660263,140000
97.25247,0.26234835,-7.6553993,0.07597269,1.0,6.9070554,-11.486318,96.482666,0.41722924,-26.877743,-88.15439,0.33554757,96.69731,0.33905864,-7.6760225,0.08112867,1.0,0.46670115,-26.64723,-86.71371,0.30122107,0.0033427592277526855,5733.062079906464,145000
99.871216,0.36734682,-7.6336355,0.070531875,1.0,2.492016,-4.648851,57.062893,0.3822608,-26.437065,-86.29661,0.31979483,102.37804,0.27486497,-7.665931,0.07860576,1.0,0.62318707,-26.499146,-88.076645,0.34411287,0.0033409911632537844,5749.767071247101,150000
93.22575,0.3338734,-7.640013,0.07212624,1.0,1.4273245,-2.6337023,37.17464,0.44238135,-26.209253,-88.76404,0.28661352,98.13435,0.3120787,-7.679006,0.08187446,1.0,0.37853485,-26.421572,-86.9476,0.3361317,0.12719857969284057,6385.760123968124,155000
96.2669,0.35093445,-7.6449566,0.07336219,1.0,3.8071887,-4.427404,47.15516,0.5525653,-25.958958,-88.584465,0.2746808,100.9212,0.29737258,-7.6699066,0.07959966,1.0,0.49024498,-25.3811,-88.807884,0.25114688,0.003207406997680664,6401.7971930503845,160000
96.22826,0.3205678,-7.669896,0.07959692,1.0,4.5192127,-2.7319138,62.729675,0.3785432,-26.23946,-87.900566,0.28904796,105.3665,0.3286546,-7.669652,0.07953602,1.0,0.49387586,-26.09038,-89.49087,0.40359274,0.0031850483894348145,6417.72246670723,165000
107.285706,0.3493278,-7.637461,0.07148825,1.0,6.0828505,-7.491091,66.26088,0.87782675,-26.102827,-89.49846,0.25122577,99.97455,0.26668096,-7.6714706,0.07999065,1.0,0.39742506,-25.270021,-87.02017,0.31125018,0.0031751214504241944,6433.598126649857,170000
102.95602,0.30196446,-7.624426,0.06822939,1.0,7.5424037,-7.568306,66.32721,0.7331513,-25.62576,-87.7104,0.2554028,107.21083,0.32729194,-7.686653,0.083786204,1.0,0.46446842,-26.51363,-87.9025,0.376101,0.003175330877304077,6449.474819898605,175000
103.242065,0.39996424,-7.625334,0.06845647,1.0,5.982112,-3.629277,50.859184,0.46968248,-26.37379,-89.42799,0.25520638,99.70001,0.31100917,-7.663419,0.07797758,1.0,0.42940506,-24.973057,-89.57939,0.3057339,0.0031124146938323973,6465.0369284152985,180000
