training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/grad/max;training/grad/min;training/grad/norm;training/value/d_neg_loss;training/value/d_neg_max;training/value/d_neg_mean;training/value/d_neg_min;training/value/d_pos_loss;training/value/d_pos_max;training/value/d_pos_mean;training/value/d_pos_min;training/value/lam;training/value/lam_loss;training/value/total_loss;training/value/value_loss;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/value/d_neg_loss;validation/value/d_neg_max;validation/value/d_neg_mean;validation/value/d_neg_min;validation/value/d_pos_loss;validation/value/d_pos_max;validation/value/d_pos_mean;validation/value/d_pos_min;validation/value/lam;validation/value/lam_loss;validation/value/total_loss;validation/value/value_loss;time/epoch_time;time/total_time;grad/value_cosine_similarity_mean;grad/actor_cosine_similarity_mean;grad/value_cosine_similarity_std;grad/actor_cosine_similarity_std;grad/value_magnitude_similarity_mean;grad/actor_magnitude_similarity_mean;grad/value_magnitude_similarity_std;grad/actor_magnitude_similarity_std;grad/value_scale_mean;grad/actor_scale_mean;grad/value_scale_std;grad/actor_scale_std;feature/embedding_rank;step
302.17694;0.11687246;-9.758152;0.60166085;1.0;25.082785;-102.14237;1031.268;482.09595;29.440977;18.714321;3.9321675;102.192375;27.898825;9.900431;0.014261912;1.0;-102.14237;482.14597;584.2883;237.58908;-0.01368785;-9.670782;0.57981855;1.0;483.6839;27.914328;17.113794;3.5431597;67.05409;25.299688;7.9033275;0.015497726;1.0003;-67.02419;483.73392;550.7581;0.00024251557163811497;26.946149826049805;0.06720224;0.006894426;0.08223278;0.25769642;0.62420976;0.19258694;0.29181135;0.30178297;964.74817;588.8015;1020.5938;1206.8275;232;1
83.56331;0.20911127;-8.965603;0.40352368;1.0;59.362774;-111.99529;811.47766;263.52997;644.4735;254.56961;1.3336581;0.05080448;2.25162;0.60140765;0.0013677954;812.9544;-0.6540057;304.1777;304.8317;80.43329;0.19771957;-8.968313;0.40420136;1.0;263.75912;654.66516;253.372;4.3827257;0.053565826;2.422797;0.6109532;0.0008263798;813.07697;-2.8992906;304.41296;307.31226;0.029390338636401867;3292.536071538925;0.13892393;-0.00029516863;0.40363932;0.07023615;0.569937;0.4340165;0.40004337;0.33985084;9779.398;199.56712;25002.973;405.9988;19;111112
74.56973;0.16136378;-8.95742;0.40147808;1.0;306.35718;-158.08386;1571.4603;256.4328;969.85645;271.42746;1.103958;0.043315336;2.471484;0.6006813;0.0014680631;789.75433;5.279243;295.9205;290.64127;82.98966;0.203741;-8.972079;0.4051429;1.0;247.18631;1005.3817;283.75464;1.473461;0.05067555;2.4451838;0.6042386;0.0008522076;789.78973;-0.5335408;286.6758;287.20935;0.02257369956373176;5800.722408533096;0.13382809;-0.00032899377;0.38593018;0.06382229;0.56130046;0.4317649;0.39696473;0.33921164;8050.528;192.32896;22909.863;365.83948;26;222223
72.083496;0.17202139;-8.962654;0.40278667;1.0;165.12317;-176.06606;1034.872;240.17743;1151.7284;295.77652;1.7712613;0.043126896;2.1821275;0.61164;0.0024577298;788.15735;5.417088;279.5853;274.1682;81.45975;0.19519268;-8.972407;0.40522486;1.0;243.76736;1189.963;294.62885;0.3117279;0.051929187;2.6474845;0.6212107;0.0031401059;788.12354;-1.5204371;283.17352;284.69397;0.021368645560406577;8175.0139882564545;0.12622051;-0.0006082962;0.3772948;0.059112217;0.5488167;0.43226725;0.4065652;0.34047863;8862.293;232.58298;25415.582;489.1951;26;333334
77.86633;0.17201948;-8.963857;0.40308714;1.0;289.64856;-165.79053;1241.3612;241.69229;1274.3119;305.3869;1.8203558;0.05449809;3.0397828;0.61449015;0.0016110877;773.77704;-3.4805193;280.38113;283.86166;84.572556;0.19390288;-9.057648;0.42653483;1.0;243.68338;1181.3458;295.44476;1.1078349;0.053800788;2.476736;0.62542665;0.0013714355;773.7866;-2.940998;282.3727;285.31372;0.021651423303282586;10580.725286960602;0.11795426;-0.00034519582;0.37456998;0.057160474;0.53391856;0.41815796;0.40602383;0.34002206;7897.948;274.72348;20384.652;604.747;27;444445
84.96472;0.2073542;-8.960479;0.40224278;1.0;358.40497;-345.23993;1928.5673;248.50719;1255.5891;292.3297;0.49451143;0.050519135;2.4789102;0.6174967;0.00212325;777.392;-0.4035707;287.3768;287.78036;77.523254;0.18990314;-9.050245;0.42468426;1.0;246.02148;1258.3052;297.80933;0.18559875;0.044593982;2.5309596;0.6089272;0.00045202483;777.3843;4.2025537;284.8907;280.68814;0.021412628461378386;12959.903851985931;0.106654294;-0.00033084507;0.37387747;0.056661084;0.516205;0.42195183;0.40990618;0.33942008;8489.917;270.9141;26980.41;557.879;28;555556
78.53493;0.18937913;-8.974612;0.4057758;1.0;81.0853;-92.64319;743.4053;237.24286;1313.2952;307.74292;0.5870076;0.044535257;2.4559991;0.618743;0.0017287015;773.6177;4.2276225;275.92374;271.6961;87.68359;0.2236771;-9.041646;0.42253453;1.0;241.81152;1289.8077;306.1207;1.3470514;0.059619866;2.6112244;0.6292685;0.0013228649;773.5763;-7.4417;280.49033;287.93204;0.02167043299588771;15367.727335453033;0.11754158;-0.00016351623;0.37706652;0.0561153;0.5153439;0.42249256;0.4062522;0.3398347;8557.713;275.4042;26141.508;554.1155;29;666667
78.10174;0.18631175;-8.927191;0.3939209;1.0;79.20298;-207.93394;873.38666;243.25847;1351.2227;305.82733;3.031492;0.04874669;2.553889;0.6042795;0.0014287017;768.8846;0.9636512;281.7027;280.73904;79.25389;0.18841542;-9.001734;0.41255635;1.0;242.03293;1298.3779;300.48264;2.007311;0.055142183;2.9650862;0.6020795;0.0019996257;768.7519;-3.9530623;280.47052;284.42358;0.02152746759980761;17759.665791273117;0.10896966;-8.033902e-05;0.36585763;0.055669915;0.50209194;0.4205214;0.4073826;0.34043542;9167.87;292.3379;26462.15;595.69196;31;777778
78.7403;0.1730507;-8.985693;0.40854627;1.0;116.27436;-207.33318;1022.5035;236.33865;1317.5203;313.43176;1.5150033;0.05169726;2.7003655;0.6109303;0.0012033257;766.8572;-1.3015567;274.68152;275.98306;85.48166;0.17311308;-8.999346;0.41195947;1.0;241.7613;1319.6655;306.53992;1.3216754;0.056506045;2.4726484;0.6405685;0.0009888046;766.8583;-4.989214;280.10422;285.09344;0.02153387487998427;20152.316165685654;0.12170542;-0.00019349105;0.37569088;0.05534368;0.52227235;0.43111998;0.40810853;0.3393703;6847.4976;272.78235;17880.951;563.0509;30;888889
76.13139;0.16182557;-8.9802265;0.40717947;1.0;249.73715;-361.4923;1440.6553;237.27191;1360.9694;316.60782;3.4939957;0.048529394;2.5590167;0.61234343;0.0013861204;768.2359;1.1297729;275.6837;274.55392;82.5552;0.21103439;-9.015522;0.41600317;1.0;236.99149;1335.7686;315.09393;3.320602;0.04883331;2.7406785;0.6173532;0.00077666267;768.2685;0.89633125;275.4049;274.50858;0.02171689296227718;22565.301862239838;0.11705134;7.756576e-05;0.36351335;0.05398506;0.5118254;0.41578317;0.4079663;0.33986437;7320.663;316.13364;20125.773;689.3673;30;1000000
