training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
28.861143,-0.022352714,-9.711016,0.5898769,1.0,0.9825391,-0.7567345,37.28397,2.5026345,0.3017155,-2.3323193,0.44339913,25.445835,-0.011203084,-9.63676,0.5713129,1.0,1.7870839,-2.9136965,-4.8298388,2.6474879,0.006521158599853516,32.60580825805664,1
97.63601,0.115223646,-9.150898,0.44984755,1.0,1.5247413,-1.132114,39.21672,0.5837877,-12.769422,-25.118547,0.25144565,77.51289,0.09124528,-9.174461,0.4557382,1.0,0.656397,-13.263847,-25.083113,0.2174239,0.22296545701026915,1147.433168888092,5000
105.50986,0.09821749,-9.225861,0.4685881,1.0,2.0401924,-2.0706778,58.57821,0.48246157,-18.387985,-43.632027,0.34030306,96.56127,0.0638642,-9.259635,0.4770316,1.0,0.5809829,-18.045984,-43.205444,0.29936934,0.2236191580295563,2265.5290570259094,10000
104.458664,0.0944885,-9.226229,0.46868032,1.0,2.9096398,-2.2391286,60.788445,0.4261381,-19.955887,-58.19417,0.31732222,109.17235,0.12702012,-9.203467,0.4629898,1.0,0.5411631,-19.70957,-57.972244,0.39987624,0.12051008181571961,2868.079579591751,15000
101.01985,0.1569038,-9.1764765,0.45624208,1.0,2.2848911,-2.101959,49.23471,0.63540024,-22.20168,-68.68483,0.34946924,102.775536,0.095420174,-9.23068,0.46979323,1.0,0.5134777,-21.470171,-68.55264,0.39570946,0.0071934183597564694,2904.0467104911804,20000
104.260574,0.11182595,-9.220211,0.46717578,1.0,1.6959203,-1.5517731,49.90039,0.76276326,-21.797644,-74.474754,0.31540233,94.39486,0.13991246,-9.193758,0.46056253,1.0,0.34684926,-21.682304,-74.664154,0.3311816,0.1265579406738281,3536.836592912674,25000
100.16583,0.09413615,-9.2508955,0.47484696,1.0,4.1887755,-2.8701427,60.96684,0.34195536,-21.988165,-75.83896,0.30786237,93.53353,0.06373183,-9.244096,0.4731471,1.0,0.33312228,-21.683819,-75.98082,0.3122059,0.007215273761749267,3572.9129898548126,30000
110.58531,0.13917932,-9.214457,0.465737,1.0,2.133074,-2.9278126,58.30937,0.9397227,-20.860449,-77.41848,0.30213898,100.721375,0.04826815,-9.198235,0.46168151,1.0,0.39777067,-21.642513,-79.01142,0.35314187,0.12415292620658874,4193.677832126617,35000
92.94864,0.06057389,-9.205762,0.46356344,1.0,1.7789682,-2.425807,51.72808,0.35577744,-21.360592,-78.91111,0.30822936,94.080765,0.07747546,-9.2510605,0.47488815,1.0,0.63607407,-21.706753,-77.29404,0.28843215,0.007203523206710815,4229.695483207703,40000
99.55324,0.121665016,-9.165239,0.4534328,1.0,1.7512017,-2.8625317,49.251453,0.46555924,-21.120764,-77.69798,0.28278828,95.381935,0.13872677,-9.110064,0.43963873,1.0,0.35231972,-21.852478,-77.997086,0.28963372,0.12332435803413391,4846.317380189896,45000
81.97516,0.10460739,-9.17956,0.45701277,1.0,2.1055896,-1.7397836,45.49566,0.4503939,-21.880705,-77.814255,0.2807061,106.354805,0.13978519,-9.241778,0.47256765,1.0,0.5301181,-22.503149,-79.56496,0.3486612,0.00701476845741272,4881.391246795654,50000
88.111725,0.10869771,-9.180899,0.4573477,1.0,1.9636087,-2.0078557,48.391983,0.25881463,-23.392496,-78.86295,0.2739473,106.67221,0.14414364,-9.183281,0.45794305,1.0,0.37497485,-22.946383,-78.837425,0.33148712,0.1331951295375824,5547.367195606232,55000
90.9405,0.0963581,-9.224951,0.4683606,1.0,2.60597,-1.7633646,52.912823,0.33156568,-22.563972,-80.33736,0.31255773,102.56677,0.1435413,-9.19442,0.460728,1.0,0.40221518,-22.317629,-80.072845,0.30121997,0.011680773210525512,5605.77109003067,60000
113.213844,0.1669938,-9.161406,0.4524743,1.0,2.7235513,-2.3011909,63.011505,0.6302935,-24.319637,-78.59008,0.364515,96.38632,0.10998202,-9.192486,0.46024436,1.0,0.41590062,-22.57854,-80.517334,0.3270625,0.008167792510986328,5646.610077381134,65000
92.46487,0.11021176,-9.190624,0.4597788,1.0,2.0885515,-1.7959313,50.742653,0.922573,-22.505707,-78.61673,0.34807655,97.617355,0.14378428,-9.20414,0.46315807,1.0,0.8680585,-23.084194,-79.51547,0.4005012,0.007186455345153809,5682.542384147644,70000
88.84761,0.08509493,-9.24332,0.47295284,1.0,1.5957099,-2.0376372,45.964867,0.30622822,-22.907238,-80.28922,0.34531015,96.882706,0.094709165,-9.218155,0.46666175,1.0,0.40254128,-23.034166,-82.326385,0.27077538,0.0071869499206542965,5718.477164745331,75000
93.2394,0.11775991,-9.1744,0.45572305,1.0,1.718566,-1.7875266,61.077576,0.40624908,-21.813774,-81.8065,0.33310282,92.646835,0.13942084,-9.187626,0.45902944,1.0,0.4616763,-22.225067,-79.46115,0.29954666,0.12873092432022096,6362.131841421127,80000
96.04609,0.0738719,-9.241466,0.47248942,1.0,1.8408273,-1.6338286,47.774536,0.37504846,-23.049028,-86.25166,0.25972545,104.48694,0.14184007,-9.249893,0.47459632,1.0,0.42875928,-23.064264,-84.20191,0.3113071,0.012675499963760375,6425.509377479553,85000
108.00078,0.15134265,-9.2400055,0.47212428,1.0,3.143886,-2.7484941,57.89028,0.44808224,-21.56556,-82.30951,0.3140093,90.94583,0.07365107,-9.255294,0.4759465,1.0,0.29444093,-21.107296,-85.952576,0.286571,0.012737088537216187,6489.194849014282,90000
87.48694,0.13331583,-9.203138,0.4629076,1.0,2.455624,-2.2498941,46.651714,0.27617082,-23.1294,-79.44769,0.28900364,97.73607,0.14912137,-9.184438,0.4582324,1.0,0.8375354,-21.702734,-82.44467,0.26811528,0.011842936134338379,6548.409556388855,95000
110.18244,0.14734825,-9.196236,0.46118206,1.0,2.0050225,-2.2280777,54.311375,0.5720571,-24.26403,-83.38237,0.30331773,107.78497,0.13788524,-9.270963,0.47986346,1.0,0.36318666,-22.679821,-79.97509,0.29967782,0.00796403250694275,6588.229772567749,100000
95.57846,0.08823759,-9.180225,0.45717952,1.0,2.8455734,-2.313056,63.551823,0.34296557,-21.888088,-84.53919,0.3681763,98.20274,0.1094953,-9.164697,0.4532972,1.0,0.30802244,-22.828676,-79.64285,0.30069852,0.13036878900527954,7240.0739023685455,105000
98.899506,0.14469182,-9.196512,0.4612512,1.0,2.0411077,-2.3557503,58.160213,0.40761173,-23.724918,-83.89435,0.34194702,112.0432,0.19808272,-9.1409,0.44734788,1.0,0.32601845,-24.42068,-82.93089,0.34270126,0.012663890361785888,7303.393402814865,110000
103.57064,0.1334745,-9.179752,0.45706087,1.0,2.702687,-3.2628393,53.480583,0.45248944,-23.693851,-87.04344,0.26070768,93.80573,0.12703365,-9.244591,0.47327077,1.0,0.30373374,-24.429817,-84.7407,0.2597317,0.012639657258987427,7366.591734409332,115000
102.57492,0.15299374,-9.172041,0.45513317,1.0,2.983026,-2.0843923,53.44073,0.26182556,-22.718433,-85.75426,0.27289057,100.44543,0.10123286,-9.195459,0.4609877,1.0,0.28344598,-22.977085,-84.65665,0.29291254,0.012666641139984131,7429.92499089241,120000
102.03534,0.14548604,-9.21678,0.4663178,1.0,3.5333927,-2.050876,53.96269,0.4718329,-23.309673,-83.20087,0.3253317,102.49025,0.14537397,-9.199988,0.46212,1.0,0.26648316,-22.615646,-80.97778,0.28686947,0.012650375652313233,7493.176907539368,125000
95.986626,0.1262061,-9.215944,0.466109,1.0,2.3525305,-2.0834718,55.052284,0.33457267,-23.441677,-85.876236,0.4534346,91.60382,0.09673752,-9.174413,0.45572612,1.0,0.47095612,-23.777447,-85.6775,0.24579927,0.012652339029312135,7556.438651800156,130000
94.83897,0.13701004,-9.179236,0.45693195,1.0,2.029618,-2.0421898,51.58947,0.37610447,-22.30233,-89.03061,0.25479978,96.255165,0.11562452,-9.218967,0.46686503,1.0,0.34696245,-23.825953,-82.654045,0.3214231,0.01265374059677124,7619.707453250885,135000
95.8741,0.12335695,-9.190327,0.45970473,1.0,2.142026,-2.7929673,49.69211,0.42673463,-23.081875,-89.427414,0.31117278,96.71936,0.12065175,-9.164461,0.45323804,1.0,0.335298,-22.81823,-84.49028,0.32930982,0.012317422103881835,7681.294604539871,140000
