agent,configuration,seed,phase,actor,alpha,has_real_alpha,ess_mean,ess_std,saturation_mass_mean,saturation_mass_std,fraction_clipped_mean,fraction_clipped_std,top5_mass_mean,top5_mass_std,entropy_mean,entropy_std
CRL,7,1,926500,actor,21.766338385641575,True,0.29704,0.02621,0.957662,0.014855,0.277734,0.026586,0.16289,0.014798,4.353668,0.086243
CRL,7,2,926500,actor,21.766338385641575,True,0.296654,0.026141,0.956333,0.016057,0.277344,0.028168,0.162943,0.014523,4.351571,0.084345
CRL,7,3,926500,actor,21.766338385641575,True,0.295584,0.031023,0.95452,0.012843,0.275391,0.029706,0.164139,0.017335,4.347068,0.101726
CRL,7,4,926500,actor,21.766338385641575,True,0.29813,0.021231,0.941728,0.02072,0.272656,0.021928,0.162746,0.012195,4.361861,0.070894
CRL,8,0,926500,actor,19.270585030317307,True,0.280862,0.024441,0.93208,0.028537,0.253516,0.020041,0.17336,0.01545,4.301171,0.090699
CRL,8,1,926500,actor,19.270585030317307,True,0.289239,0.03535,0.946381,0.005833,0.266406,0.033187,0.169012,0.022421,4.326588,0.123559
CRL,8,2,926500,actor,19.270585030317307,True,0.274092,0.026095,0.945697,0.024994,0.252344,0.024924,0.1772,0.017981,4.274015,0.097548
CRL,8,3,926500,actor,19.270585030317307,True,0.289167,0.029229,0.938074,0.036117,0.263281,0.031799,0.168902,0.018558,4.330757,0.097792
CRL,8,4,926500,actor,19.270585030317307,True,0.286784,0.024221,0.935894,0.019168,0.260156,0.023953,0.169955,0.016547,4.323866,0.080589
CRL,9,0,926500,actor,10.945854987949133,True,0.258275,0.020592,0.905599,0.0261,0.223047,0.019871,0.191449,0.014846,4.238479,0.081268
CRL,9,1,926500,actor,10.945854987949133,True,0.258248,0.02094,0.909791,0.023285,0.223438,0.018579,0.19193,0.014883,4.240141,0.082983
CRL,9,2,926500,actor,10.945854987949133,True,0.256936,0.020667,0.912661,0.022707,0.223828,0.019229,0.192253,0.015063,4.233325,0.082276
CRL,9,3,926500,actor,10.945854987949133,True,0.257615,0.021091,0.900195,0.025747,0.220703,0.018529,0.192245,0.014681,4.235871,0.082738
CRL,9,4,926500,actor,10.945854987949133,True,0.257482,0.020414,0.914543,0.020175,0.224609,0.017877,0.191871,0.014701,4.236169,0.081761
CRL,10,0,926500,actor,4.2495601158589125,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,1,926500,actor,4.2495601158589125,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,2,926500,actor,4.2495601158589125,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,3,926500,actor,4.2495601158589125,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,4,926500,actor,4.2495601158589125,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,11,0,926500,actor,25.937761897221208,True,0.293952,0.027874,0.962117,0.017666,0.276953,0.02453,0.164047,0.015625,4.337291,0.097499
CRL,11,1,926500,actor,25.937761897221208,True,0.303339,0.034484,0.953011,0.015502,0.283594,0.035286,0.159764,0.020227,4.36602,0.115148
CRL,11,2,926500,actor,25.937761897221208,True,0.286688,0.027536,0.962955,0.015868,0.270312,0.024965,0.168372,0.01706,4.312622,0.099031
CRL,11,3,926500,actor,25.937761897221208,True,0.30194,0.027889,0.96021,0.012269,0.283984,0.029177,0.159919,0.015517,4.36673,0.088158
CRL,11,4,926500,actor,25.937761897221208,True,0.299814,0.021224,0.962627,0.017551,0.282812,0.02294,0.160476,0.01293,4.361378,0.067539
CRL,12,0,926500,actor,29.507834818214178,True,0.30268,0.031486,0.967756,0.01529,0.287891,0.028885,0.158939,0.015351,4.362448,0.100887
CRL,12,1,926500,actor,29.507834818214178,True,0.316367,0.029814,0.959719,0.010898,0.297266,0.029431,0.15268,0.015349,4.410143,0.095046
CRL,12,2,926500,actor,29.507834818214178,True,0.310227,0.021549,0.960093,0.013894,0.292188,0.022235,0.154766,0.011069,4.39291,0.068289
CRL,12,3,926500,actor,29.507834818214178,True,0.311523,0.02533,0.96207,0.015297,0.294141,0.025386,0.154262,0.012387,4.395059,0.08219
CRL,12,4,926500,actor,29.507834818214178,True,0.326353,0.01781,0.964477,0.010751,0.309766,0.018873,0.146403,0.00839,4.439794,0.055107
CRL,13,0,926500,actor,0.33436909317970276,True,0.514002,0.120186,0.0,0.0,0.0,0.0,0.19267,0.036828,5.275901,0.074628
CRL,13,1,926500,actor,0.33436909317970276,True,0.52425,0.118768,0.0,0.0,0.0,0.0,0.186827,0.033631,5.284931,0.066674
CRL,13,2,926500,actor,0.33436909317970276,True,0.538748,0.11883,0.0,0.0,0.0,0.0,0.182978,0.033479,5.291444,0.068563
CRL,13,3,926500,actor,0.33436909317970276,True,0.515767,0.110113,0.0,0.0,0.0,0.0,0.192078,0.034288,5.277741,0.06822
CRL,13,4,926500,actor,0.33436909317970276,True,0.498005,0.115212,0.0,0.0,0.0,0.0,0.196108,0.035585,5.266986,0.072935
CRL,14,0,926500,actor,14.530640775337815,True,0.273122,0.028767,0.907616,0.023732,0.237109,0.027869,0.181653,0.021555,4.286049,0.104512
CRL,14,1,926500,actor,14.530640775337815,True,0.289388,0.02467,0.925578,0.018894,0.257422,0.025346,0.169845,0.015232,4.343226,0.086226
CRL,14,2,926500,actor,14.530640775337815,True,0.26602,0.022276,0.911109,0.024308,0.231641,0.019141,0.185397,0.014602,4.261971,0.084077
CRL,14,3,926500,actor,14.530640775337815,True,0.292589,0.02908,0.928203,0.019639,0.261328,0.02665,0.167975,0.016652,4.353929,0.094174
CRL,14,4,926500,actor,14.530640775337815,True,0.269879,0.024969,0.922961,0.01927,0.239062,0.023567,0.18258,0.018376,4.273902,0.092054
CRL,15,0,926500,actor,15.340581117197871,True,0.280525,0.025545,0.933364,0.022908,0.253125,0.02122,0.173947,0.01536,4.303467,0.090725
CRL,15,1,926500,actor,15.340581117197871,True,0.281661,0.025546,0.935289,0.020252,0.254688,0.021928,0.173266,0.015014,4.308941,0.089397
CRL,15,2,926500,actor,15.340581117197871,True,0.276731,0.024428,0.945038,0.024088,0.253125,0.021538,0.176045,0.014313,4.292963,0.086943
CRL,15,3,926500,actor,15.340581117197871,True,0.276621,0.027946,0.939206,0.031958,0.250781,0.020239,0.176616,0.015759,4.291573,0.099489
CRL,15,4,926500,actor,15.340581117197871,True,0.278571,0.02399,0.933348,0.020895,0.251172,0.015953,0.174954,0.013741,4.299852,0.087961
CRL,16,0,926500,actor,16.65442083030939,True,0.286497,0.022254,0.930834,0.030608,0.257422,0.026071,0.17069,0.013672,4.327941,0.072098
CRL,16,1,926500,actor,16.65442083030939,True,0.285152,0.023605,0.9303,0.025588,0.255469,0.023452,0.171789,0.013822,4.322891,0.082174
CRL,16,2,926500,actor,16.65442083030939,True,0.251437,0.023545,0.91995,0.022918,0.222656,0.023725,0.195337,0.017783,4.198894,0.085845
CRL,16,3,926500,actor,16.65442083030939,True,0.300664,0.0281,0.940316,0.022741,0.274219,0.029738,0.162168,0.01487,4.371732,0.087246
CRL,16,4,926500,actor,16.65442083030939,True,0.288042,0.026378,0.930536,0.018296,0.257812,0.02202,0.170368,0.015754,4.335642,0.092983
CRL,17,0,926500,actor,13.949222657829523,True,0.275218,0.024882,0.926261,0.023743,0.245703,0.022132,0.177908,0.015261,4.288526,0.090639
CRL,17,1,926500,actor,13.949222657829523,True,0.276666,0.02467,0.914453,0.024774,0.243359,0.022406,0.177383,0.015733,4.29523,0.087782
CRL,17,2,926500,actor,13.949222657829523,True,0.272121,0.023507,0.927407,0.031504,0.243359,0.024294,0.179893,0.014859,4.279951,0.084985
CRL,17,3,926500,actor,13.949222657829523,True,0.271712,0.026333,0.933703,0.029813,0.244141,0.017494,0.180188,0.01516,4.277654,0.096626
CRL,17,4,926500,actor,13.949222657829523,True,0.273358,0.02149,0.929279,0.024393,0.244531,0.019066,0.179031,0.013358,4.285945,0.081668
CRL,18,0,926500,actor,1.6609118040651083,True,0.072005,0.012054,0.422474,0.205131,0.018359,0.010425,0.69183,0.053249,3.611086,0.164759
CRL,18,1,926500,actor,1.6609118040651083,True,0.065981,0.004603,0.435891,0.120205,0.016406,0.00732,0.683202,0.061973,3.61522,0.15023
CRL,18,2,926500,actor,1.6609118040651083,True,0.074898,0.014718,0.407566,0.18131,0.017188,0.009244,0.671286,0.07398,3.67081,0.206671
CRL,18,3,926500,actor,1.6609118040651083,True,0.083674,0.011141,0.474621,0.07171,0.025,0.006163,0.675907,0.044486,3.64329,0.091918
CRL,18,4,926500,actor,1.6609118040651083,True,0.07797,0.01481,0.324014,0.135987,0.012891,0.006652,0.660652,0.064746,3.707721,0.189519
CRL,19,0,926500,actor,28.97230756469071,True,0.307228,0.028659,0.958246,0.022123,0.289062,0.03037,0.156746,0.01465,4.378596,0.091334
CRL,19,1,926500,actor,28.97230756469071,True,0.308181,0.027211,0.960867,0.012254,0.290625,0.026506,0.156097,0.013821,4.383987,0.088087
CRL,19,2,926500,actor,28.97230756469071,True,0.307236,0.027022,0.965199,0.013648,0.291406,0.026378,0.156349,0.013648,4.380218,0.084151
CRL,19,3,926500,actor,28.97230756469071,True,0.304532,0.033058,0.963617,0.012098,0.288281,0.033084,0.158444,0.0173,4.371285,0.104314
CRL,19,4,926500,actor,28.97230756469071,True,0.309303,0.024921,0.962031,0.010661,0.291406,0.025595,0.155781,0.013149,4.390575,0.078975
CRL,20,0,926500,actor,24.567157421261072,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,20,1,926500,actor,24.567157421261072,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,20,2,926500,actor,24.567157421261072,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,20,3,926500,actor,24.567157421261072,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,20,4,926500,actor,24.567157421261072,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,21,0,926500,actor,4.7705549374222755,True,0.174724,0.017684,0.777371,0.047308,0.118359,0.017279,0.3123,0.037254,3.954205,0.089874
CRL,21,1,926500,actor,4.7705549374222755,True,0.180038,0.018991,0.763257,0.033707,0.119141,0.014411,0.30363,0.0339,3.974999,0.10026
CRL,21,2,926500,actor,4.7705549374222755,True,0.175776,0.015304,0.769813,0.063931,0.117969,0.018117,0.309555,0.031289,3.955975,0.078842
CRL,21,3,926500,actor,4.7705549374222755,True,0.173268,0.016249,0.750767,0.048417,0.112109,0.016882,0.318325,0.035375,3.948237,0.080937
CRL,21,4,926500,actor,4.7705549374222755,True,0.18074,0.021333,0.76769,0.052318,0.120703,0.0197,0.303607,0.042162,3.980698,0.098974
CRL,22,0,926500,actor,9.55888551659882,True,0.232347,0.0219,0.861521,0.021156,0.185938,0.017682,0.219097,0.023019,4.154522,0.094074
CRL,22,1,926500,actor,9.55888551659882,True,0.231071,0.030164,0.860162,0.039383,0.184766,0.029866,0.223093,0.035303,4.145581,0.128937
CRL,22,2,926500,actor,9.55888551659882,True,0.217923,0.019652,0.875173,0.041805,0.178516,0.023441,0.232278,0.022394,4.08749,0.084089
