checkpoint_path,agent,dataset,phase,seed,configuration,actor,fr_auc_mean,fr_auc_std,gap_mean_mean,gap_mean_std,gap_std_mean,gap_std_std,extractability_index_mean,extractability_index_std,adv_plus_mean_mean,adv_plus_mean_std,adv_minus_mean_mean,adv_minus_mean_std
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_14/phase_402222/seed_3/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,3,14,actor,0.574574,0.018974,0.794983,0.579903,6.745053,8.55321,0.227616,0.118091,0.414429,0.090689,-0.380554,0.611607
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_14/phase_402222/seed_4/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,4,14,actor,0.574862,0.014356,0.795172,0.582344,6.801546,8.610501,0.226039,0.117704,0.413441,0.088571,-0.381731,0.612231
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_15/phase_402222/seed_0/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,0,15,actor,0.584139,0.019948,0.658814,0.342601,5.119992,5.737361,0.230179,0.122299,0.404163,0.090465,-0.254651,0.379384
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_15/phase_402222/seed_1/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,1,15,actor,0.585646,0.019209,0.734915,0.490885,6.099721,7.211178,0.230774,0.130293,0.398505,0.096685,-0.33641,0.536799
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_15/phase_402222/seed_2/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,2,15,actor,0.602917,0.017414,0.729306,0.471358,5.994479,6.995581,0.230431,0.123686,0.399444,0.084732,-0.329862,0.510568
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_15/phase_402222/seed_3/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,3,15,actor,0.588431,0.016342,0.715244,0.441427,5.79938,6.905105,0.234455,0.127971,0.408982,0.096534,-0.306262,0.483032
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_15/phase_402222/seed_4/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,4,15,actor,0.591887,0.019783,0.69215,0.380748,5.473126,6.138013,0.231566,0.123715,0.40596,0.099637,-0.286191,0.430273
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_16/phase_402222/seed_0/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,0,16,actor,0.569585,0.020798,0.794353,0.581527,6.790034,8.575772,0.225238,0.116219,0.415226,0.087491,-0.379126,0.60938
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_16/phase_402222/seed_1/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,1,16,actor,0.571207,0.022213,0.790267,0.578057,6.76457,8.544972,0.225256,0.117721,0.412399,0.090352,-0.377868,0.60943
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/QRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_16/phase_402222/seed_2/params_402222.pkl,QRL,antmaze-large-navigate-v0,402222,2,16,actor,0.571538,0.018574,0.792249,0.580954,6.768084,8.529079,0.225052,0.11682,0.413974,0.087493,-0.378275,0.609389
