checkpoint_path,agent,dataset,phase,seed,configuration,actor,fr_auc_mean,fr_auc_std,gap_mean_mean,gap_mean_std,gap_std_mean,gap_std_std,extractability_index_mean,extractability_index_std,adv_plus_mean_mean,adv_plus_mean_std,adv_minus_mean_mean,adv_minus_mean_std
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_28/phase_46888/seed_4/params_46888.pkl,GCIVL,cube-single-play-v0,46888,4,28,actor,0.642759,0.031871,0.175147,0.089949,1.272842,0.130518,0.140425,0.071384,0.191243,0.083088,0.016096,0.018605
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_29/phase_46888/seed_0/params_46888.pkl,GCIVL,cube-single-play-v0,46888,0,29,actor,0.664674,0.022351,0.171687,0.051136,1.341821,0.128115,0.129351,0.039618,0.184696,0.044932,0.013009,0.023386
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_29/phase_46888/seed_1/params_46888.pkl,GCIVL,cube-single-play-v0,46888,1,29,actor,0.664804,0.023559,0.158169,0.055925,1.396832,0.138856,0.113676,0.037515,0.161173,0.039074,0.003004,0.021033
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_29/phase_46888/seed_2/params_46888.pkl,GCIVL,cube-single-play-v0,46888,2,29,actor,0.661095,0.027268,0.148701,0.067751,1.38992,0.154289,0.109149,0.04877,0.156702,0.065717,0.008001,0.016415
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_29/phase_46888/seed_3/params_46888.pkl,GCIVL,cube-single-play-v0,46888,3,29,actor,0.666317,0.024644,0.162324,0.053584,1.328265,0.184053,0.125468,0.04528,0.17319,0.049745,0.010865,0.024313
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_29/phase_46888/seed_4/params_46888.pkl,GCIVL,cube-single-play-v0,46888,4,29,actor,0.667514,0.020309,0.162297,0.050353,1.382166,0.155608,0.120138,0.042428,0.16944,0.039254,0.007143,0.022975
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_3/phase_46888/seed_0/params_46888.pkl,GCIVL,cube-single-play-v0,46888,0,3,actor,0.66763,0.027815,0.148556,0.048843,1.402749,0.179317,0.107463,0.03778,0.154628,0.032542,0.006072,0.025809
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_3/phase_46888/seed_1/params_46888.pkl,GCIVL,cube-single-play-v0,46888,1,3,actor,0.662895,0.023326,0.145893,0.060555,1.403044,0.175781,0.106707,0.049656,0.150551,0.05412,0.004658,0.024327
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_3/phase_46888/seed_2/params_46888.pkl,GCIVL,cube-single-play-v0,46888,2,3,actor,0.662042,0.023799,0.155547,0.068235,1.404155,0.16253,0.113617,0.048769,0.169002,0.058,0.013456,0.019018
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/GCIVL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_3/phase_46888/seed_3/params_46888.pkl,GCIVL,cube-single-play-v0,46888,3,3,actor,0.667514,0.020456,0.156761,0.042723,1.337106,0.185787,0.120352,0.038225,0.166014,0.040733,0.009253,0.025383
