agent,mean_squared_error,mean_absolute_error,max_error
HIQL,0.003 $\pm$ 0.001,0.040 $\pm$ 0.008,0.125
QRL,0.001 $\pm$ 0.001,0.027 $\pm$ 0.008,0.095
