agent,hps,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
HIQL,"frozenset({'lr', 'discount'})",0.27 $\pm$ nan,0.30 $\pm$ nan
QRL,"frozenset({'lr', 'discount'})",0.33 $\pm$ nan,0.05 $\pm$ nan
