agent,constant_dataset,mean_future_regret_over_phases_firstphase,mean_future_regret_over_phases_secondphase
HIQL,False,0.27 $\pm$ nan,0.30 $\pm$ nan
QRL,False,0.33 $\pm$ nan,0.05 $\pm$ nan
